medcode,readcode,clinicalevents,immunisationevents,referralevents,testevents,readterm,databaserelease
2212,G573.00,204282,0,14159,9,Atrial fibrillation and flutter,February 2009
1268,G573200,97537,0,3279,3,Paroxysmal atrial fibrillation,February 2009
6345,14AN.00,22719,0,1292,8,H/O: atrial fibrillation,February 2009
96277,G573400,470,0,3,0,Permanent atrial fibrillation,April 2009
35127,G573300,256,0,0,0,Non-rheumatic atrial fibrillation,February 2009
18746,662S.00,66478,0,1485,0,Atrial fibrillation monitoring,February 2009
96076,G573500,824,0,7,0,Persistent atrial fibrillation,February 2009
1664,G573000,582174,0,24145,103,Atrial fibrillation,February 2009
3757,3272.00,10446,0,1232,121232,ECG: atrial fibrillation,February 2009
23437,G573z00,2133,0,38,0,Atrial fibrillation and flutter NOS,February 2009
1757,G573100,28214,0,1190,0,Atrial flutter,February 2009
9479,7936A00,166,0,3,0,Implant intravenous pacemaker for atrial fibrillation,February 2009
45773,6A9..00,54051,0,55,0,Atrial fibrillation annual review,February 2009
105554,8CMW200,1831,0,2,0,Atrial fibrillation care pathway,January 2013
