medcode,clinicalevents,referralevents,testevents,immunisationevents,readcode,readterm,databasebuild
296,403492,89027,17,0,F46..00,Cataract,February 2009
5361,89765,1267,0,0,7266.11,Other extraction of cataract,February 2009
4260,72515,1129,0,0,7264.11,Intracapsular extraction of cataract,February 2009
703,71215,8285,1,0,F466.00,Bilateral cataracts,February 2009
1622,68638,28413,0,0,22E5.00,O/E - cataract present,February 2009
6330,34406,605,0,0,7263.12,Extracapsular extraction of cataract,February 2009
6317,18674,1572,0,0,F46z.00,Cataract NOS,February 2009
5518,14287,3975,0,0,1483.00,H/O: cataract,February 2009
103508,13649,3,0,0,7267600,Cataract extraction and insertion of intraocular lens,January 2012
6547,11606,1171,0,0,2BT0.00,O/E - Right cataract present,February 2009
9931,11247,1102,0,0,2BT1.00,O/E - Left cataract present,February 2009
10010,7475,413,0,0,F461.00,Senile cataract,February 2009
7793,4927,123,0,0,F460700,Nuclear cataract,February 2009
7257,3356,39,0,0,F460500,Cortical cataract,February 2009
11537,2467,489,0,0,68A3.00,Cataract screen,February 2009
299,2311,167,0,0,P330.00,"Congenital cataract, unspecified",February 2009
20887,2305,243,0,0,12A2.00,FH: Cataract,February 2009
11970,2253,55,0,0,14NC.00,H/O: Bilateral cataract extraction,February 2009
28513,2242,8,0,0,14N9.00,H/O: R cataract extraction,February 2009
28515,2194,8,0,0,14NA.00,H/O: L cataract extraction,February 2009
11255,2072,66,0,0,P331100,Subcapsular cataract,February 2009
4148,1728,94,0,0,P33..00,Congenital cataract and lens anomalies,February 2009
10659,1547,107,5,0,F464000,Diabetic cataract,February 2009
3897,1349,74,0,0,F462.00,Traumatic cataract,February 2009
94348,1052,10,0,0,8LC0.00,Cataract operation planned,February 2009
4459,1023,102,0,0,ZV45611,[V]State following cataract extraction,February 2009
47566,874,16,0,0,F461000,Unspecified senile cataract,February 2009
23631,844,259,0,0,F461500,Immature cataract NOS,February 2009
18089,824,197,0,0,P331000,Capsular cataract,February 2009
4358,455,43,0,0,F46y.00,Other cataract,February 2009
38641,437,11,0,0,7266100,Discission of cataract,February 2009
29770,426,125,0,0,F461z00,Senile cataract NOS,February 2009
6876,416,5,0,0,F461900,Nuclear senile cataract,February 2009
15589,309,20,0,0,F46yz00,Other cataract NOS,February 2009
23883,290,1,0,0,7263011,Needling of lens for cataract,February 2009
17983,191,53,0,0,ZV7A200,[V]Screening for cataract,February 2009
4242,167,0,0,0,F460400,Posterior subcapsular polar cataract,February 2009
44982,158,5,0,0,C10FE00,Type 2 diabetes mellitus with diabetic cataract,February 2009
64196,155,0,0,0,2BT..00,Cataract observation,February 2009
