medcode,readcode,clinicalevents,immunisationevents,referralevents,testevents,readterm,databaserelease
26434,Z7CEH13,88,0,6,0,Bad memory,February 2009
50418,Z7CEH12,89,0,5,0,Memory deficit,February 2009
39915,Z7CEH11,192,0,3,0,Memory dysfunction,February 2009
12583,Z7CEH15,15763,0,2188,0,Poor memory,February 2009
12057,Z7CEH14,10314,0,1363,0,Memory problem,February 2009
41537,E030z00,1884,0,43,0,Acute confusional state NOS,February 2009
6387,E2A1000,16794,0,2205,0,Mild memory disturbance,February 2009
67838,Z7CE412,80,0,1,0,Memory loss symptom,February 2009
4033,E030.00,22640,0,1211,0,Acute confusional state,February 2009
25114,E030400,278,0,15,0,"Acute confusional state, of cerebrovascular origin",February 2009
108582,Z7CFa00,5,0,0,0,Unable to remember current year,September 2014
32599,Z7CFS00,8,0,0,0,Unable to remember own age,February 2009
60263,3AE2.00,127,0,0,0,GDS level 3 - mild cognitive decline,February 2009
10514,Z7CEH00,5808,0,491,0,Memory impairment,February 2009
3486,E030.12,3849,0,960,0,Toxic confusional state,February 2009
9786,Z7CEC11,209,0,71,0,Loss of memory for recent events,February 2009
7711,R00z011,3040,0,299,0,[D]Memory deficit,February 2009
19073,Z7CEJ00,3143,0,268,0,Memory lapses,February 2009
61238,E031000,11,0,0,0,"Subacute confusional state, post traumatic",February 2009
54430,Z7CFh00,10,0,0,0,Cannot remember birth dates of children,February 2009
60600,Z7CFG00,19,0,0,0,Forgets what was going to say,February 2009
3991,2841.11,91176,0,9787,1,Confusion,February 2009
64892,Z7CEN11,2,0,0,0,Invents experiences to compensate for loss of memory,February 2009
40821,1B1a.00,70,0,5,0,Poor auditory sequential memory,February 2009
67163,1S21.00,37,0,1,0,Disturbance of memory for order of events,February 2009
103453,1B1A100,975,0,38,0,Short-term memory loss,December 2011
27788,1B1A000,614,0,42,0,Temporary loss of memory,February 2009
12805,Z7CE614,358,0,12,0,Memory loss - amnesia,February 2009
53146,3A20.00,430,0,0,0,Memory: present time not known,February 2009
63849,Z7CFU00,16,0,0,0,Unable to remember day of the week,February 2009
65856,3AE1.00,51,0,0,0,GDS level 2 - very mild cognitive decline,February 2009
16968,2232.11,3327,0,246,2,O/E - confused,February 2009
47581,Z7CFO11,26,0,2,0,Long-term memory loss,February 2009
10822,Z7C1.00,25648,0,771,0,Impaired cognition,February 2009
10571,Z7CF811,2980,0,279,0,Short-term memory loss,February 2009
69118,Z7CFS11,2,0,0,0,Cannot remember own age,February 2009
51724,Z7CEL00,30,0,1,0,Mild memory disturbance,February 2009
94079,E030200,6,0,0,0,"Acute confusional state, of endocrine origin",February 2009
59726,Z523300,5,0,0,0,Cognitive restructuring,February 2009
4874,2232.00,3913,0,235,0,O/E - mentally confused,February 2009
53978,Z7CFO00,168,0,0,0,Poor long-term memory,February 2009
47994,Z7CFM00,12,0,0,0,Forgets what has just heard,February 2009
52825,3A60.00,469,0,0,0,Memory: present month not knwn,February 2009
60726,3AE3.00,60,0,0,0,GDS level 4 - moderate cognitive decline,February 2009
4951,E042.00,3116,0,251,0,Chronic confusional state,February 2009
65696,Z7CEA13,24,0,3,0,Impairment of primary memory,February 2009
32367,Z7CEA11,226,0,18,0,Impairment of working memory,February 2009
105793,Z7CFg00,6,0,0,0,Cannot remember names of intimates,February 2013
7742,28G..00,9799,0,649,3,Forgetful,February 2009
70057,3AE4.00,49,0,0,0,GDS level 5 - moderately severe cognitive decline,February 2009
72520,3AE6.00,5,0,0,0,GDS level 7 - very severe cognitive decline,February 2009
53507,Z7CEK00,61,0,3,0,Minor memory lapses,February 2009
110307,1S23.00,3958,0,430,0,Memory impairment,December 2015
113710,E031200,1,0,0,0,"Subacute confusional state, of endocrine origin",May 2019
70409,E030300,20,0,0,0,"Acute confusional state, of metabolic origin",February 2009
11410,Z7CF800,3204,0,294,0,Poor short-term memory,February 2009
70895,Z7CFK00,1,0,0,0,Forgets what has just read,February 2009
40091,Z7CFI00,12,0,0,0,Forgets what has just done,February 2009
52801,3A80.00,485,0,0,0,Memory: import.person not knwn,February 2009
11936,Eu05700,10549,0,185,0,[X]Mild cognitive disorder,February 2009
19719,Z7CC311,158,0,11,0,Orientation confused,February 2009
39507,1B1Y.00,349,0,129,0,Poor visual sequential memory,February 2009
53125,3A50.00,265,0,0,0,Memory: own DOB not known,February 2009
1993,1B1A.00,44728,0,8522,18,Memory loss - amnesia,February 2009
24952,Z7CE500,1230,0,58,0,Forgetful,February 2009
10123,Z7CE611,4162,0,572,0,Memory loss,February 2009
68230,Z7CE612,3,0,0,0,Memory gone,February 2009
19297,Z7CE615,769,0,160,0,Loss of memory,February 2009
12277,Z7CE616,125,0,23,0,LOM - Loss of memory,February 2009
67802,Z7CEC12,8,0,0,0,No memory for recent events,February 2009
25051,E030000,132,0,6,0,"Acute confusional state, post traumatic",February 2009
63942,Z7CFQ00,11,0,0,0,Unable to remember own date of birth,February 2009
41366,Z7CFH00,14,0,2,0,Forgets recent activities,February 2009
94717,3AE5.00,30,0,0,0,GDS level 6 - severe cognitive decline,February 2009
38671,E031300,7,0,0,0,"Subacute confusional state, of metabolic origin",February 2009
52805,3A91.00,541,0,1,0,Memory: count down unsuccess.,February 2009
107402,28E2.00,340,0,1,0,Severe cognitive impairment,December 2013
107282,28E0.00,10787,0,34,0,Mild cognitive impairment,November 2013
37191,Z7CEB12,63,0,16,0,Poor memory for remote events,February 2009
93194,ZRVt.11,4,0,0,0,MCLA - Measurement of cognitive linguistic ability,February 2009
7332,E132.00,5767,0,825,0,Reactive confusion,February 2009
5188,R009.00,63408,0,3988,0,[D]Confusion,February 2009
53014,3A30.00,748,0,0,0,Memory: present place not knwn,February 2009
51379,Z7CE400,25,0,2,0,Memory disturbance (& amnesia (& symptom)),February 2009
17021,E031.00,2074,0,208,0,Subacute confusional state,February 2009
93856,Z7CFe00,14,0,0,0,Unable to remember name of current prime minister,February 2009
93319,Z7CFJ00,7,0,0,0,Forgets what has just said,February 2009
62749,Z7CFi00,13,0,1,0,Cannot remember wedding anniversary,February 2009
2908,1B1A.13,30852,0,4761,0,Memory disturbance,February 2009
5777,1B1A.12,207285,0,37885,0,Memory loss symptom,February 2009
116353,Z7CEB11,1,0,0,0,Loss of memory for remote events,July 2023
24035,E031400,124,0,7,0,"Subacute confusional state, of cerebrovascular origin",February 2009
50683,E030100,350,0,1,0,"Acute confusional state, of infective origin",February 2009
16988,Eu44y13,420,0,94,0,[X]Psychogenic confusion,February 2009
110729,Eu05800,18,0,0,0,[X]Cognitive communication disorder,April 2016
69359,E031100,28,0,0,0,"Subacute confusional state, of infective origin",February 2009
26104,R009000,203,0,10,0,[D]Toxic confusional state,February 2009
52948,3A40.00,547,0,0,0,Memory: present year not known,February 2009
103479,Z7CFL00,1,0,0,0,Forgets what has just seen,December 2011
52947,3A10.00,338,0,0,0,Memory: own age not known,February 2009
109845,Z7CG800,1,0,0,0,Implicit memory,July 2015
67998,Z7CEF00,17,0,0,0,Temporary loss of memory,February 2009
62114,ZRVt.00,16,0,0,0,Measurement of cognitive linguistic ability,February 2009
3325,R009.11,4522,0,721,5,[D] Senile confusion,February 2009
108266,28E3.00,2944,0,2,0,Cognitive impairment,July 2014
107482,28E1.00,496,0,1,0,Moderate cognitive impairment,December 2013
102880,Z7CE415,10,0,2,0,Loss of memory,August 2011
105538,Z7CE414,9,0,0,0,Memory disturbance,January 2013
103375,Z7CE413,3,0,0,0,Memory loss - amnesia,December 2011
7674,28E..00,26153,0,1314,0,Cognitive decline,February 2009
6061,E2A1100,2378,0,276,0,Organic memory impairment,February 2009
66684,Z7CFW00,3,0,0,0,Unable to remember today's date,February 2009
51739,Z7CEM00,19,0,2,0,Distortion of memory,February 2009
55784,E031z00,126,0,2,0,Subacute confusional state NOS,February 2009
7389,Eu04.12,8888,0,1071,0,"[X]Acute / subacute confusional state, nonalcoholic",February 2009
1713,2841.00,114844,0,12184,27,Confused,February 2009
40002,ZS3..00,23,0,0,0,Language-related cognitive disorder,February 2009
59515,Z7CFF00,40,0,1,0,Forgets what was going to do,February 2009
