medcode,readcode,clinicalevents,immunisationevents,referralevents,testevents,readterm,databaserelease,pallcare
5710,H3z..00,130338,0,1481,2,Chronic obstructive airways disease NOS,February 2009,0
92955,H32y000,9,0,0,0,Acute vesicular emphysema,February 2009,0
99536,H320300,24,0,0,0,Bullous emphysema with collapse,May 2010,0
27819,H312.00,1379,0,6,0,Obstructive chronic bronchitis,February 2009,0
25603,H310.00,1128,0,0,0,Simple chronic bronchitis,February 2009,0
96931,14OX.00,3119,0,37,0,At risk of chronic obstructive pulmonary diseas exacerbation,June 2009,0
5909,H312011,649,0,18,0,Chronic wheezy bronchitis,February 2009,0
10863,H36..00,102534,0,227,69,Mild chronic obstructive pulmonary disease,February 2009,0
70787,H32y100,6,0,0,0,Atrophic (senile) emphysema,February 2009,0
10802,H37..00,100389,0,278,119,Moderate chronic obstructive pulmonary disease,February 2009,0
23492,H320z00,130,0,3,0,Chronic bullous emphysema NOS,February 2009,0
61118,H310z00,78,0,0,0,Simple chronic bronchitis NOS,February 2009,0
60188,H320200,25,0,0,0,Giant bullous emphysema,February 2009,0
66043,H31y.00,37,0,0,0,Other chronic bronchitis,February 2009,0
794,H32..00,76736,0,2074,30,Emphysema,February 2009,0
44525,H312z00,1036,0,0,0,Obstructive chronic bronchitis NOS,February 2009,0
15626,H310000,1765,0,46,0,Chronic catarrhal bronchitis,February 2009,0
63479,H32y200,40,0,0,0,MacLeod's unilateral emphysema,February 2009,0
59263,H32y111,19,0,1,0,Acute interstitial emphysema,February 2009,0
103494,14B3.12,3430,0,85,0,History of chronic obstructive pulmonary disease,January 2012,0
46578,H321.00,63,0,0,0,Panlobular emphysema,February 2009,0
68662,H320100,26,0,0,0,Zonal bullous emphysema,February 2009,0
15157,H31z.00,4335,0,100,4,Chronic bronchitis NOS,February 2009,0
103733,H320311,15,0,0,0,Tension pneumatocoele,February 2012,0
14798,H312100,1690,0,45,5,Emphysematous bronchitis,February 2009,0
56860,H320000,33,0,0,0,Segmental bullous emphysema,February 2009,0
5798,H312000,4746,0,55,0,Chronic asthmatic bronchitis,February 2009,0
16717,H310100,3470,0,65,0,Smokers' cough,February 2009,0
68066,H31yz00,38,0,0,0,Other chronic bronchitis NOS,February 2009,0
93568,H39..00,4197,0,70,10,Very severe chronic obstructive pulmonary disease,February 2009,0
67040,H3y..11,20,0,0,0,Other specified chronic obstructive pulmonary disease,February 2009,0
37959,H311100,7,0,0,0,Fetid chronic bronchitis,February 2009,0
33450,H32z.00,2034,0,9,0,Emphysema NOS,February 2009,0
3243,H31..00,35614,0,776,32,Chronic bronchitis,February 2009,0
9876,H38..00,42603,0,369,50,Severe chronic obstructive pulmonary disease,February 2009,0
45089,H31y100,70,0,1,0,Chronic tracheobronchitis,February 2009,0
61513,H311z00,72,0,1,0,Mucopurulent chronic bronchitis NOS,February 2009,0
7884,H3y1.00,96328,0,795,0,"Chron obstruct pulmonary dis wth acute exacerbation, unspec",February 2009,0
40159,H311000,80,0,1,0,Purulent chronic bronchitis,February 2009,0
12166,H3y..00,5208,0,18,2,Other specified chronic obstructive airways disease,February 2009,0
1001,H3...00,556260,0,13090,148,Chronic obstructive pulmonary disease,February 2009,0
104608,H3A..00,389,0,0,0,End stage chronic obstructive airways disease,July 2012,0
40788,H32y.00,143,0,2,1,Other emphysema,February 2009,0
23618,H31y000,1142,0,28,0,Chronic tracheitis,February 2009,0
10980,H322.00,554,0,1,0,Centrilobular emphysema,February 2009,0
21061,H3y0.00,6623,0,43,0,Chronic obstruct pulmonary dis with acute lower resp infectn,February 2009,0
24248,H313.00,39,0,0,0,Mixed simple and mucopurulent chronic bronchitis,February 2009,0
11150,H311.00,420,0,0,0,Mucopurulent chronic bronchitis,February 2009,0
1446,H312200,315437,0,4783,5,Acute exacerbation of chronic obstructive airways disease,February 2009,0
37247,H3z..11,2159,0,16,0,Chronic obstructive pulmonary disease NOS,February 2009,0
998,H3...11,226722,0,13436,103,Chronic obstructive airways disease,February 2009,0
16410,H32yz00,117,0,2,0,Other emphysema NOS,February 2009,0
26306,H320.00,939,0,28,1,Chronic bullous emphysema,February 2009,0
26125,H312300,345,0,5,0,Bronchiolitis obliterans,February 2009,0
