medcode,readcode,clinicalevents,immunisationevents,referralevents,testevents,readterm,databaserelease
37493,G67z.00,497,0,1,0,Other cerebrovascular disease NOS,February 2009
51138,G68W.00,42,0,2,0,Sequelae/other + unspecified cerebrovascular diseases,February 2009
51326,G63y.00,62,0,0,0,Other precerebral artery occlusion,February 2009
30202,G617.00,1255,0,3,0,"Intracerebral haemorrhage, intraventricular",February 2009
52968,S63..00,19,0,0,0,Other cerebral haemorrhage following injury,February 2009
10792,662M.00,126154,0,849,0,Stroke monitoring,February 2009
93459,Fyu5600,159,0,0,0,[X]Other lacunar syndromes,February 2009
26424,G64z400,2262,0,8,0,Infarction of basal ganglia,February 2009
48149,G681.00,52,0,0,0,Sequelae of intracerebral haemorrhage,February 2009
45781,G63..00,453,0,6,0,Precerebral arterial occlusion,February 2009
31060,G61X.00,220,0,0,0,"Intracerebral haemorrhage in hemisphere, unspecified",February 2009
5871,14A7.12,13773,0,767,0,H/O: stroke,February 2009
105520,8Hd6.00,250,0,10,0,Admission to stroke unit,January 2013
43451,G682.00,295,0,5,0,Sequelae of other nontraumatic intracranial haemorrhage,February 2009
8443,G663.00,1762,0,26,0,Brain stem stroke syndrome,February 2009
19280,G661.00,544,0,1,0,Anterior cerebral artery syndrome,February 2009
28077,S62..14,152,0,0,0,Traumatic cerebral haemorrhage,February 2009
16517,G640.00,4195,0,100,0,Cerebral thrombosis,February 2009
55351,7P24200,247,0,48,0,Delivery of rehabilitation for stroke,February 2009
1433,G65..12,238202,0,10610,0,Transient ischaemic attack,February 2009
46316,G612.00,218,0,0,0,Basal nucleus haemorrhage,February 2009
51767,G666.00,305,0,2,0,Pure sensory lacunar syndrome,February 2009
109679,5C13.00,242,0,10,273,Old cerebral infarction on imaging,May 2015
63746,Fyu5500,103,0,0,0,[X]Other transnt cerebral ischaemic attacks+related syndroms,February 2009
34758,G641.11,124,0,2,0,Cerebral embolus,February 2009
105738,G657.00,126,0,0,0,Carotid territory transient ischaemic attack,January 2013
10504,G64z300,3417,0,4,0,Right sided cerebral infarction,February 2009
5682,S62..00,1085,0,20,0,Cerebral haemorrhage following injury,February 2009
108668,Gyu6000,4,0,0,0,[X]Subarachnoid haemorrhage from other intracranial arteries,October 2014
6228,G68X.00,593,0,11,0,"Sequelae of stroke,not specfd as h'morrhage or infarction",February 2009
7138,ZV12512,1007,0,37,0,[V]Personal history of cerebrovascular accident (CVA),February 2009
19348,ZV12511,1074,0,32,0,[V]Personal history of stroke,February 2009
30045,G616.00,59,0,1,0,External capsule haemorrhage,February 2009
47607,L440.11,117,0,0,0,CVA - cerebrovascular accident in the puerperium,February 2009
13567,14AB.00,13282,0,721,0,H/O: TIA,February 2009
107195,661M700,18,0,0,0,Stroke self-management plan agreed,October 2013
5185,G64z111,424,0,5,0,Lateral medullary syndrome,February 2009
71585,G63z.00,61,0,0,0,Precerebral artery occlusion NOS,February 2009
24446,G63y100,535,0,5,0,Cerebral infarction due to embolism of precerebral arteries,February 2009
56279,L440.12,16,0,0,0,Stroke in the puerperium,February 2009
13564,G613.00,2471,0,24,0,Cerebellar haemorrhage,February 2009
33543,G6X..00,3336,0,4,0,Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,February 2009
40847,G632.00,383,0,3,0,Vertebral artery occlusion,February 2009
20284,G62z.00,1391,0,19,0,Intracranial haemorrhage NOS,February 2009
18686,662e.00,181650,0,122,0,Stroke/CVA annual review,February 2009
6960,G61..11,15042,0,452,1,CVA - cerebrovascular accid due to intracerebral haemorrhage,February 2009
18604,G61..12,3138,0,33,0,Stroke due to intracerebral haemorrhage,February 2009
8837,G64..00,35575,0,209,0,Cerebral arterial occlusion,February 2009
92036,Gyu6600,67,0,0,0,[X]Occlusion and stenosis of other cerebral arteries,February 2009
9985,G64z200,3773,0,8,0,Left sided cerebral infarction,February 2009
3149,G64z.00,47653,0,249,0,Cerebral infarction NOS,February 2009
39403,G683.00,183,0,4,0,Sequelae of cerebral infarction,February 2009
17326,G60X.00,394,0,3,0,"Subarachnoid haemorrh from intracranial artery, unspecif",February 2009
6155,G64..13,7211,0,58,0,Stroke due to cerebral arterial occlusion,February 2009
71274,G677400,9,0,0,0,Occlusion+stenosis of multiple and bilat cerebral arteries,February 2009
19201,G61X100,358,0,0,0,"Right sided intracerebral haemorrhage, unspecified",February 2009
23671,G63y000,2047,0,8,0,Cerebral infarct due to thrombosis of precerebral arteries,February 2009
47642,G64z100,78,0,1,0,Wallenberg syndrome,February 2009
27975,G641000,334,0,0,0,Cerebral infarction due to embolism of cerebral arteries,February 2009
66873,14AK.00,161,0,7,0,H/O: Stroke in last year,February 2009
100639,1M4..00,118,0,4,0,Central post-stroke pain,September 2010
12555,G671z00,175,0,0,0,Generalised ischaemic cerebrovascular disease NOS,February 2009
107440,G619.00,287,0,0,0,Lobar cerebral haemorrhage,December 2013
90572,Gyu6500,30,0,0,0,[X]Occlusion and stenosis of other precerebral arteries,February 2009
40338,G611.00,371,0,6,0,Internal capsule haemorrhage,February 2009
107886,662e.11,38,0,0,0,Stroke annual review,April 2014
104505,662M200,27,0,0,0,Stroke initial post discharge review,July 2012
31805,G62..00,370,0,1,0,Other and unspecified intracranial haemorrhage,February 2009
7912,G614.00,629,0,3,0,Pontine haemorrhage,February 2009
5051,G61..00,24090,0,273,0,Intracerebral haemorrhage,February 2009
5363,G64..11,40751,0,500,0,CVA - cerebral artery occlusion,February 2009
569,G64..12,5492,0,192,0,Infarction - cerebral,February 2009
28753,9Om0.00,188637,0,483,0,Stroke/transient ischaemic attack monitoring first letter,February 2009
28914,662o.00,308,0,7,0,Haemorrhagic stroke monitoring,February 2009
105100,662M100,96,0,0,0,Stroke 6 month review,October 2012
