v1,medcode,readcode,clinicalevents,readterm,vascular,Alzheimer,other
46,16797,F110000,1113,Alzheimer's disease with early onset,0,1,0
217,61528,Eu00013,18,[X]Alzheimer's disease type 2,0,1,0
56,11379,Eu00112,1697,"[X]Senile dementia,Alzheimer's type",0,1,0
236,59122,Fyu3000,23,[X]Other Alzheimer's disease,0,1,0
42,32057,F110100,1365,Alzheimer's disease with late onset,0,1,0
170,60059,Eu00012,32,"[X]Primary degen dementia, Alzheimer's type, presenile onset",0,1,0
180,25704,Eu00011,70,"[X]Presenile dementia,Alzheimer's type",0,1,0
129,46762,Eu00111,90,[X]Alzheimer's disease type 1,0,1,0
31,8195,Eu00z11,12820,[X]Alzheimer's dementia unspec,0,1,0
12,1917,F110.00,85227,Alzheimer's disease,0,1,0
197,28626,13Y7.00,74,Alzheimer's disease society member,0,1,0
91,38678,Eu00100,1561,[X]Dementia in Alzheimer's disease with late onset,0,1,0
133,49263,Eu00000,691,[X]Dementia in Alzheimer's disease with early onset,0,1,0
40,43346,Eu00113,97,"[X]Primary degen dementia of Alzheimer's type, senile onset",0,1,0
28,7664,Eu00.00,39731,[X]Dementia in Alzheimer's disease,0,1,0
117,29386,Eu00z00,1780,"[X]Dementia in Alzheimer's disease, unspecified",0,1,0
268,111349,8T0Y.00,25,Referral to Alzheimer's Society,0,1,0
58,30706,Eu00200,6198,"[X]Dementia in Alzheimer's dis, atypical or mixed type",0,1,0
54,31016,Eu01300,2709,[X]Mixed cortical and subcortical vascular dementia,1,0,0
150,43292,E004300,119,Arteriosclerotic dementia with depression,1,0,0
23,6578,Eu01.00,77890,[X]Vascular dementia,1,0,0
60,19393,Eu01z00,1501,"[X]Vascular dementia, unspecified",1,0,0
1,19477,E004.00,3678,Arteriosclerotic dementia,1,0,0
4,8634,E004.11,5731,Multi infarct dementia,1,0,0
113,8934,Eu01200,466,[X]Subcortical vascular dementia,1,0,0
104,55313,Eu01y00,476,[X]Other vascular dementia,1,0,0
69,43089,E004000,127,Uncomplicated arteriosclerotic dementia,1,0,0
70,42279,E004z00,411,Arteriosclerotic dementia NOS,1,0,0
45,11175,Eu01100,1672,[X]Multi-infarct dementia,1,0,0
148,55467,E004200,57,Arteriosclerotic dementia with paranoia,1,0,0
162,56912,E004100,40,Arteriosclerotic dementia with delirium,1,0,0
164,46488,Eu01000,78,[X]Vascular dementia of acute onset,1,0,0
0,9565,Eu01.11,1269,[X]Arteriosclerotic dementia,1,0,0
118,54744,F11x200,75,Cerebral degeneration due to cerebrovascular disease,1,0,0
66,25386,E041.00,2579,Dementia in conditions EC,0,0,1
172,27677,E001300,143,Presenile dementia with depression,0,0,1
114,33707,E00..00,7557,Senile and presenile organic psychotic conditions,0,0,1
27,104155,1JA2.00,6751,Suspected dementia,0,0,1
143,103445,8Hla.00,1079,Referral to dementia care advisor,0,0,1
86,21887,E002100,890,Senile dementia with depression,0,0,1
52,108268,8CMG200,11030,Review of dementia advance care plan,0,0,1
127,109731,8CMZ000,5551,Dementia care plan agreed,0,0,1
32,3325,R009.11,4481,[D] Senile confusion,0,0,1
185,55838,Eu01111,50,[X]Predominantly cortical dementia,0,0,1
211,63652,F103000,7,Cerebral degeneration in Hunter's disease,0,0,1
142,106627,8T05.00,304,Referral to dementia service,0,0,1
161,44674,E002.00,336,Senile dementia with depressive or paranoid features,0,0,1
6,4693,Eu02z00,60863,[X] Unspecified dementia,0,0,1
2,12710,6AB..00,384544,Dementia annual review,0,0,1
227,60680,A941.00,69,General paresis - neurosyphilis,0,0,1
159,96860,F11x900,56,Cerebral degeneration in Parkinson's disease,0,0,1
72,27342,E012.11,1092,Alcoholic dementia NOS,0,0,1
167,108228,8CSA.00,4490,Dementia advance care plan agreed,0,0,1
257,109397,8T05000,102,Referral to dementia support organisation,0,0,1
145,56288,F10..00,398,Cerebral degenerations usually manifest in childhood,0,0,1
169,109786,8CMZ200,196,Dementia care plan declined,0,0,1
216,89037,9Ou4.00,683,Dementia monitoring verbal invite,0,0,1
212,31524,F11yz00,36,Other cerebral degeneration NOS,0,0,1
168,108391,8IAe000,155,Dementia advance care plan declined,0,0,1
208,109047,8BPa.00,39,Antipsychotic drug therapy for dementia,0,0,1
219,34976,F11y.00,46,Other cerebral degeneration,0,0,1
77,11670,Eu10611,552,"[X]Korsakov's psychosis, alcohol induced",0,0,1
134,28402,Eu02000,261,[X]Dementia in Pick's disease,0,0,1
20,9509,Eu02300,3180,[X]Dementia in Parkinson's disease,0,0,1
140,47555,F11x000,134,Cerebral degeneration due to alcoholism,0,0,1
99,27935,Eu02z15,401,[X] Senile psychosis NOS,0,0,1
53,40805,9hD1.00,4232,Excepted from dementia quality indicators: Informed dissent,0,0,1
141,83576,9Ou2.00,7300,Dementia monitoring second letter,0,0,1
224,48501,Eu02z11,105,[X] Presenile dementia NOS,0,0,1
157,13570,R200.11,800,[D]Senility,0,0,1
62,5931,1461,22735,H/O: dementia,0,0,1
107,27759,Eu02z16,211,"[X] Senile dementia, depressed or paranoid type",0,0,1
109,11136,F111.00,367,Pick's disease,0,0,1
264,102189,ZR1T.00,2,Arizona battery for communication disorders of dementia,0,0,1
232,37698,R20..00,82,"[D]Senility, without mention of psychosis",0,0,1
108,104534,F118.00,255,Frontotemporal degeneration,0,0,1
34,26270,Eu02500,5060,[X]Lewy body dementia,0,0,1
153,30032,E001200,172,Presenile dementia with paranoia,0,0,1
156,37014,Eu02200,272,[X]Dementia in Huntington's disease,0,0,1
158,38286,A411.00,118,Jakob-Creutzfeldt disease,0,0,1
280,108773,F103z00,6,Cerebral degeneration in disease NOS,0,0,1
106,5651,F11z.00,3227,Cerebral degeneration NOS,0,0,1
230,24581,F11x600,14,Cerebral degeneration due to vitamin B12 deficiency,0,0,1
282,99684,F11x800,3,Cerebral degeneration due to multifocal leucoencephalopathy,0,0,1
68,18636,E011200,674,Wernicke-Korsakov syndrome,0,0,1
120,62132,E02y100,47,Drug-induced dementia,0,0,1
187,41185,Eu02400,38,[X]Dementia in human immunodef virus [HIV] disease,0,0,1
267,96549,ZRV9.00,1,Kendrick battery for detection of dementia in the elderly,0,0,1
22,55023,66h..00,17596,Dementia monitoring,0,0,1
30,1916,E00..11,36687,Senile dementia,0,0,1
243,55222,ZS7C500,12,Language disorder of dementia,0,0,1
176,89036,9Ou3.00,3028,Dementia monitoring third letter,0,0,1
209,57993,Eu03.11,46,"[X]Korsakov's psychosis, nonalcoholic",0,0,1
136,47619,Eu02z12,62,[X] Presenile psychosis NOS,0,0,1
194,48091,2229.13,51,O/E - senility - no psychosis,0,0,1
191,49513,E001100,195,Presenile dementia with delirium,0,0,1
160,52673,A413.00,107,Progressive multifocal leucoencephalopathy,0,0,1
111,15165,E001.00,2395,Presenile dementia,0,0,1
258,105580,C373D00,15,Senile systemic amyloidosis,0,0,1
228,48067,TG44600,7,Accident caused by ice pick,0,0,1
5,7572,F116.00,2242,Lewy body disease,0,0,1
223,101999,Eu84311,2,[X]Dementia infantalis,0,0,1
188,54106,Eu02100,50,[X]Dementia in Creutzfeldt-Jakob disease,0,0,1
226,68194,F21y211,7,Binswanger's encephalopathy,0,0,1
189,54505,E012.00,249,Other alcoholic dementia,0,0,1
246,97422,F11x.00,5,Cerebral degeneration in other disease EC,0,0,1
290,109834,8T05100,8,Referral to dementia support organisation declined,0,0,1
151,5095,F21y200,79,Binswanger's disease,0,0,1
137,44341,9hD..00,250,Exception reporting: dementia quality indicators,0,0,1
213,70709,4L49.00,12,Prion protein markers for Creutzfeldt-Jakob disease,0,0,1
255,67762,F103100,2,Cerebral degeneration in mucopolysaccharidoses,0,0,1
9,30641,9hD0.00,13298,Excepted from dementia quality indicators: Patient unsuitabl,0,0,1
249,44592,F11xz00,16,Cerebral degeneration other disease NOS,0,0,1
82,109737,8BM0200,1216,Dementia medication review,0,0,1
47,64267,Eu02y00,119,[X]Dementia in other specified diseases classif elsewhere,0,0,1
199,48531,F11x700,83,Cerebral degeneration due to Jakob - Creutzfeldt disease,0,0,1
266,59956,F10z.00,14,Childhood cerebral degenerations NOS,0,0,1
74,26323,Eu10711,909,[X]Alcoholic dementia NOS,0,0,1
182,38438,E001z00,311,Presenile dementia NOS,0,0,1
221,93372,F103.00,8,Cerebral degeneration in diseases EC,0,0,1
183,29512,F112.00,746,Senile degeneration of brain,0,0,1
166,109790,8CMe000,1522,Dementia advance care plan,0,0,1
35,109708,8CMZ100,28643,Dementia care plan reviewed,0,0,1
130,31892,F11..00,331,Other cerebral degenerations,0,0,1
186,41089,E002z00,54,Senile dementia with depressive or paranoid features NOS,0,0,1
126,53446,Eu04100,273,[X]Delirium superimposed on dementia,0,0,1
21,12621,Eu02.00,1378,[X]Dementia in other diseases classified elsewhere,0,0,1
139,49674,9Ou1.00,29566,Dementia monitoring first letter,0,0,1
8,1350,E00..12,77985,Senile/presenile dementia,0,0,1
55,4357,Eu02z14,15670,[X] Senile dementia NOS,0,0,1
44,18386,E002000,671,Senile dementia with paranoia,0,0,1
95,37015,E003.00,940,Senile dementia with delirium,0,0,1
173,65235,9Ou5.00,1661,Dementia monitoring telephone invite,0,0,1
245,47658,F11x500,9,Cerebral degeneration due to myxoedema,0,0,1
214,109288,A411000,47,Sporadic Creutzfeldt-Jakob disease,0,0,1
292,114501,F10yz00,2,Other cerebral degenerations in childhood NOS,0,0,1
293,114978,A410.00,2,Kuru,0,0,1
101,61405,F426400,39,Senile reticular degeneration,0,0,1
71,4500,E011000,2418,Korsakov's alcoholic psychosis,0,0,1
15,106311,8CMZ.00,22948,Dementia care plan,0,0,1
174,34944,Eu02z13,116,[X] Primary degenerative dementia NOS,0,0,1
181,85853,9Ou..00,1573,Dementia monitoring administration,0,0,1
178,42602,E001000,54,Uncomplicated presenile dementia,0,0,1
115,39799,Eu10600,166,[X]Mental and behav dis due to use alcohol: amnesic syndrome,0,0,1
41,7323,E000.00,21440,Uncomplicated senile dementia,0,0,1
102,11106,E011100,125,Korsakov's alcoholic psychosis with peripheral neuritis,0,0,1
271,92341,R20z.00,6,"[D]Senility, without psychosis NOS",0,0,1
254,70957,F11x400,2,Cerebral degeneration due to neoplastic disease,0,0,1
