medcode,readcode,clinicalevents,immunisationevents,referralevents,testevents,readterm,databasebuild
506,C100112,95113,0,4541,11,Non-insulin dependent diabetes mellitus,February 2009
711,C10..00,810243,0,38860,4,Diabetes mellitus,February 2009
758,C10F.00,889749,0,12497,21,Type 2 diabetes mellitus,February 2009
1038,C100011,34753,0,2163,4,Insulin dependent diabetes mellitus,February 2009
1407,C10FJ00,13254,0,83,0,Insulin treated Type 2 diabetes mellitus,February 2009
1549,C10E.00,90576,0,2184,2,Type 1 diabetes mellitus,February 2009
1647,C108.00,23811,0,832,7,Insulin dependent diabetes mellitus,February 2009
1682,C101.00,13140,0,2143,8,Diabetes mellitus with ketoacidosis,February 2009
2475,C104.11,3319,0,143,0,Diabetic nephropathy,February 2009
4513,C109.00,91340,0,1774,6,Non-insulin dependent diabetes mellitus,February 2009
5884,C109.11,6313,0,168,0,NIDDM - Non-insulin dependent diabetes mellitus,February 2009
6509,C108700,251,0,41,0,Insulin dependent diabetes mellitus with retinopathy,February 2009
6791,C108800,435,0,19,0,Insulin dependent diabetes mellitus - poor control,February 2009
7795,C106.12,9246,0,218,0,Diabetes mellitus with neuropathy,February 2009
8403,C109700,1703,0,45,0,Non-insulin dependent diabetes mellitus - poor control,February 2009
10098,C10yy00,8,0,0,0,Other specified diabetes mellitus with other spec comps,February 2009
10418,C10ED00,483,0,9,0,Type 1 diabetes mellitus with nephropathy,February 2009
10692,C10EM00,5767,0,105,0,Type 1 diabetes mellitus with ketoacidosis,February 2009
11551,C10B.00,1405,0,24,0,Diabetes mellitus induced by steroids,February 2009
12455,C10E.11,609,0,4,0,Type I diabetes mellitus,February 2009
12640,C10FC00,2053,0,64,0,Type 2 diabetes mellitus with nephropathy,February 2009
12736,C10F500,53,0,4,0,Type 2 diabetes mellitus with gangrene,February 2009
13279,C104y00,14,0,0,0,Other specified diabetes mellitus with renal complications,February 2009
14803,C100100,14148,0,643,1,"Diabetes mellitus, adult onset, no mention of complication",February 2009
14889,C100111,20801,0,2098,9,Maturity onset diabetes,February 2009
15690,C103.00,353,0,58,0,Diabetes mellitus with ketoacidotic coma,February 2009
16230,C106.00,13087,0,55,0,Diabetes mellitus with neurological manifestation,February 2009
16491,C106.13,67,0,0,0,Diabetes mellitus with polyneuropathy,February 2009
16502,C104.00,1442,0,101,0,Diabetes mellitus with renal manifestation,February 2009
17262,C109600,114,0,26,0,Non-insulin-dependent diabetes mellitus with retinopathy,February 2009
17545,C108F11,5,0,1,0,Type I diabetes mellitus with diabetic cataract,February 2009
17858,C108.12,6311,0,175,0,Type 1 diabetes mellitus,February 2009
17859,C109.12,46605,0,1137,2,Type 2 diabetes mellitus,February 2009
18143,C109G11,1,0,0,0,Type II diabetes mellitus with arthropathy,February 2009
18209,C109012,21,0,1,0,Type 2 diabetes mellitus with renal complications,February 2009
18219,C109.13,4932,0,125,0,Type II diabetes mellitus,February 2009
18230,C108J12,3,0,1,0,Type 1 diabetes mellitus with neuropathic arthropathy,February 2009
18264,C109J12,62,0,4,0,Insulin treated Type II diabetes mellitus,February 2009
18278,C109J00,4148,0,27,0,Insulin treated Type 2 diabetes mellitus,February 2009
18387,C10E700,521,0,12,0,Type 1 diabetes mellitus with retinopathy,February 2009
18390,C10FM00,8345,0,53,0,Type 2 diabetes mellitus with persistent microalbuminuria,February 2009
18425,C10FB00,243,0,4,0,Type 2 diabetes mellitus with polyneuropathy,February 2009
18496,C10F600,1836,0,42,2,Type 2 diabetes mellitus with retinopathy,February 2009
18505,C108.11,8345,0,316,0,IDDM-Insulin dependent diabetes mellitus,February 2009
18642,C10EH00,11,0,0,0,Type 1 diabetes mellitus with arthropathy,February 2009
18683,C10E500,47,0,1,0,Type 1 diabetes mellitus with ulcer,February 2009
18777,C10F000,230,0,18,0,Type 2 diabetes mellitus with renal complications,February 2009
21482,C102.00,220,0,34,0,Diabetes mellitus with hyperosmolar coma,February 2009
21983,C108012,5,0,0,0,Type 1 diabetes mellitus with renal complications,February 2009
22487,C10N.00,142,0,5,0,Secondary diabetes mellitus,February 2009
22573,C106z00,256,0,1,0,Diabetes mellitus NOS with neurological manifestation,February 2009
22871,C10EP00,62,0,4,0,Type 1 diabetes mellitus with exudative maculopathy,February 2009
22884,C10F.11,5045,0,13,0,Type II diabetes mellitus,February 2009
24423,C108.13,792,0,17,0,Type I diabetes mellitus,February 2009
24458,C109711,49,0,1,0,Type II diabetes mellitus - poor control,February 2009
24490,C100000,1664,0,50,0,"Diabetes mellitus, juvenile type, no mention of complication",February 2009
24693,C109G00,5,0,0,0,Non-insulin dependent diabetes mellitus with arthropathy,February 2009
24694,C108B00,1,0,0,0,Insulin dependent diabetes mellitus with mononeuropathy,February 2009
24836,C109C12,11,0,1,0,Type 2 diabetes mellitus with nephropathy,February 2009
25591,C10FQ00,188,0,5,0,Type 2 diabetes mellitus with exudative maculopathy,February 2009
25627,C10F700,1290,0,55,0,Type 2 diabetes mellitus - poor control,February 2009
26054,C10FL00,4557,0,48,3,Type 2 diabetes mellitus with persistent proteinuria,February 2009
26108,C10B000,113,0,4,0,Steroid induced diabetes mellitus without complication,February 2009
26855,C108400,66,0,4,0,Unstable insulin dependent diabetes mellitus,February 2009
29979,C109900,264,0,6,0,Non-insulin-dependent diabetes mellitus without complication,February 2009
30294,C10EL00,456,0,5,0,Type 1 diabetes mellitus with persistent microalbuminuria,February 2009
30323,C10EK00,512,0,5,0,Type 1 diabetes mellitus with persistent proteinuria,February 2009
31310,C108900,560,0,20,0,Insulin dependent diabetes maturity onset,February 2009
32403,C107.11,273,0,50,0,Diabetes mellitus with gangrene,February 2009
32556,C107.12,120,0,17,0,Diabetes with gangrene,February 2009
32627,C10FN00,835,0,50,0,Type 2 diabetes mellitus with ketoacidosis,February 2009
33254,C105.00,1787,0,24,0,Diabetes mellitus with ophthalmic manifestation,February 2009
33343,C10y.00,71,0,1,0,Diabetes mellitus with other specified manifestation,February 2009
33807,C107200,42,0,0,0,"Diabetes mellitus, adult with gangrene",February 2009
33969,C10A100,102,0,2,0,Malnutrition-related diabetes mellitus with ketoacidosis,February 2009
34268,C10F200,175,0,3,0,Type 2 diabetes mellitus with neurological complications,February 2009
34283,C105z00,165,0,0,0,Diabetes mellitus NOS with ophthalmic manifestation,February 2009
34450,C10FK00,541,0,12,0,Hyperosmolar non-ketotic state in type 2 diabetes mellitus,February 2009
34912,C109400,229,0,4,0,Non-insulin dependent diabetes mellitus with ulcer,February 2009
35105,C104100,95,0,1,0,"Diabetes mellitus, adult onset, with renal manifestation",February 2009
35107,C104z00,303,0,10,0,Diabetes mellitus with nephropathy NOS,February 2009
35288,C10E800,337,0,30,0,Type 1 diabetes mellitus - poor control,February 2009
35385,C10FH00,211,0,7,0,Type 2 diabetes mellitus with neuropathic arthropathy,February 2009
35399,C107.00,3908,0,28,0,Diabetes mellitus with peripheral circulatory disorder,February 2009
36633,C109K00,42,0,0,0,Hyperosmolar non-ketotic state in type 2 diabetes mellitus,February 2009
36695,C10D.00,338,0,4,0,Diabetes mellitus autosomal dominant type 2,February 2009
37648,C109J11,22,0,3,0,Insulin treated non-insulin dependent diabetes mellitus,February 2009
