medcode,clinicalevents,referralevents,testevents,immunisationevents,readcode,readterm,databasebuild
384,1034161,68286,54,0,TC...11,Fall - accidental,February 2009
6008,103049,10973,1,0,16D..00,Falls,February 2009
6815,97044,3732,0,0,TC...00,Accidental falls,February 2009
4859,53394,2626,0,0,R200.12,[D] Geriatric fall,February 2009
6835,26747,460,0,0,TCz..00,Accidental falls NOS,February 2009
46559,18078,12,0,0,16D2.00,Number of falls in last year,February 2009
8694,16114,1374,0,0,16D1.00,Recurrent falls,February 2009
8730,15025,2228,0,0,TCy..00,Other falls,February 2009
108062,12138,232,0,0,16D6.00,Fall,May 2014
24776,6054,346,0,0,U10z.00,[X]Unspecified fall,February 2009
15112,4871,124,0,0,TC5..00,"Fall on same level from slipping, tripping or stumbling",February 2009
7970,3728,227,0,0,U10..00,[X]Falls,February 2009
11307,2982,35,0,0,TC0..00,Fall on or from stairs or steps,February 2009
11308,2502,9,0,0,TCyz.00,Other accidental fall NOS,February 2009
11709,2042,43,0,0,TC51.00,Fall on same level from tripping,February 2009
17167,1694,66,0,0,TC01.00,Fall on or from stairs,February 2009
98223,1307,35,0,0,16D5.00,Fall onto outstretched hand,December 2009
17728,1122,4,0,0,TC01000,Fall on stairs,February 2009
26432,1005,18,0,0,TC42100,Fall from bed,February 2009
18007,910,7,0,0,TC50.00,Fall on same level from slipping,February 2009
21081,659,4,0,0,TC01100,Fall from stairs,February 2009
7948,450,11,0,0,TC52.00,Fall on same level from stumbling,February 2009
33529,410,1,0,0,TC5z.00,"Fall on same level from slipping, tripping or stumbling NOS",February 2009
15745,378,7,0,0,TCy0.00,Fall from bump against object,February 2009
17638,377,12,0,0,TH03.00,Late effects of accidental fall,February 2009
29821,246,4,0,0,U101.00,"[X]Fall on same level from slipping, tripping and stumbling",February 2009
38818,234,2,0,0,TC42000,Fall from chair,February 2009
41909,227,2,0,0,TC01z00,Fall on or from stairs NOS,February 2009
43092,200,0,0,0,TC02000,Fall on steps,February 2009
44626,170,3,0,0,TC02.00,Fall on or from steps,February 2009
53082,152,2,0,0,TC02100,Fall from steps,February 2009
10419,138,4,0,0,U10z000,"[X]Unspecified fall, occurrence at home",February 2009
44119,119,1,0,0,8BIG.00,Falls caused by medication,February 2009
36402,104,2,0,0,U10A.00,[X]Fall on and from stairs and steps,February 2009
64696,66,0,0,0,TC0z.00,Fall on or from stairs or steps NOS,February 2009
21349,63,3,0,0,U105.00,[X]Fall involving wheelchair,February 2009
49035,58,1,0,0,U101000,"[X]Fall same levl frm slip trip + stumb, occurrence at home",February 2009
48496,52,0,0,0,U10J.00,[X]Other fall on same level,February 2009
52432,44,1,0,0,U10A000,"[X]Fall on and from stairs and steps, occurrence at home",February 2009
59404,43,1,0,0,TC42.00,Fall from chair or bed,February 2009
68579,29,0,0,0,U101z00,"[X]Fall same levl frm slip trip+stumbling, occ unspec place",February 2009
43191,29,0,0,0,U10J000,"[X]Other fall on same level, occurrence at home",February 2009
53463,27,0,0,0,TC00.00,Fall on or from escalator,February 2009
50572,26,0,0,0,U107.00,[X]Fall involving chair,February 2009
44419,21,1,0,0,U106000,"[X]Fall involving bed, occurrence at home",February 2009
64722,19,0,0,0,TC02z00,Fall on or from steps NOS,February 2009
61170,19,0,0,0,U10zz00,"[X]Unspecified fall, occurrence at unspecified place",February 2009
52452,17,0,0,0,U101400,"[X]Fall same level from slip trip+stumb, occ street/highway",February 2009
55553,16,0,0,0,U108.00,[X]Fall involving other furniture,February 2009
52374,14,0,0,0,U106.00,[X]Fall involving bed,February 2009
68600,12,0,0,0,U107000,"[X]Fall involving chair, occurrence at home",February 2009
56316,12,0,0,0,TC00000,Fall on escalator,February 2009
49210,10,0,0,0,U101100,[X]Fall same level from slip trip + stumb occ resid instit,February 2009
99835,10,0,0,0,U108z00,"[X]Fall involv oth furniture, occurrnce at unspecif place",June 2010
46303,10,0,0,0,U10z100,"[X]Unspecified fall, occurrence in residential institution",February 2009
60003,6,0,0,0,TC42z00,Fall from chair or bed NOS,February 2009
101523,6,0,0,0,U10Jy00,[X]Other fall on same level occurrn at oth specified place,January 2011
96546,6,0,0,0,U10zy00,"[X]Unspecified fall, occurrence at other specified place",April 2009
49218,5,0,0,0,U101y00,"[X]Fall same level, slip trip+stumb, occ other specif place",February 2009
68591,5,0,0,0,U108000,"[X]Fall involving other furniture, occurrence at home",February 2009
64193,5,0,0,0,U10Az00,[X]Fall on + from stair + step occurrnce at unspecif place,February 2009
72474,5,0,0,0,U10J100,"[X]Other fall on same level, occurrnce in resident instit'n",February 2009
98315,3,0,0,0,U105000,"[X]Fall involving wheelchair, occurrence at home",January 2010
69762,3,0,0,0,U106100,[X]Fall involving bed occurrence in residential institution,February 2009
68613,3,0,0,0,U10Ay00,[X]Fall on + from stair + step occurrn at oth specif place,February 2009
67903,2,0,0,0,U105100,[X]Fall involvng wheelchair occurrence residential instit'n,February 2009
52466,2,0,0,0,U10A100,[X]Fall on + from stair + step occurrnce resident instit'n,February 2009
98876,2,0,0,0,U10Jz00,[X]Other fall on same level occurrence at unspecified place,April 2010
109423,1,0,0,0,U105y00,"[X]Fall involv wheelchair, occurrnce at other specif place",March 2015
104022,1,0,0,0,U105z00,[X]Fall involving wheelchair occurrnce at unspecified place,May 2012
56358,1,0,0,0,U107y00,[X]Fall involving chair occurrence at other specified place,February 2009
68617,1,0,0,0,U107z00,"[X]Fall involving chair, occurrence at unspecified place",February 2009
66922,1,0,0,0,U108100,[X]Fall involv other furniture occurrn resident institut'n,February 2009
41105,23,1,0,0,U10A511,[X]Fall on or from escalator,February 2009
6785,137,6,0,0,ZV71B00,[V]Examination and observation following a fall,February 2009
97327,6,0,0,0,U10z400,"[X]Unspecified fall, occurrence on street and highway",August 2009
101254,2,0,0,0,U10J400,"[X]Other fall on same level, occurrence on street / highway",January 2011
99385,7,0,0,0,U10A400,[X]Fall on + from stairs + steps occurrn on street/highway,May 2010
