medcode,readcode,clinicalevents,immunisationevents,referralevents,testevents,readterm,databaserelease
102585,8HgD.00,165,0,2,0,Discharge from heart failure nurse service,July 2011
24503,8B29.00,1242,0,36,0,Cardiac failure therapy,February 2009
30749,9hH0.00,9481,0,1,0,Excepted heart failure quality indicators: Patient unsuitabl,February 2009
32945,8CL3.00,4973,0,28,0,Heart failure care plan discussed with patient,February 2009
48897,8HTL.00,960,0,2103,0,Referral to heart failure clinic,February 2009
11351,585g.00,1611,0,37,4246,Echocardiogram shows left ventricular diastolic dysfunction,February 2009
30779,662W.00,19720,0,8,0,Heart failure annual review,February 2009
19380,9Or0.00,7157,0,2,0,Heart failure review completed,February 2009
94870,G580400,124,0,0,0,Congestive heart failure due to valvular disease,February 2009
71235,8Hk0.00,31,0,1,0,Referred to heart failure education group,February 2009
50157,G210.00,40,0,0,0,Malignant hypertensive heart disease,February 2009
106894,8IE1.00,730,0,0,0,Referral to heart failure exercise programme declined,August 2013
72668,G210100,7,0,0,0,Malignant hypertensive heart disease with CCF,February 2009
9913,1O1..00,13615,0,927,0,Heart failure confirmed,February 2009
5942,G581.13,11785,0,19,0,Impaired left ventricular function,February 2009
26242,ZRad.00,2377,0,1,0,New York Heart Assoc classification heart failure symptoms,February 2009
110101,8I98.00,885,0,2,0,Heart failure rehabilitation programme not available,September 2015
69062,9N6T.00,28,0,7,0,Referred by heart failure nurse specialist,February 2009
4024,G58z.00,18692,0,1354,14,Heart failure NOS,February 2009
70619,8HHz.00,3373,0,184,0,Referral to heart failure exercise programme,February 2009
90935,9hH..00,930,0,0,0,Exception reporting: heart failure quality indicators,February 2009
8966,G5yy900,37857,0,133,59,Left ventricular systolic dysfunction,February 2009
104876,G5yyB00,101,0,2,0,Right ventricular diastolic dysfunction,August 2012
20822,Q48y100,197,0,4,0,Congenital cardiac failure,February 2009
62718,G21z100,111,0,0,0,Hypertensive heart disease NOS with CCF,February 2009
101138,G583.00,859,0,2,0,Heart failure with normal ejection fraction,December 2010
8464,G400.00,3990,0,108,0,Acute cor pulmonale,February 2009
66306,SP11111,5,0,0,0,Heart failure as a complication of care,February 2009
12627,9N0k.00,41108,0,117,0,Seen in heart failure clinic,February 2009
107981,8IE0.00,10,0,0,0,Referral to heart failure education group declined,May 2014
12590,G58z.11,121,0,14,1,Weak heart,February 2009
17278,G58z.12,1167,0,38,1,Cardiac failure NOS,February 2009
1223,G58..11,13809,0,472,12,Cardiac failure,February 2009
13189,662g.00,14366,0,1,0,New York Heart Association classification - class II,February 2009
11284,585f.00,10672,0,286,36924,Echocardiogram shows left ventricular systolic dysfunction,February 2009
11613,9h11.00,6342,0,1,0,Excepted from LVD quality indicators: Patient unsuitable,February 2009
96799,G5y4z00,1,0,0,0,Post cardiac operation heart failure NOS,May 2009
60099,67D4.00,3580,0,6,0,Heart failure information given to patient,February 2009
34213,9h1..00,479,0,1,0,Exception reporting: LVD quality indicators,February 2009
64062,9hH1.00,2253,0,0,0,Excepted heart failure quality indicators: Informed dissent,February 2009
49844,G557100,11,0,0,0,Beriberi heart disease,February 2009
106680,8HTL000,223,0,832,0,Referral to rapid access heart failure clinic,August 2013
101137,G583.11,131,0,0,0,HFNEF - heart failure with normal ejection fraction,December 2010
10079,G580.12,1813,0,46,0,Right heart failure,February 2009
10154,G580.13,732,0,18,0,Right ventricular failure,February 2009
21235,1J60.00,7053,0,850,0,Suspected heart failure,February 2009
6434,1736.00,13411,0,644,0,Paroxysmal nocturnal dyspnoea,February 2009
91288,8Hg8.00,10,0,0,0,Discharge from practice nurse heart failure clinic,February 2009
111428,2JZ..00,10,0,0,0,On optimal heart failure therapy,October 2016
83481,9N4w.00,285,0,1,0,Did not attend heart failure clinic,February 2009
23707,G580000,1381,0,26,0,Acute congestive heart failure,February 2009
89650,9Or5.00,568,0,0,0,Heart failure monitoring third letter,February 2009
884,G581.00,217029,0,12425,27,Left ventricular failure,February 2009
32911,9Or..00,5539,0,90,0,Heart failure monitoring administration,February 2009
104275,G584.00,446,0,1,0,Right ventricular failure,June 2012
43618,G581.12,510,0,5,0,Pulmonary oedema - acute,February 2009
106198,661M500,170,0,0,0,Heart failure self-management plan agreed,May 2013
26082,H541000,115,0,2,0,Chronic pulmonary oedema,February 2009
2062,G58..00,152170,0,8926,21,Heart failure,February 2009
103732,8CMK.00,1782,0,13,0,Has heart failure management plan,February 2012
5141,G554000,735,0,23,1,Congestive cardiomyopathy,February 2009
28649,9h12.00,962,0,3,0,Excepted from LVD quality indicators: Informed dissent,February 2009
51214,662i.00,650,0,0,0,New York Heart Association classification - class IV,February 2009
18853,662f.00,8452,0,1,0,New York Heart Association classification - class I,February 2009
102627,183B.00,747,0,30,0,Worsening pulmonary oedema,July 2011
19002,9N2p.00,18589,0,30,0,Seen by community heart failure nurse,February 2009
5293,H584z00,888,0,33,0,Acute pulmonary oedema NOS,February 2009
95835,679X.00,929,0,16,0,Heart failure education,February 2009
32671,G580100,2028,0,14,0,Chronic congestive heart failure,February 2009
67232,G230.00,16,0,0,0,Malignant hypertensive heart and renal disease,February 2009
21837,G232.00,35,0,4,0,Hypertensive heart&renal dis wth (congestive) heart failure,February 2009
57987,G234.00,10,0,1,0,Hyperten heart&renal dis+both(congestv)heart and renal fail,February 2009
398,G580.00,236676,0,15472,79,Congestive heart failure,February 2009
5155,23E1.00,4805,0,161,0,O/E - pulmonary oedema,February 2009
17851,8HBE.00,24363,0,698,0,Heart failure follow-up,February 2009
105002,679W100,94,0,0,0,Education about deteriorating heart failure,September 2012
22262,G1yz100,188,0,13,0,Rheumatic left ventricular failure,February 2009
23481,G581.11,497,0,56,0,Asthma - cardiac,February 2009
60721,9On1.00,196,0,0,0,Left ventricular dysfunction monitoring second letter,February 2009
83502,662p.00,1864,0,2,0,Heart failure 6 month review,February 2009
12550,G5yyA00,3036,0,12,0,Left ventricular diastolic dysfunction,February 2009
95021,9N4s.00,111,0,0,0,Did not attend practice nurse heart failure clinic,February 2009
68766,G554011,14,0,0,0,Congestive obstructive cardiomyopathy,February 2009
107397,G5yyD00,2812,0,9,0,Left ventricular cardiac dysfunction,December 2013
72386,9Or4.00,2075,0,1,0,Heart failure monitoring second letter,February 2009
46672,388D.00,2790,0,0,0,New York Heart Assoc classification heart failure symptoms,February 2009
90193,9Or1.00,598,0,4,0,Heart failure monitoring telephone invite,February 2009
92305,9On3.00,45,0,0,0,Left ventricular dysfunction monitoring verbal invite,February 2009
18793,9On..00,1618,0,42,0,Left ventricular dysfunction monitoring administration,February 2009
19066,662h.00,6531,0,8,0,New York Heart Association classification - class III,February 2009
27884,G580200,3065,0,30,0,Decompensated cardiac failure,February 2009
27964,G582.00,767,0,41,0,Acute heart failure,February 2009
5255,G581000,2617,0,156,0,Acute left ventricular failure,February 2009
26115,8HHb.00,1400,0,3142,0,Referral to heart failure nurse,February 2009
20324,R2y1000,718,0,22,0,[D]Cardiorespiratory failure,February 2009
46912,14AM.00,139,0,1,0,H/O: Heart failure in last year,February 2009
106897,G583.12,1140,0,1,0,Heart failure with preserved ejection fraction,August 2013
7321,H541z00,17746,0,131,0,Pulmonary oedema NOS,February 2009
105542,8CeC.00,13,0,0,0,Preferred place of care for next exacerbation heart failure,January 2013
72965,9Or3.00,14127,0,11,0,Heart failure monitoring first letter,February 2009
11424,G580300,262,0,2,0,Compensated cardiac failure,February 2009
9524,G580.14,1864,0,23,0,Biventricular failure,February 2009
2906,G580.11,104281,0,3859,50,Congestive cardiac failure,February 2009
15058,14A6.00,2221,0,10,0,H/O: heart failure,February 2009
106008,8CMW800,88,0,2,0,Heart failure clinical pathway,April 2013
558,H584.00,6430,0,406,1,Acute pulmonary oedema unspecified,February 2009
60710,9On0.00,1844,0,1,0,Left ventricular dysfunction monitoring first letter,February 2009
90192,9Or2.00,585,0,0,0,Heart failure monitoring verbal invite,February 2009
72341,9On2.00,71,0,0,0,Left ventricular dysfunction monitoring third letter,February 2009
5695,G41z.11,8198,0,567,1,Chronic cor pulmonale,February 2009
32898,8H2S.00,527,0,52,0,Admit heart failure emergency,February 2009
12366,662T.00,13217,0,104,0,Congestive heart failure monitoring,February 2009
52127,G211100,94,0,0,0,Benign hypertensive heart disease with CCF,February 2009
96484,9On4.00,57,0,0,0,Left ventricular dysfunction monitoring telephone invite,April 2009
