medcode,readcode,clinicalevents,immunisationevents,referralevents,testevents,readterm,databaserelease
31341,G24z100,382,0,1,0,Hypertension secondary to drug,February 2009
61660,G211000,21,0,0,0,Benign hypertensive heart disease without CCF,February 2009
4372,G202.00,20916,0,214,4,Systolic hypertension,February 2009
18057,8B26.00,7199,0,1,0,Antihypertensive therapy,February 2009
31464,G21z.00,161,0,2,0,Hypertensive heart disease NOS,February 2009
31387,G24z000,297,0,11,0,Secondary renovascular hypertension NOS,February 2009
50157,G210.00,40,0,0,0,Malignant hypertensive heart disease,February 2009
62432,L122z00,18,0,1,0,Other pre-existing hypertension in preg/childb/puerp NOS,February 2009
72668,G210100,7,0,0,0,Malignant hypertensive heart disease with CCF,February 2009
11056,8BL0.00,181860,0,42,0,Patient on maximal tolerated antihypertensive therapy,February 2009
29310,G22z.11,637,0,26,1,Renal hypertension,February 2009
66645,9OI9.00,281,0,0,0,Hypertens.monitor deleted,February 2009
51635,G241z00,95,0,0,0,Secondary benign hypertension NOS,February 2009
68659,G23z.00,10,0,0,0,Hypertensive heart and renal disease NOS,February 2009
83473,G203.00,1034,0,14,0,Diastolic hypertension,February 2009
799,G20..00,4116648,0,17425,38,Essential hypertension,February 2009
3425,662O.00,54507,0,794,0,On treatment for hypertension,February 2009
96743,L122300,1,0,0,0,Other pre-exist hypertension in preg/childb/puerp-not deliv,April 2009
62718,G21z100,111,0,0,0,Hypertensive heart disease NOS with CCF,February 2009
73293,G240z00,9,0,0,0,Secondary malignant hypertension NOS,February 2009
59383,G240000,26,0,1,0,Secondary malignant renovascular hypertension,February 2009
4668,G22..00,2536,0,63,0,Hypertensive renal disease,February 2009
32423,G222.00,109,0,0,0,Hypertensive renal disease with renal failure,February 2009
97533,Gyu2100,10,0,0,0,[X]Hypertension secondary to other renal disorders,August 2009
31816,G672.11,335,0,14,0,Hypertensive crisis,February 2009
22333,8I3N.00,510,0,5,0,Hypertension treatment refused,February 2009
63466,G23..00,76,0,0,0,Hypertensive heart and renal disease,February 2009
18482,662c.00,187641,0,172,0,Hypertension six month review,February 2009
28684,G233.00,56,0,3,0,Hypertensive heart and renal disease with renal failure,February 2009
10818,G20z.00,268486,0,2692,9,Essential hypertension NOS,February 2009
8732,G2...11,45170,0,242,0,BP - hypertensive disease,February 2009
44549,L128.00,29,0,1,0,Pre-exist hypertension compl preg childbirth and puerperium,February 2009
13188,662G.00,38100,0,37,0,Hypertensive treatm.changed,February 2009
43664,L127.00,106,0,1,0,Pre-eclampsia or eclampsia with pre-existing hypertension,February 2009
34744,G244.00,203,0,1,0,Hypertension secondary to endocrine disorders,February 2009
