medcode,readcode,clinicalevents,immunisationevents,referralevents,testevents,readterm,databaserelease
15907,B16z.00,253,0,20,5,Malignant neoplasm gallbladder/extrahepatic bile ducts NOS,February 2009
51408,S74z.00,146,0,0,0,"Injury to liver, NOS",February 2009
103282,7806200,37,0,0,0,Endoscopic microwave ablation lesion liver using laparoscope,November 2011
47300,7803000,38,0,3,0,Removal of lacerated fragment of liver,February 2009
71785,J631000,34,0,0,0,Hepatitis in coxsackie virus,February 2009
88994,7L1f.00,160,0,20,0,Compensation for liver failure,February 2009
66469,S741300,10,0,0,0,Liver moderate laceration with open wound into cavity,February 2009
2926,44D2.00,30936,0,10491,75547,Liver function tests abnormal,February 2009
39351,J635500,22,0,0,0,Toxic liver disease with chronic active hepatitis,February 2009
56581,Jyu7.00,183,0,1,0,[X]Diseases of the liver,February 2009
8044,J552000,179,0,6,0,Subhepatic abscess,February 2009
30729,141E.00,5588,0,453,0,History of hepatitis B,February 2009
88026,7809600,19,0,0,0,Percutaneous chemical ablation of lesion of liver,February 2009
55637,J600z00,16,0,0,0,Acute necrosis of liver NOS,February 2009
18739,J615z12,615,0,4,0,Cryptogenic cirrhosis of liver,February 2009
23432,PB6yz00,50,0,10,0,Other liver or biliary system anomalies NOS,February 2009
19418,A705400,334,0,13,4,Hepatitis non A non B,February 2009
50400,PB61600,11,0,0,0,Atresia of hepatic ducts,February 2009
49042,J634.00,46,0,0,0,Hepatic infarction,February 2009
41096,A707100,194,0,9,0,Chronic viral hepatitis B without delta-agent,February 2009
26490,J601000,115,0,8,1,Subacute hepatic failure,February 2009
27177,43B8.00,20,0,0,2951,Hepatitis B core antigen test,February 2009
56070,J62y.11,17,0,2,0,Hepatic failure NOS,February 2009
104892,A70D.00,22,0,0,0,Hepatitis C genotype 4,August 2012
43086,J6y..00,21,0,0,0,"Liver, biliary, pancreas + gastrointestinal diseases OS",February 2009
103466,J61y900,30070,0,173,0,Fatty change of liver,December 2011
9029,J614100,3065,0,115,1,Chronic active hepatitis,February 2009
60104,J61y500,40,0,1,0,Hepatic sclerosis,February 2009
25869,J63y.00,203,0,1,1,Other specified liver disorder,February 2009
6863,J61..00,13757,0,603,1,Cirrhosis and chronic liver disease,February 2009
42289,J632z00,23,0,1,0,Hepatitis in infectious diseases EC NOS,February 2009
110454,C370700,17,0,0,0,Liver disease due to cystic fibrosis,January 2016
98805,AyuB000,12,0,0,0,[X]Other specified acute viral hepatitis,March 2010
104346,A70C.00,536,0,0,0,Hepatitis C genotype 3,June 2012
106489,S740400,13,0,0,0,Liver major laceration without open wound into cavity,August 2013
38978,B15z.00,109,0,1,0,Malignant neoplasm of liver and intrahepatic bile ducts NOS,February 2009
1467,J632000,16,0,0,0,Hepatitis in malaria,February 2009
65050,A704000,11,0,0,0,Viral hepatitis C with coma,February 2009
60549,PB6..00,196,0,11,0,Liver and biliary system anomalies,February 2009
89593,B151200,19,0,0,0,Malignant neoplasm of intrahepatic biliary passages,February 2009
8155,14C5.00,9087,0,1229,2,H/O: liver disease,February 2009
93811,7N47C00,27,0,0,0,[SO]Hepatic vein,February 2009
50776,R148z00,2125,0,63,0,[D]Abnormal liver function test NOS,February 2009
7885,J613.00,16302,0,473,3,Alcoholic liver damage unspecified,February 2009
27389,G72yA00,80,0,3,0,Aneurysm of hepatic artery,February 2009
37521,D307000,14,0,1,0,Deficiency of coagulation factor due to liver disease,February 2009
48879,J637.00,26,0,0,0,Hepatic veno-occlusive disease,February 2009
27191,43j5.00,30,0,4,820,Hepatitis C nucleic acid detection,February 2009
44120,J635600,54,0,0,0,Toxic liver disease with fibrosis and cirrhosis of liver,February 2009
34448,ZV59700,107,0,0,0,[V]Liver donor,February 2009
37203,J6z..00,735,0,21,0,"Liver, biliary, pancreas + gastrointestinal diseases NOS",February 2009
10797,G858.00,8016,0,35,0,Oesophageal varices NOS,February 2009
17041,7803100,457,0,7,0,Repair of laceration of liver,February 2009
4406,J631100,241,0,30,27,Hepatitis in cytomegalic inclusion virus,February 2009
40567,J615600,11,0,1,0,Capsular portal cirrhosis,February 2009
102565,4JQD.11,661,0,41,1164,Hepatitis C PCR positive,July 2011
3146,A70..00,14159,0,274,13,Viral hepatitis,February 2009
25341,J620100,54,0,6,0,Liver abscess due to cholangitis,February 2009
103889,7809700,61,0,0,0,Percutaneous microwave ablation of lesion of liver,March 2012
93737,780G000,32,0,0,0,Transjugular intrahepatic insertion stent into portal vein,February 2009
52365,A705200,242,0,0,0,Acute hepatitis E,February 2009
100405,141F.00,554,0,26,0,History of viral hepatitis,August 2010
33645,2J23.00,645,0,1,1,Hepatitis A - current infection,February 2009
24813,A707000,100,0,2,0,Chronic viral hepatitis B with delta-agent,February 2009
31210,B150100,185,0,6,0,Hepatoblastoma of liver,February 2009
27388,S74..00,1030,0,13,6,Injury to liver,February 2009
106017,A709.00,32,0,2,0,Viral hepatitis without hepatic coma,May 2013
69460,7804.00,35,0,0,0,Incision of liver,February 2009
21713,J612000,359,0,10,0,Alcoholic fibrosis and sclerosis of liver,February 2009
26319,G852200,302,0,11,0,Oesophageal varices in cirrhosis of the liver,February 2009
5037,J63yz00,406,0,41,2,Other specified liver disorder NOS,February 2009
15489,J614z00,795,0,28,0,Chronic hepatitis NOS,February 2009
58630,J616z00,117,0,1,0,Biliary cirrhosis NOS,February 2009
66534,J614400,25,0,2,0,Chronic lobular hepatitis,February 2009
23578,J614000,233,0,21,1,Chronic persistent hepatitis,February 2009
106387,B715800,531,0,10,0,Focal nodular hyperplasia of liver,June 2013
92972,SB22200,10,0,0,0,Hepatic artery injury,February 2009
31997,TB00200,66,0,3,0,"Liver transplant with complication, without blame",February 2009
41386,J635700,84,0,3,0,Acute hepatic failure due to drugs,February 2009
68475,7808300,208,0,3,0,Percutaneous transluminal angioplasty of blood vessel liver,February 2009
103706,J61y911,3219,0,2,0,Fatty liver,February 2012
102263,782T000,16,0,0,0,Percutaneous transhepatic removal of calculus from bile duct,May 2011
16126,B150000,486,0,12,0,Primary carcinoma of liver,February 2009
8918,B15..00,457,0,4,0,Malignant neoplasm of liver and intrahepatic bile ducts,February 2009
13266,J6...00,740,0,27,0,"Liver, biliary, pancreas + gastrointestinal diseases NEC",February 2009
29792,BB5D400,155,0,8,0,[M]Liver cell adenoma,February 2009
36147,B153.00,1086,0,7,0,Secondary malignant neoplasm of liver,February 2009
55454,J615y00,22,0,0,0,Portal cirrhosis unspecified,February 2009
42843,J61y.00,443,0,4,0,Other non-alcoholic chronic liver disease,February 2009
4742,44G2.00,4260,0,5202,6767,Liver enzymes abnormal,February 2009
46023,J620.00,233,0,0,0,Liver abscess - excluding amoebic liver abscess,February 2009
1754,J614.00,8063,0,260,10,Chronic hepatitis,February 2009
7947,J631200,254,0,2,0,Hepatitis in infectious mononucleosis,February 2009
27438,J615700,53,0,0,0,Cardiac portal cirrhosis,February 2009
68967,AyuB.00,55,0,0,0,[X]Viral hepatitis,February 2009
37198,14S8.00,30,0,3,0,H/O: liver recipient,February 2009
34358,J632.00,82,0,0,0,Hepatitis in other infectious diseases EC,February 2009
31008,J630.00,32,0,1,0,Chronic passive liver congestion,February 2009
33316,43jG.00,19,0,2,842,Hepatitis B nucleic acid detection,February 2009
28350,PB62100,169,0,5,0,Fibrocystic liver disease,February 2009
67009,S740200,29,0,1,0,Liver minor laceration without open wound into cavity,February 2009
74896,B161z00,47,0,0,0,Malignant neoplasm of extrahepatic bile ducts NOS,February 2009
6015,Jyu7100,817,0,11,0,[X]Other and unspecified cirrhosis of liver,February 2009
68410,B150200,16,0,0,0,Primary angiosarcoma of liver,February 2009
24901,J625.00,528,0,15,0,[X] Hepatic failure,February 2009
29801,PB60000,97,0,6,0,"Liver anomaly, unspecified",February 2009
8363,G852300,610,0,12,0,Oesophageal varices in alcoholic cirrhosis of the liver,February 2009
44399,B150z00,97,0,0,0,Primary malignant neoplasm of liver NOS,February 2009
65924,7822.00,69,0,1,0,Connection of hepatic duct,February 2009
109482,43XA.00,16,0,0,85,Hepatitis B core antibody positive,April 2015
47257,J615.11,21,0,0,0,Portal cirrhosis,February 2009
2860,A703.00,12737,0,8980,8497,Viral (serum) hepatitis B,February 2009
18195,PB62000,338,0,21,0,Congenital polycystic liver disease,February 2009
36194,SP14200,25,0,0,0,Hepatic failure as a complication of care,February 2009
57925,7822100,37,0,0,0,Anastomosis of hepatic duct to jejunum NEC,February 2009
30586,A707200,6097,0,329,1,Chronic viral hepatitis C,February 2009
15424,J616100,61,0,4,0,Secondary biliary cirrhosis,February 2009
104572,9NgR.00,708,0,0,0,On hepatitis C treatment plan,July 2012
16062,J62y.13,738,0,127,0,Hepatic failure,February 2009
23775,J62y.12,290,0,25,0,Liver failure NOS,February 2009
26412,7801200,1677,0,3,0,Resection of segment of liver,February 2009
36744,S74z.11,282,0,9,2,Ruptured liver NOS,February 2009
71008,7809400,302,0,0,0,Percutaneous radiofrequency ablation of lesion of liver,February 2009
53480,J614300,33,0,0,0,Recurrent hepatitis,February 2009
20912,7609400,290,0,10,0,Open injection sclerotherapy to oesophageal varices,February 2009
66895,PB60.00,25,0,0,0,"Liver and biliary system anomalies, unspecified",February 2009
41673,J635X00,24,0,1,0,"Toxic liver disease, unspecified",February 2009
40963,J61y300,52,0,0,0,Portal fibrosis without cirrhosis,February 2009
22504,PB6yw12,10,0,0,0,Abnormal liver lobulation,February 2009
21784,PB6y900,359,0,13,0,Liver hyperplasia,February 2009
32277,A707X00,317,0,1,0,"Chronic viral hepatitis, unspecified",February 2009
26037,C32y511,666,0,6,0,Hepatic familial steatosis,February 2009
2413,A70z000,10810,0,1250,496,Hepatitis C,February 2009
3142,A701.00,15689,0,3463,3328,Viral (infectious) hepatitis A,February 2009
26367,A707.00,294,0,6,0,Chronic viral hepatitis,February 2009
30926,A705.00,236,0,32,20,Other specified viral hepatitis without coma,February 2009
71453,J615z15,71,0,0,0,Hepatic fibrosis,February 2009
22841,J615z11,189,0,2,0,Macronodular cirrhosis of liver,February 2009
14609,65O3.00,30,13727,3,3,Anti-Hepatitis B immunoglob.,February 2009
55806,PB6z.00,169,0,3,0,Liver or biliary system anomalies NOS,February 2009
20676,G820.00,370,0,4,0,Budd - Chiari syndrome (hepatic vein thrombosis),February 2009
9494,J616.00,3134,0,91,0,Biliary cirrhosis,February 2009
19512,C310400,151,0,17,0,Glycogenosis with hepatic cirrhosis,February 2009
105758,8LH..00,60,0,0,0,Liver transplant planned,February 2013
104277,14i..00,478,0,14,1,H/O hepatitis C antiviral drug therapy,June 2012
50458,PB61412,55,0,0,0,Extrahepatic atresia of bile duct,February 2009
65889,PB61411,26,0,0,0,Intrahepatic atresia of bile duct,February 2009
18752,PB6yw11,75,0,0,0,Liver hamartoma,February 2009
44676,J615400,11,0,1,0,Fatty portal cirrhosis,February 2009
32025,7800000,255,0,0,0,Orthotopic transplantation of liver,February 2009
17578,B715000,278,0,19,1,Benign neoplasm of liver,February 2009
93379,7802300,33,0,0,0,Thermal ablation of multiple lesions of liver,February 2009
94817,S740300,13,0,0,0,Liver moderate laceration without open wound into cavity,February 2009
37501,B808200,18,0,1,0,Carcinoma in situ of hepatic duct,February 2009
2834,A705000,2195,0,241,0,Viral hepatitis C without mention of hepatic coma,February 2009
40762,Q409000,101,0,4,3,Congenital hepatitis A infection,February 2009
65335,A705z00,22,0,0,0,Other specified viral hepatitis without mention of coma NOS,February 2009
