prodcode,productname
468,Didronel PMO tablets (Warner Chilcott UK Ltd)
11368,Calcium carbonate 1.25g effervescent tablets and Disodium etidronate 400mg tablets
37833,Actonel Combi 35mg tablets and 1000mg/880unit effervescent granules sachets (Teva UK Ltd)
18317,TAMOXIFEN D TAB
22847,RALOXIFENE HCL FC
688,Alendronic acid 70mg tablets
544,Fosamax Once Weekly 70mg tablets (Merck Sharp & Dohme Ltd)
2298,Alendronic acid 10mg tablets
663,Fosamax 10mg tablets (Merck Sharp & Dohme Ltd)
7530,Alendronic acid 5mg tablets
782,Fosamax 5mg tablets (Merck Sharp & Dohme Ltd)
40449,Alendronic acid 70mg tablets (PLIVA Pharma Ltd)
46245,Alendronic acid 70mg tablets (Mylan)
35937,Alendronic acid 70mg tablets (A A H Pharmaceuticals Ltd)
37218,Alendronic acid 70mg tablets (Teva UK Ltd)
65008,Alendronic acid 70mg effervescent tablets sugar free
66203,Binosto 70mg effervescent tablets (Internis Pharmaceuticals Ltd)
37217,Alendronic acid 10mg tablets (Teva UK Ltd)
56730,Alendronic acid 70mg tablets (Almus Pharmaceuticals Ltd)
63008,Alendronic acid 70mg tablets (Somex Pharma)
43958,Alendronic acid 70mg tablets (Actavis UK Ltd)
65905,Alendronic acid 10mg tablets (Mylan)
47380,Alendronic acid 70mg tablets (Arrow Generics Ltd)
69995,Alendronic acid 35mg/5ml oral solution
54566,Alendronic acid 10mg tablets (A A H Pharmaceuticals Ltd)
63175,Alendronic acid 10mg tablets (Phoenix Healthcare Distribution Ltd)
51877,Alendronic acid 70mg tablets (Alliance Healthcare (Distribution) Ltd)
52624,Alendronic acid 70mg tablets (Phoenix Healthcare Distribution Ltd)
52834,Alendronic acid 70mg tablets (Accord Healthcare Ltd)
64331,Alendronic acid 10mg tablets (DE Pharmaceuticals)
56061,Alendronic acid 10mg tablets (Actavis UK Ltd)
50278,Alendronic acid 70mg tablets (Wockhardt UK Ltd)
59247,Fosamax Once Weekly 70mg tablets (Necessity Supplies Ltd)
55965,Alendronic acid 70mg tablets (Zentiva)
52284,Fosamax 10mg tablets (Sigma Pharmaceuticals Plc)
59485,Alendronic acid 10mg tablets (Accord Healthcare Ltd)
50880,Fosamax 10mg tablets (Necessity Supplies Ltd)
61686,Alendronic acid 70mg tablets (DE Pharmaceuticals)
56260,Alendronic acid 70mg tablets (Kent Pharmaceuticals Ltd)
57875,Fosamax Once Weekly 70mg tablets (Lexon (UK) Ltd)
59079,Alendronic acid 10mg tablets (Almus Pharmaceuticals Ltd)
