medcode,readcode,clinicalevents,immunisationevents,referralevents,testevents,readterm,databaserelease
1517,G73z000,141140,0,24713,13,Intermittent claudication,February 2009
1826,G73..12,16169,0,2234,2,Ischaemia of legs,February 2009
1867,G714.00,12450,0,805,5,Abdominal aortic aneurysm without mention of rupture,February 2009
2066,7A48z00,3676,0,218,0,Other bypass of femoral artery or popliteal artery NOS,February 2009
2760,G73zz00,58871,0,5495,6,Peripheral vascular disease NOS,February 2009
2761,7A12100,1169,0,93,0,Bypass bifurc aorta by anastom aorta to femoral artery NEC,February 2009
3530,G73z.00,73250,0,3906,0,Peripheral vascular disease NOS,February 2009
4325,G73yz00,9775,0,926,4,Other specified peripheral vascular disease NOS,February 2009
5702,G73..11,4756,0,410,0,Peripheral ischaemic vascular disease,February 2009
5943,G73..00,35563,0,2632,0,Other peripheral vascular disease,February 2009
6308,M271.12,3427,0,362,0,Ischaemic leg ulcer,February 2009
6356,7A4B000,9220,0,45,0,Percutaneous transluminal angioplasty of femoral artery,February 2009
6684,G723000,885,0,53,0,Aneurysm of femoral artery,February 2009
6827,G73..13,3264,0,449,0,Peripheral ischaemia,February 2009
6853,G73z011,19756,0,1885,0,Claudication,February 2009
7694,G76z100,2992,0,23,0,Femoral artery occlusion,February 2009
7975,16I..00,11532,0,1337,0,Claudication distance,February 2009
9099,7A47.00,155,0,1,0,Other emergency bypass of femoral artery or popliteal artery,February 2009
9554,G76z200,1062,0,6,0,Popliteal artery occlusion,February 2009
9561,2G63.00,3681,0,366,0,Ischaemic toe,February 2009
9759,G718.00,365,0,8,0,Leaking abdominal aortic aneurysm,February 2009
10827,7A44000,5817,0,19,0,Percutaneous transluminal angioplasty of iliac artery,February 2009
11430,G715000,66,0,1,0,"Thoracoabdominal aortic aneurysm, ruptured",February 2009
11766,7A47.16,246,0,1,0,Other emergency bypass of femoral artery,February 2009
13572,G713.11,1631,0,8,0,Ruptured abdominal aortic aneurysm,February 2009
14797,G702.00,4956,0,707,1,Extremity artery atheroma,February 2009
15302,G742z00,508,0,109,0,Peripheral arterial embolism and thrombosis NOS,February 2009
15304,G715.00,1126,0,30,0,Ruptured aortic aneurysm NOS,February 2009
15532,7A12300,170,0,12,0,Bypass bifurcation aorta by anastom aorta to iliac artery,February 2009
16260,G702z00,133,0,5,0,Extremity artery atheroma NOS,February 2009
16366,G723100,1696,0,84,0,Aneurysm of popliteal artery,February 2009
16395,G722000,331,0,8,0,Aneurysm of common iliac artery,February 2009
16800,G711.11,266,0,1,0,Ruptured thoracic aortic aneurysm,February 2009
17345,G714.11,8282,0,461,1,AAA - Abdominal aortic aneurysm without mention of rupture,February 2009
17560,G722.00,1225,0,37,0,Aneurysm of iliac artery,February 2009
17767,G713.00,1365,0,38,0,Abdominal aortic aneurysm which has ruptured,February 2009
18060,7A48.14,2548,0,29,0,Other bypass of femoral artery,February 2009
18423,G76A.00,791,0,102,0,Arterial insufficiency,February 2009
18499,662U.00,21930,0,286,0,Peripheral vascular disease monitoring,February 2009
19996,7A14400,110,0,1,0,Replace aneurysm abdominal aorta by anast aorta to aorta NEC,February 2009
21927,7A41.00,278,0,1,0,Other bypass of iliac artery,February 2009
23352,7A10100,131,0,11,0,Bypass aorta by anastomosis axillary to femoral artery NEC,February 2009
23497,G731000,903,0,34,0,Buerger's disease,February 2009
23532,G712.00,1560,0,92,0,Thoracic aortic aneurysm without mention of rupture,February 2009
23871,G73y100,14,0,1,0,Peripheral angiopathic disease EC NOS,February 2009
24327,M271000,3420,0,262,0,Ischaemic ulcer diabetic foot,February 2009
24684,7A31300,20,0,2,0,Operation on aneurysm of renal artery,February 2009
24692,7A48.00,2472,0,18,0,Other bypass of femoral artery or popliteal artery,February 2009
25438,G720100,116,0,19,0,Aneurysm of radial artery,February 2009
25844,7A32000,612,0,3,0,Percutaneous transluminal angioplasty of renal artery,February 2009
26232,7A14411,63,0,0,0,Tube graft of Abdominal aortic aneurysm,February 2009
27389,G72yA00,80,0,3,0,Aneurysm of hepatic artery,February 2009
27563,G711.00,161,0,2,0,Thoracic aortic aneurysm which has ruptured,February 2009
27580,7A48000,683,0,4,0,Bypass femoral artery by fem/pop art anast c prosthesis NEC,February 2009
28030,7A48200,598,0,5,0,Bypass femoral artery by fem/pop art anast c vein graft NEC,February 2009
28616,7A41100,125,0,5,0,Bypass iliac artery by iliac/femoral artery anastomosis NEC,February 2009
28840,7A4A500,501,0,10,0,Operation on aneurysm of femoral artery NEC,February 2009
29112,7A4B100,2172,0,12,0,Percutaneous transluminal angioplasty of popliteal artery,February 2009
29973,7A22000,539,0,0,0,Percutaneous transluminal angioplasty of carotid artery,February 2009
30248,G720200,32,0,0,0,Aneurysm of ulnar artery,February 2009
30484,R055011,275,0,25,0,[D]Peripheral circulatory failure,February 2009
31053,R054300,61,0,2,0,[D]Widespread diabetic foot gangrene,February 2009
31055,G723500,25,0,1,0,Ruptured popliteal artery aneurysm,February 2009
31723,7A28000,203,0,2,0,Percutaneous transluminal angioplasty of subclavian artery,February 2009
32492,7A41900,15,0,0,0,Bypass common iliac artery by aorta/com iliac art anast NEC,February 2009
33613,G720000,84,0,12,0,Aneurysm of brachial artery,February 2009
34152,G73y000,289,0,18,0,Diabetic peripheral angiopathy,February 2009
34638,G731.00,151,0,6,0,Thromboangiitis obliterans,February 2009
35529,G72y400,123,0,6,0,Aneurysm of subclavian artery,February 2009
36443,7A41300,58,0,1,0,Bypass iliac artery by femoral/femoral art anastomosis NEC,February 2009
37465,7A28100,57,0,0,0,Percutaneous transluminal angioplasty of brachial artery,February 2009
37787,7A48.12,52,0,0,0,Other bypass of common femoral artery,February 2009
