medcode,readcode,clinicalevents,immunisationevents,referralevents,testevents,readterm,databaserelease,pallcare
106667,8B2a.00,2612,0,258,0,Prescription of palliative care anticipatory medication,August 2013,1
9755,8H7g.00,10494,0,7394,0,Referral to palliative care service,February 2009,1
94070,8O24.00,1322,0,5,0,Provision of continuing care in nursing home,February 2009,1
93388,8O23.00,847,0,52,0,Provision of continuing care,February 2009,1
100126,9Ng7.00,9351,0,55,0,On end of life care register,July 2010,1
102536,9NNZ.00,94,0,0,0,Has end of life care pathway key worker,June 2011,1
105222,8CMW300,5669,0,208,0,End of life care pathway,November 2012,1
11318,8BAN.00,13364,0,1329,0,Community specialist palliative care,February 2009,1
10784,8BAR.00,432,0,28,0,Specialist palliative care treatment - inpatient,February 2009,1
96936,9NlJ.00,8288,0,4,0,Seen by palliative care service,June 2009,1
11978,ZL9AR00,16846,0,33,0,Seen by palliative care physician,February 2009,1
105849,9NNb.00,13,0,0,0,Has end of life care pathway key nurse,March 2013,1
105214,9NNd.00,1325,0,16,0,Under care of palliative care specialist nurse,November 2012,1
105975,9c0P.00,162,0,10,0,Current palliative oncology treatment,April 2013,1
10019,8BAP.00,22676,0,1736,0,Specialist palliative care,February 2009,1
61415,9b74.00,2773,0,1,0,Hospice,February 2009,1
7060,ZV57C00,168332,0,1842,0,[V]Palliative care,February 2009,1
13628,ZL5AP00,1627,0,2956,0,Referral to palliative care physician,February 2009,1
50291,8Hg0.00,411,0,4,0,Discharged from community specialist palliative care team,February 2009,1
19458,8CM3.00,229027,0,471,0,Palliative care plan review,February 2009,1
18929,66S3.00,768,0,62,0,Full care by hospice,February 2009,1
105908,9c0L000,93,0,4,0,Planned palliative oncology treatment,April 2013,1
49651,8BAS.00,373,0,7,0,Specialist palliative care treatment - daycare,February 2009,1
61385,9b1C.00,68,0,0,0,Hospice - independent,February 2009,1
98251,8BAe.00,7905,0,371,0,Anticipatory palliative care,December 2009,1
12739,8CM1.00,57437,0,462,0,On gold standards palliative care framework,February 2009,1
106773,8BA2.11,1846,0,1,0,End of life care,August 2013,1
103569,9NNa.00,49,0,0,0,Has end of life care pathway key general practitioner,January 2012,1
55330,8HX1.00,68,0,19,0,Routine admission to hospice,February 2009,1
29285,5149.00,381,0,18,718,Radiotherapy-tumour palliation,February 2009,1
105961,9367.00,37,0,2,0,Patient held palliative care record,April 2013,1
18551,8BJ1.00,61642,0,677,0,Palliative treatment,February 2009,1
21308,8HX..00,5792,0,359,0,Admission to hospice,February 2009,1
98441,9e02.00,6400,0,59,0,Notif to primary care OOHS of palliative care plan in place,February 2010,1
73313,9b9B.00,2550,0,2,0,Palliative medicine,February 2009,1
48775,9Nh0.00,4320,0,6,0,Under the care of community palliative care team,February 2009,1
26354,8BAT.00,1643,0,51,0,Specialist palliative care treatment - outpatient,February 2009,1
97280,8BMM.11,6029,0,87,0,Issue of palliative care just in case box,August 2009,1
22253,66S4.00,5898,0,81,0,Shared care - hospice / GP,February 2009,1
111909,9b74000,12,0,0,0,Hospice community lodge,July 2017,1
36435,8HX2.00,533,0,46,0,Admission to hospice for respite,February 2009,1
26154,8HX0.00,62,0,6,0,Urgent admission to hospice,February 2009,1
97181,9NkJ.00,2078,0,0,0,Seen in hospice,August 2009,1
98521,8Cc4.00,45,0,0,0,Management of multiple sclerosis in palliative phase,February 2010,1
22073,8HY..00,5699,0,3991,0,Referral to hospice,February 2009,1
97051,9ke..00,4966,0,5,0,Palliative care - enhanced services administration,July 2009,1
9996,Z172.00,79720,0,1113,0,Palliative care,February 2009,1
97066,8BMM.00,5314,0,4,0,Issue of palliative care anticipatory medication box,July 2009,1
106582,9NNf000,108,0,0,0,Under care of palliative care physician,August 2013,1
104463,9NgD.00,2531,0,4,0,Under care of palliative care service,July 2012,1
105391,9K9..00,1312,0,45,0,Palliative care handover form completed,December 2012,1
64233,9b1B.00,374,0,3,0,Hospice - NHS,February 2009,1
28899,ZL18R00,509,0,4,0,Under care of palliative care physician,February 2009,1
22288,8HH7.00,3868,0,1682,0,Referred to community specialist palliative care team,February 2009,1
