medcode,readcode,clinicalevents,immunisationevents,referralevents,testevents,readterm,databaserelease,ra
49067,N040B00,56,0,1,0,Rheumatoid arthritis of hip,February 2009,1
93715,Nyu1100,56,0,0,0,[X]Other seropositive rheumatoid arthritis,February 2009,1
56202,Nyu1G00,85,0,1,0,"[X]Seropositive rheumatoid arthritis, unspecified",February 2009,1
9707,N047.00,1327,0,6,0,Seropositive errosive rheumatoid arthritis,February 2009,1
48832,N040700,158,0,1,0,Rheumatoid arthritis of wrist,February 2009,1
844,N040.00,338370,0,24477,2179,Rheumatoid arthritis,February 2009,1
49227,N042.00,52,0,5,0,Other rheumatoid arthropathy + visceral/systemic involvement,February 2009,1
21358,N040200,77,0,6,0,Rheumatoid arthritis of shoulder,February 2009,1
30548,N040N00,304,0,4,0,Rheumatoid vasculitis,February 2009,1
100914,N040400,6,0,0,0,Rheumatoid arthritis of acromioclavicular joint,November 2010,1
100776,N040C00,11,0,0,0,Rheumatoid arthritis of sacro-iliac joint,November 2010,1
107963,N040300,1,0,0,0,Rheumatoid arthritis of sternoclavicular joint,April 2014,1
70221,Nyu1200,53,0,0,0,[X]Other specified rheumatoid arthritis,February 2009,1
8350,N040T00,6641,0,279,5,Flare of rheumatoid arthritis,February 2009,1
107791,N040E00,1,0,0,0,Rheumatoid arthritis of tibio-fibular joint,March 2014,1
59738,N040500,48,0,0,0,Rheumatoid arthritis of elbow,February 2009,1
41941,N040900,61,0,1,0,Rheumatoid arthritis of PIP joint of finger,February 2009,1
49787,G5y8.00,8,0,0,0,Rheumatoid myocarditis,February 2009,1
44743,N040000,37,0,0,0,Rheumatoid arthritis of cervical spine,February 2009,1
9954,H570.00,377,0,6,0,Rheumatoid lung,February 2009,1
46436,N042100,57,0,1,0,Rheumatoid lung disease,February 2009,1
37431,N042z00,57,0,1,0,Rheumatoid arthropathy + visceral/systemic involvement NOS,February 2009,1
43816,G5yA.00,50,0,0,0,Rheumatoid carditis,February 2009,1
51239,N040F00,92,0,1,0,Rheumatoid arthritis of ankle,February 2009,1
71784,N040J00,16,0,0,0,Rheumatoid arthritis of other tarsal joint,February 2009,1
31724,N04y000,227,0,12,0,Rheumatoid lung,February 2009,1
42299,N040800,123,0,4,0,Rheumatoid arthritis of MCP joint,February 2009,1
51238,N040K00,20,0,0,0,Rheumatoid arthritis of 1st MTP joint,February 2009,1
27603,N04..00,5477,0,32,0,Rheumatoid arthritis and other inflammatory polyarthropathy,February 2009,1
31054,N040S00,674,0,33,0,Rheumatoid arthritis - multiple joint,February 2009,1
62401,F371200,38,0,1,0,Polyneuropathy in rheumatoid arthritis,February 2009,1
17412,66H..13,22093,0,292,32,Rheumatoid arthrit. monitoring,February 2009,1
63198,N040A00,25,0,0,0,Rheumatoid arthritis of DIP joint of finger,February 2009,1
99414,N040L00,6,0,1,0,Rheumatoid arthritis of lesser MTP joint,May 2010,1
73619,N040G00,23,0,0,0,Rheumatoid arthritis of subtalar joint,February 2009,1
6639,14G1.00,11949,0,604,66,H/O: rheumatoid arthritis,February 2009,1
12019,N04X.00,5654,0,93,0,"Seropositive rheumatoid arthritis, unspecified",February 2009,1
56838,N04y011,14,0,0,0,Caplan's syndrome,February 2009,1
28853,N04y012,407,0,11,0,Fibrosing alveolitis associated with rheumatoid arthritis,February 2009,1
44203,N040100,52,0,3,1,Other rheumatoid arthritis of spine,February 2009,1
6916,N040P00,11071,0,293,0,Seronegative rheumatoid arthritis,February 2009,1
107112,N040M00,11,0,0,0,Rheumatoid arthritis of IP joint of toe,October 2013,1
50863,N040D00,233,0,6,0,Rheumatoid arthritis of knee,February 2009,1
23552,N041.00,539,0,14,0,Felty's syndrome,February 2009,1
31209,F396400,37,0,1,0,Myopathy due to rheumatoid arthritis,February 2009,1
18155,N040Q00,89,0,6,0,Rheumatoid bursitis,February 2009,1
70658,N040H00,8,0,0,0,Rheumatoid arthritis of talonavicular joint,February 2009,1
106440,Nyu1000,1,0,0,2,[X]Rheumatoid arthritis+involvement/other organs or systems,June 2013,1
