medcode	readcode	readterm	status	label
12942	137..11	Smoker - amount smoked	2	Current smoker
33	1371.00	Never smoked tobacco	0	Non-smoker
11788	1371.11	Non-smoker	0	Non-smoker
12958	1372.00	Trivial smoker - < 1 cig/day	2	Current smoker
12941	1372.11	Occasional smoker	2	Current smoker
12944	1373.00	Light smoker - 1-9 cigs/day	2	Current smoker
1878	1374.00	Moderate smoker - 10-19 cigs/d	2	Current smoker
3568	1375.00	Heavy smoker - 20-39 cigs/day	2	Current smoker
1822	1376.00	Very heavy smoker - 40+cigs/d	2	Current smoker
12961	1377.00	Ex-trivial smoker (<1/day)	1	Ex-smoker
12957	1378.00	Ex-light smoker (1-9/day)	1	Ex-smoker
12955	1379.00	Ex-moderate smoker (10-19/day)	1	Ex-smoker
12967	137a.00	Pipe tobacco consumption	2	Current smoker
12956	137A.00	Ex-heavy smoker (20-39/day)	1	Ex-smoker
31114	137b.00	Ready to stop smoking	2	Current smoker
12959	137B.00	Ex-very heavy smoker (40+/day)	1	Ex-smoker
30423	137c.00	Thinking about stopping smoking	2	Current smoker
12964	137C.00	Keeps trying to stop smoking	2	Current smoker
30762	137d.00	Not interested in stopping smoking	2	Current smoker
41979	137e.00	Smoking restarted	2	Current smoker
46321	137f.00	Reason for restarting smoking	2	Current smoker
12946	137F.00	Ex-smoker - amount unknown	1	Ex-smoker
12240	137G.00	Trying to give up smoking	2	Current smoker
62686	137h.00	Minutes from waking to first tobacco consumption	2	Current smoker
12947	137H.00	Pipe smoker	2	Current smoker
97210	137j.00	Ex-cigarette smoker	1	Ex-smoker
12943	137J.00	Cigar smoker	2	Current smoker
776	137K.00	Stopped smoking	1	Ex-smoker
60	137L.00	Current non-smoker	0	Non-smoker
12945	137M.00	Rolls own cigarettes	2	Current smoker
26470	137N.00	Ex pipe smoker	1	Ex-smoker
19488	137O.00	Ex cigar smoker	1	Ex-smoker
93	137P.00	Cigarette smoker	2	Current smoker
1823	137P.11	Smoker	2	Current smoker
12952	137Q.00	Smoking started	2	Current smoker
12951	137Q.11	Smoking restarted	2	Current smoker
10558	137R.00	Current smoker	2	Current smoker
90	137S.00	Ex smoker	1	Ex-smoker
12878	137T.00	Date ceased smoking	1	Ex-smoker
12966	137V.00	Smoking reduced	2	Current smoker
12965	137X.00	Cigarette consumption	2	Current smoker
12963	137Y.00	Cigar consumption	2	Current smoker
12960	137Z.00	Tobacco consumption NOS	2	Current smoker
