medcode,readcode,clinicalevents,immunisationevents,referralevents,testevents,readterm,databaserelease
1855,R030000,55595,0,2323,40,[D]Appetite loss,February 2009
22005,2224.00,627,0,26,0,O/E - cachexic,February 2009
24068,R2y4.00,3516,0,366,0,[D]Cachexia,February 2009
3647,R032.00,144509,0,16829,56,[D]Abnormal loss of weight,February 2009
37937,22A8.00,17730,0,162,0,Weight loss from baseline weight,February 2009
5812,1625.11,185422,0,19296,64,Abnormal weight loss - symptom,February 2009
12398,1D1A.00,54817,0,2863,0,Complaining of weight loss,February 2009
654,1623.00,98950,0,17193,515,Weight decreasing,February 2009
7608,1612.00,28485,0,328,0,Appetite loss - anorexia,February 2009
4663,1625.00,36018,0,1078,0,Abnormal weight loss,February 2009
38995,2287.00,190,0,9,0,Abnormally thin,February 2009
13081,1615.00,52622,0,433,0,Reduced appetite,February 2009
53801,R2y4z00,39,0,0,0,[D]Cachexia NOS,February 2009
