prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,steroid_code,steroid_code2,aap_code
65944,19836311000001104,38969020,0,Olanzapine 2.5mg tablets (Viatris UK Healthcare Ltd),Olanzapine,2.5mg,Tablet,Oral,04020102/04020300,Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania,April 2016,0,0,1
74782,16234811000001104,03439020,2,Risperdal 1mg tablets (Lexon (UK) Ltd),Risperidone,1mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,February 2019,0,0,1
84366,37784211000001104,90239021,0,Risperidone 500microgram tablets (DE Pharmaceuticals),Risperidone,500microgram,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,August 2021,0,0,1
86970,28794711000001100,46521021,2,Aripiprazole 10mg orodispersible tablets sugar free (Accord-UK Ltd),Aripiprazole,10mg,Orodispersible tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,October 2022,0,0,1
65938,21705911000001108,46788020,0,Quetiapine 25mg tablets (Ranbaxy (UK) Ltd),Quetiapine fumarate,25mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,April 2016,0,0,1
62924,26655311000001104,31244021,2556,Lurasidone 18.5mg tablets,Lurasidone hydrochloride,18.5mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,April 2015,0,0,1
73980,29952711000001104,52858021,0,Abilify 5mg tablets (Lexon (UK) Ltd),Aripiprazole,5mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,December 2018,0,0,1
83072,9343011000001108,03637020,0,Amisulpride 200mg tablets (Alliance Healthcare (Distribution) Ltd),Amisulpride,200mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,February 2021,0,0,1
667,321602009,77912020,968013,Risperidone 500microgram tablets,Risperidone,500microgram,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,February 2009,0,0,1
46447,19223511000001104,99845020,6228,Paliperidone 100mg/1ml prolonged-release suspension for injection pre-filled syringes,Paliperidone palmitate,100mg/1ml,Prolonged-release suspension for injection,Intramuscular,04020200,Antipsychotic Depot Injections,November 2011,0,0,1
65773,31078711000001104,60701021,18,Aripiprazole 30mg tablets (Zentiva Pharma UK Ltd),Aripiprazole,30mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,March 2016,0,0,1
57616,19561911000001104,78313020,22,Olanzapine 20mg tablets (Teva UK Ltd),Olanzapine,20mg,Tablet,Oral,04020102/04020300,Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania,October 2013,0,0,1
4992,319511000001103,86000020,2412,Solian 200 tablets (Sanofi),Amisulpride,200mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,February 2009,0,0,1
70867,32879211000001104,69854021,137,Paliperidone 525mg/2.625ml prolonged-release suspension for injection pre-filled syringes,Paliperidone palmitate,200mg/1ml,Prolonged-release suspension for injection,Intramuscular,04020200,Antipsychotic Depot Injections,December 2017,0,0,1
5653,321613007,83404020,226050,Olanzapine 7.5mg tablets,Olanzapine,7.5mg,Tablet,Oral,04020102/04020300,Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania,February 2009,0,0,1
81144,13121111000001104,74935020,2,Risperidone 2mg tablets (A A H Pharmaceuticals Ltd),Risperidone,2mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,July 2020,0,0,1
16407,437611000001106,79499020,819,Zyprexa 15mg Velotabs (Eli Lilly and Company Ltd),Olanzapine,15mg,Oral lyophilisate,Oral,04020102/04020300,Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania,February 2009,0,0,1
