prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
14477,15074,69844020,Accupro 10mg tablets (Pfizer Ltd),Quinapril hydrochloride,10mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
14478,11113,69845020,Accupro 20mg tablets (Pfizer Ltd),Quinapril hydrochloride,20mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
15096,3624,75604020,Accupro 40mg tablets (Pfizer Ltd),Quinapril hydrochloride,40mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
7314,13239,69843020,Accupro 5mg tablets (Pfizer Ltd),Quinapril hydrochloride,5mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
15031,4398,74293020,Accuretic 12.5mg/10mg tablets (Pfizer Ltd),Hydrochlorothiazide/Quinapril hydrochloride,12.5mg + 10mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
18269,12449,52608020,Acepril 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Captopril,12.5mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
3069,17272,52609020,Acepril 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Captopril,25mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
18325,6992,52610020,Acepril 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Captopril,50mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
18263,8230,59646020,Acezide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Hydrochlorothiazide/Captopril,25mg + 50mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
3310,68772,48565020,Capoten 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Captopril,12.5mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
56509,217,01375020,Capoten 12.5mg tablets (Dowelhurst Ltd),Captopril,12.5mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,August 2013
1144,121143,48566020,Capoten 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Captopril,25mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
3839,42823,48567020,Capoten 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Captopril,50mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
1520,114470,68133020,Capozide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Hydrochlorothiazide/Captopril,25mg + 50mg,Tablet,Oral,02020100/02050501,Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors,February 2009
39227,74,95527020,Capozide LS 12.5mg/25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Hydrochlorothiazide/Captopril,12.5mg + 25mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,April 2009
3203,4445,68134020,Capozide LS Tablet (E R Squibb and Sons Ltd),Hydrochlorothiazide/Captopril,12.5mg + 25mg,Tablet,Oral,02020100/02050501,Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors,February 2009
32166,16,80831020,Capto-co 25mg+50mg Tablet (IVAX Pharmaceuticals UK Ltd),Hydrochlorothiazide/Captopril,25mg + 50mg,Tablet,Oral,02020100/02050501,Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors,February 2009
25998,6,85701020,Captomex 12.5mg tablets (Actavis UK Ltd),Captopril,12.5mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
28820,1,85702020,Captomex 25mg tablets (Actavis UK Ltd),Captopril,25mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
24482,18,85703020,Captomex 50mg tablets (Actavis UK Ltd),Captopril,50mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
8923,171,02913007,CAPTOPRIL 100 MG TAB,,,,,00000000,Unknown,February 2009
66597,11,19210020,Captopril 10mg/5ml oral suspension,Captopril,2mg/1ml,Oral suspension,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,June 2016
33646,9,56633020,Captopril 12.5mg Tablet (Generics (UK) Ltd),Captopril,12.5mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
34544,7,56638020,Captopril 12.5mg Tablet (IVAX Pharmaceuticals UK Ltd),Captopril,12.5mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
1121,624009,60377020,Captopril 12.5mg tablets,Captopril,12.5mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
46951,7,56643020,Captopril 12.5mg tablets (A A H Pharmaceuticals Ltd),Captopril,12.5mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,March 2012
41633,19,56801020,Captopril 12.5mg tablets (Actavis UK Ltd),Captopril,12.5mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,March 2010
70994,0,66757020,Captopril 12.5mg tablets (Sandoz Ltd),Captopril,12.5mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,December 2017
46957,5,59293020,Captopril 12.5mg tablets (Tillomed Laboratories Ltd),Captopril,12.5mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,March 2012
58195,23,19216020,Captopril 12.5mg/5ml oral solution,Captopril,2.5mg/1ml,Oral solution,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,December 2013
