prodcode,productname,review,dmdcode,therapyevents,bnftext
40494,Agomelatine 25mg tablets,Yes,15499111000001100,29354,Other Antidepressants
7677,Allegron 10mg tablets (King Pharmaceuticals Ltd),Yes,893811000001100,2274,Tricyclic And Related Antidepressants
8640,Allegron 25mg tablets (King Pharmaceuticals Ltd),Yes,629711000001106,4413,Tricyclic And Related Antidepressants
52516,Alventa XL 150mg capsules (Krka UK Ltd),SSRI,16492311000001108,142,Other Antidepressants
52074,Alventa XL 75mg capsules (Krka UK Ltd),SSRI,16492111000001108,362,Other Antidepressants
873,AMITRIPTYLINE 100 MG TAB,Yes,5635001000027106,13044,Unknown
3490,Amitriptyline 10mg / Perphenazine 2mg tablets,Yes,39731711000001104,6904,Unknown
34916,Amitriptyline 10mg Tablet (Berk Pharmaceuticals Ltd),Yes,4165001000027106,32,Tricyclic And Related Antidepressants/Neuropathic Pain
83,Amitriptyline 10mg tablets,Yes,321745007,11963505,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
33090,Amitriptyline 10mg tablets (A A H Pharmaceuticals Ltd),Yes,310911000001104,8434,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
52867,Amitriptyline 10mg tablets (Accord-UK Ltd),Yes,18457211000001100,50,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
24141,Amitriptyline 10mg tablets (Actavis UK Ltd),Yes,268711000001108,456,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
55491,Amitriptyline 10mg tablets (Almus Pharmaceuticals Ltd),Yes,9784511000001104,1124,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
34731,Amitriptyline 10mg tablets (Kent Pharma (UK) Ltd),Yes,47511000001100,17,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
24152,Amitriptyline 10mg tablets (Teva UK Ltd),Yes,865611000001103,33140,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
34401,Amitriptyline 10mg tablets (Wockhardt UK Ltd),Yes,13059111000001108,60,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
46801,Amitriptyline 10mg/5ml oral solution,Yes,13892411000001104,415,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
22070,Amitriptyline 10mg/5ml Oral solution (Rosemont Pharmaceuticals Ltd),Yes,61395001000027104,296,Tricyclic And Related Antidepressants/Neuropathic Pain
64000,Amitriptyline 10mg/5ml oral solution sugar free,Yes,29686711000001104,2974,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
46818,Amitriptyline 10mg/5ml oral suspension,Yes,8277811000001102,86,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
3777,Amitriptyline 10mg/5ml sugar free oral solution,Yes,196745001000027100,24308,Tricyclic And Related Antidepressants/Neuropathic Pain
19779,Amitriptyline 10mg/ml injection,Yes,95265001000027100,19,Tricyclic And Related Antidepressants
21081,Amitriptyline 12.5mg / Chlordiazepoxide 5mg capsules,Yes,156115001000027100,50,Tricyclic And Related Antidepressants
13496,AMITRIPTYLINE 200 MG TAB,Yes,5565001000027108,621,Unknown
18342,Amitriptyline 25mg / Chlordiazepoxide 10mg capsules,Yes,156125001000027100,35,Tricyclic And Related Antidepressants
595,Amitriptyline 25mg / Perphenazine 2mg tablets,Yes,39731811000001104,12779,Tricyclic And Related Antidepressants
487,Amitriptyline 25mg modified-release capsules,Yes,35901211000001108,81896,Unknown
34197,Amitriptyline 25mg Tablet (Berk Pharmaceuticals Ltd),Yes,4185001000027109,111,Tricyclic And Related Antidepressants/Neuropathic Pain
41729,Amitriptyline 25mg Tablet (Celltech Pharma Europe Ltd),Yes,4245001000027103,115,Tricyclic And Related Antidepressants/Neuropathic Pain
49,Amitriptyline 25mg tablets,Yes,321746008,8262872,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
34782,Amitriptyline 25mg tablets (A A H Pharmaceuticals Ltd),Yes,190511000001102,4461,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
24145,Amitriptyline 25mg tablets (Actavis UK Ltd),Yes,78811000001102,2478,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
42078,Amitriptyline 25mg tablets (Almus Pharmaceuticals Ltd),Yes,9784711000001100,605,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
34503,Amitriptyline 25mg tablets (IVAX Pharmaceuticals UK Ltd),Yes,788611000001109,109,Tricyclic And Related Antidepressants
24134,Amitriptyline 25mg tablets (Kent Pharma (UK) Ltd),Yes,440811000001107,1991,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
77167,Amitriptyline 25mg tablets (Ranbaxy (UK) Ltd),Yes,666511000001101,70,Tricyclic And Related Antidepressants
24147,Amitriptyline 25mg tablets (Teva UK Ltd),Yes,40611000001100,40044,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
34129,Amitriptyline 25mg tablets (Wockhardt UK Ltd),Yes,11176611000001108,16,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
6312,Amitriptyline 25mg/5ml oral solution sugar free,Yes,35901411000001108,52096,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
34224,Amitriptyline 25mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd),Yes,75911000001101,400,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
23497,AMITRIPTYLINE 300 MG TAB,Yes,5605001000027102,24,Unknown
4682,Amitriptyline 50mg modified-release capsules,Yes,35901511000001104,45495,Unknown
40396,Amitriptyline 50mg Tablet (Berk Pharmaceuticals Ltd),Yes,4175001000027104,15,Tricyclic And Related Antidepressants/Neuropathic Pain
1888,Amitriptyline 50mg tablets,Yes,321747004,4433892,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
34274,Amitriptyline 50mg tablets (A A H Pharmaceuticals Ltd),Yes,771511000001106,2870,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
34634,Amitriptyline 50mg tablets (Accord-UK Ltd),Yes,743811000001109,1895,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
46970,Amitriptyline 50mg tablets (IVAX Pharmaceuticals UK Ltd),Yes,778911000001108,18,Tricyclic And Related Antidepressants
34182,Amitriptyline 50mg tablets (Kent Pharma (UK) Ltd),Yes,55411000001107,668,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
33624,Amitriptyline 50mg tablets (Teva UK Ltd),Yes,540811000001101,12774,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
34107,Amitriptyline 50mg tablets (Wockhardt UK Ltd),Yes,11176811000001108,83,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
4690,Amitriptyline 50mg/5ml oral solution sugar free,Yes,35901611000001104,21257,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
34251,Amitriptyline 50mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd),Yes,563711000001107,207,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
64141,Amitriptyline 5mg/5ml oral solution,Yes,8277911000001107,25,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
76952,Amitriptyline 5mg/5ml oral suspension,Yes,8278011000001109,14,Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine
3771,AMITRIPTYLINE 75 MG TAB,Yes,171545001000027100,2584,Unknown
2525,Amitriptyline 75mg modified-release capsules,Yes,95245001000027100,31349,Tricyclic And Related Antidepressants/Neuropathic Pain
8250,AMITRIPTYLINE S/F 25 MG/5ML SYR,Yes,95995001000027100,2321,Unknown
20712,AMITRIPTYLINE S/R,Yes,NA,321,Unknown
3652,Amoxapine 100mg tablets,Yes,321894004,1756,Tricyclic And Related Antidepressants
4411,Amoxapine 150mg tablets,Yes,172735001000027100,434,Tricyclic And Related Antidepressants
7475,AMOXAPINE 25 MG TAB,Yes,6675001000027106,1939,Unknown
17319,Amoxapine 25mg tablets,Yes,172705001000027100,482,Tricyclic And Related Antidepressants
3351,Amoxapine 50mg tablets,Yes,321893005,8418,Unknown
7515,Anafranil 10mg capsules (Novartis Pharmaceuticals UK Ltd),Yes,701211000001104,80026,Tricyclic And Related Antidepressants
