prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
26238,208,51808020,Alphavase 1 tablets (Ashbourne Pharmaceuticals Ltd),Prazosin hydrochloride,1mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
13610,436,51809020,Alphavase 2 tablets (Ashbourne Pharmaceuticals Ltd),Prazosin hydrochloride,2mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
19823,443,51736020,Alphavase 5 tablets (Ashbourne Pharmaceuticals Ltd),Prazosin hydrochloride,5mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
26237,82,51807020,Alphavase 500microgram Tablet (Ashbourne Pharmaceuticals Ltd),Prazosin hydrochloride,500microgram,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
11394,4739,48295020,Baratol 25mg Tablet (Shire Pharmaceuticals Ltd),Indoramin hydrochloride,25mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
40256,98,96646020,Baratol 25mg tablets (Amdipharm Plc),Indoramin hydrochloride,25mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),August 2009
16198,789,48296020,Baratol 50mg Tablet (Shire Pharmaceuticals Ltd),Indoramin Hydrochloride,50mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
36023,129,92057020,Cardozin xl 4mg Tablet (Hillcross Pharmaceuticals Ltd),Doxazosin mesilate,4mg,Modified-release tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
37243,7,93699020,Cardozin xl 4mg Tablet (Teva UK Ltd),Doxazosin mesilate,4mg,Modified-release tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
46066,49,99273020,Cardozin XL 4mg tablets (Almus Pharmaceuticals Ltd),Doxazosin mesilate,4mg,Modified-release tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),September 2011
38461,32,93900020,Cardozin XL 4mg tablets (Arrow Generics Ltd),Doxazosin mesilate,4mg,Modified-release tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
4449,49686,69313020,Cardura 1mg tablets (Pfizer Ltd),Doxazosin mesilate,1mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
4802,62138,69314020,Cardura 2mg tablets (Pfizer Ltd),Doxazosin mesilate,2mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
8086,43866,69315020,Cardura 4mg Tablet (Pfizer Ltd),Doxazosin mesilate,4mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
71405,79,00009020,Cardura XL 4mg tablets (DE Pharmaceuticals),Doxazosin mesilate,4mg,Modified-release tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),January 2018
755,108384,85762020,Cardura XL 4mg tablets (Pfizer Ltd),Doxazosin mesilate,4mg,Modified-release tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
5618,74983,85763020,Cardura XL 8mg tablets (Pfizer Ltd),Doxazosin mesilate,8mg,Modified-release tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
25487,294,80419020,Cascor 2mg tablets (Ranbaxy (UK) Ltd),Doxazosin mesilate,2mg,Tablet,Oral,02050400/07040000,Alpha-adrenoceptor Blocking Drugs/Drugs For Genito-urinary Disorders,February 2009
25551,495,80421020,Cascor 4mg tablets (Ranbaxy (UK) Ltd),Doxazosin mesilate,4mg,Tablet,Oral,02050400/07040000,Alpha-adrenoceptor Blocking Drugs/Drugs For Genito-urinary Disorders,February 2009
43695,1,93902020,Colixil XL 4mg tablets (Sandoz Ltd),Doxazosin mesilate,4mg,Modified-release tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),October 2010
2117,70548,69662020,Doralese Tiltab 20mg tablets (Chemidex Pharma Ltd),Indoramin hydrochloride,20mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
7549,5077,58779020,Doxadura 1mg tablets (Discovery Pharmaceuticals),Doxazosin mesilate,1mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
7547,10278,83686020,Doxadura 2mg tablets (Discovery Pharmaceuticals),Doxazosin mesilate,2mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
10088,20743,83886020,Doxadura 4mg tablets (Discovery Pharmaceuticals),Doxazosin mesilate,4mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
35272,2565,93137020,Doxadura XL 4mg tablets (Discovery Pharmaceuticals),Doxazosin mesilate,4mg,Modified-release tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
119,1159801,69308020,Doxazosin 1mg tablets,Doxazosin mesilate,1mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
34715,153,64168020,Doxazosin 1mg tablets (A A H Pharmaceuticals Ltd),Doxazosin mesilate,1mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
48150,0,65746020,Doxazosin 1mg tablets (Actavis UK Ltd),Doxazosin mesilate,1mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),December 2012
55916,0,01340020,Doxazosin 1mg tablets (Alliance Healthcare (Distribution) Ltd),Doxazosin mesilate,1mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),August 2013
62019,0,71463020,Doxazosin 1mg tablets (Almus Pharmaceuticals Ltd),Doxazosin mesilate,1mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),January 2015
60319,0,01344020,Doxazosin 1mg tablets (Bristol Laboratories Ltd),Doxazosin mesilate,1mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),July 2014
55906,0,64180020,Doxazosin 1mg tablets (Dexcel-Pharma Ltd),Doxazosin mesilate,1mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),August 2013
41543,295,64244020,Doxazosin 1mg tablets (IVAX Pharmaceuticals UK Ltd),Doxazosin mesilate,1mg,Tablet,Oral,02050400/07040000,Alpha-adrenoceptor Blocking Drugs/Drugs For Genito-urinary Disorders,March 2010
59209,0,65452020,Doxazosin 1mg tablets (Kent Pharmaceuticals Ltd),Doxazosin mesilate,1mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),March 2014
