prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,ap_code
47895,18290311000001104,99285020,414,Brilique 90mg tablets (AstraZeneca UK Ltd),Ticagrelor,90mg,Tablet,Oral,02090000,Antiplatelet Products,October 2012,1
393,544911000001101,73356020,549,Disprin 300mg dispersible tablets (Reckitt Benckiser Healthcare (UK) Ltd),Aspirin,300mg,Dispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
43434,211011000001104,59945020,277,Aspirin 300mg gastro-resistant tablets (A A H Pharmaceuticals Ltd),Aspirin,300mg,Gastro-resistant tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,September 2010,1
48165,696811000001101,61768020,1,Aspirin 300mg tablets (Aspar Pharmaceuticals Ltd),Aspirin,300mg,Tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,December 2012,1
40913,15907411000001100,97373020,674,Grepid 75mg tablets (Kent Pharma (UK) Ltd),Clopidogrel,75mg,Tablet,Oral,02090000,Antiplatelet Products,December 2009,1
377,39695211000001104,54360020,914855,Aspirin 300mg dispersible tablets,Aspirin,300mg,Dispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
10310,5145711000001107,52556020,1873,Aspirin powder,Aspirin,1mg/1mg,Not applicable,Route of administration not applicable,02090000/04070100/50030000,Antiplatelet Products/Non-Opioid And Compound Analgesics/Extemporaneous Item,February 2009,1
31954,33511000001106,53701020,22223,Aspirin 75mg dispersible tablets (Teva UK Ltd),Aspirin,75mg,Dispersible tablet,Oral,02090000,Antiplatelet Products,February 2009,1
59253,21777711000001108,47190020,15,Aspirin 75mg gastro-resistant tablets (Waymade Healthcare Plc),Aspirin,75mg,Gastro-resistant tablet,Oral,02090000,Antiplatelet Products,March 2014,1
49685,15069611000001102,02346020,61,Aspirin 75mg dispersible tablets (Sigma Pharmaceuticals Plc),Aspirin,75mg,Dispersible tablet,Oral,02090000,Antiplatelet Products,January 2013,1
41229,15240211000001104,96712020,399,Efient 10mg tablets (Vygoris Ltd),Prasugrel,10mg,Tablet,Oral,02090000,Antiplatelet Products,February 2010,1
75011,25665001000027104,51215020,150,Dipyridamole 100mg Tablet (C P Pharmaceuticals Ltd),Dipyridamole,100mg,Tablet,Oral,02090000,Antiplatelet Products,February 2019,1
1902,166755001000027100,70337020,4077,Aspirn 600mg gastro-resistant tablets,Aspirin,600mg,Gastro-Resistant Tablets,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
1049,22125001000027104,50796020,2760,Nu-seals aspirin 600mg Tablet (Eli Lilly and Company Ltd),Aspirin,600mg,Tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
70606,34713411000001108,78181021,1240,Ticagrelor 90mg orodispersible tablets sugar free,Ticagrelor,90mg,Orodispersible tablet,Oral,02090000,Antiplatelet Products,November 2017,1
59244,21109511000001104,44166020,33,Aspirin 100mg capsules,Aspirin,100mg,Capsule,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,March 2014,1
88434,30015311000001100,53336021,2,Clopidogrel 75mg tablets (Mawdsley-Brooks & Company Ltd),Clopidogrel,75mg,Tablet,Oral,02090000,Antiplatelet Products,July 2023,1
4679,3292511000001108,85728020,274206,Asasantin Retard capsules (Boehringer Ingelheim Ltd),Aspirin/Dipyridamole,25mg + 200mg,Modified-release capsule,Oral,02090000,Antiplatelet Products,February 2009,1
72650,244055001000027100,91812020,6,Dipyridamole oral liquid,Dipyridamole,,,,02090000,Antiplatelet Products,July 2018,1
34385,47665001000027104,54012020,690,Aspirin 75mg Soluble tablet (Co-operative),Aspirin,75mg,Dispersible tablet,Oral,02090000,Antiplatelet Products,February 2009,1
34709,151611000001100,51223020,6,Dipyridamole 100mg tablets (A A H Pharmaceuticals Ltd),Dipyridamole,100mg,Tablet,Oral,02090000,Antiplatelet Products,February 2009,1
66973,32472211000001104,67744021,9297,Ticagrelor 60mg tablets,Ticagrelor,60mg,Tablet,Oral,02090000,Antiplatelet Products,August 2016,1
45905,18747911000001100,99683020,218,Clopidogrel 1mg/ml oral suspension,Clopidogrel hydrogen sulfate,1mg/1ml,Oral suspension,Oral,02090000,Antiplatelet Products,August 2011,1
78167,25705001000027104,51219020,356,Dipyridamole 25mg Tablet (IVAX Pharmaceuticals UK Ltd),Dipyridamole,25mg,Tablet,Oral,02090000,Antiplatelet Products,October 2019,1
35108,8456511000001101,91810020,4154,Dipyridamole 100mg/5ml oral suspension,Dipyridamole,20mg/1ml,Oral suspension,Oral,02090000,Antiplatelet Products,February 2009,1
18217,4930911000001106,78272020,1785,Aspirin 300mg orodispersible tablets sugar free,Aspirin,300mg,Orodispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
79389,158465001000027100,69135020,10,Platet 300mg Effervescent tablet (Roche Products Ltd),Aspirin,300mg,Effervescent tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,December 2019,1
9144,927411000001108,80899020,9793,Caprin 75mg gastro-resistant tablets (Wockhardt UK Ltd),Aspirin,75mg,Gastro-resistant tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
21989,116715001000027100,63357020,1783,Cerebrovase 100mg Tablet (Ashbourne Pharmaceuticals Ltd),Dipyridamole,100mg,Tablet,Oral,02090000,Antiplatelet Products,February 2009,1
50555,13585411000001104,08038020,1,Aspirin 300mg dispersible tablets (DE Pharmaceuticals),Aspirin,300mg,Dispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,January 2013,1
6666,36069911000001110,85724020,174637,Dipyridamole 200mg modified-release / Aspirin 25mg capsules,Aspirin/Dipyridamole,25mg + 200mg,Modified-release capsule,Oral,02090000,Antiplatelet Products,February 2009,1
41569,802811000001105,48776020,115,Aspirin 300mg tablets (A A H Pharmaceuticals Ltd),Aspirin,300mg,Tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,March 2010,1
31858,234645001000027100,86558020,1,Caspac xl 162.5mg Capsule (Pharmacia Ltd),Aspirin,162.5mg,Capsule,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
67521,12012311000001102,30277020,4,Aspirin 15mg/5ml oral suspension,Aspirin,3mg/1ml,Oral suspension,Oral,02090000/04070100/04070401/10010100,Antiplatelet Products/Non-Opioid And Compound Analgesics/Acute Migraine/Non-Steroidal Anti-Inflammatory Drugs,September 2016,1
8645,160195001000027100,69426020,507,Aspirin 300mg effervescent tablets,Aspirin,300mg,Tablets,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
34485,592811000001109,58873020,926,Aspirin 75mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd),Aspirin,75mg,Gastro-resistant tablet,Oral,02090000,Antiplatelet Products,February 2009,1
69216,27963111000001100,31328021,2,Dipyridamole 200mg modified-release / Aspirin 25mg capsules (A A H Pharmaceuticals Ltd),Aspirin/Dipyridamole,25mg + 200mg,Modified-release capsule,Oral,02090000,Antiplatelet Products,April 2017,1
645,322232006,75037020,791,Aspirin 300mg suppositories,Aspirin,300mg,Suppository,Rectal,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
32210,442511000001105,48770020,2001,Aspirin 300mg dispersible tablets (Accord-UK Ltd),Aspirin,300mg,Dispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
