prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
62376,7,23794021,Actelsar HCT 80mg/12.5mg tablets (Actavis UK Ltd),Telmisartan/Hydrochlorothiazide,80mg + 12.5mg,Tablet,Oral,02050504,Angiotensin-ii Receptor Antagonists With Diuretic,February 2015
5117,18964,86113020,Amias 16mg tablets (Takeda UK Ltd),Candesartan cilexetil,16mg,Tablet,Oral,02050502,Angiotensin-ii Receptor Antagonists,February 2009
4155,6860,79053020,Amias 2mg tablets (Takeda UK Ltd),Candesartan cilexetil,2mg,Tablet,Oral,02050502,Angiotensin-ii Receptor Antagonists,February 2009
31072,2480,88790020,Amias 32mg tablets (Takeda UK Ltd),Candesartan cilexetil,32mg,Tablet,Oral,02050502,Angiotensin-ii Receptor Antagonists,February 2009
4685,26771,79054020,Amias 4mg tablets (Takeda UK Ltd),Candesartan cilexetil,4mg,Tablet,Oral,02050502,Angiotensin-ii Receptor Antagonists,February 2009
5013,32164,79055020,Amias 8mg tablets (Takeda UK Ltd),Candesartan cilexetil,8mg,Tablet,Oral,02050502,Angiotensin-ii Receptor Antagonists,February 2009
35189,6800,92767020,Amlodipine 10mg / Valsartan 160mg tablets,Amlodipine besilate/Valsartan,10mg + 160mg,Tablet,Oral,02060200,Calcium-channel Blockers,February 2009
35343,6582,92765020,Amlodipine 5mg / Valsartan 160mg tablets,Amlodipine besilate/Valsartan,5mg + 160mg,Tablet,Oral,02060200,Calcium-channel Blockers,February 2009
35329,9401,92763020,Amlodipine 5mg / Valsartan 80mg tablets,Valsartan/Amlodipine besilate,80mg + 5mg,Tablet,Oral,02060200,Calcium-channel Blockers,February 2009
9196,41993,85710020,Aprovel 150mg tablets (Sanofi),Irbesartan,150mg,Tablet,Oral,02050502,Angiotensin-ii Receptor Antagonists,February 2009
11348,25481,85711020,Aprovel 300mg tablets (Sanofi),Irbesartan,300mg,Tablet,Oral,02050502,Angiotensin-ii Receptor Antagonists,February 2009
7338,21427,85709020,Aprovel 75mg tablets (Sanofi),Irbesartan,75mg,Tablet,Oral,02050502,Angiotensin-ii Receptor Antagonists,February 2009
56606,6,41454020,Azilsartan medoxomil 40mg tablets,Azilsartan medoxomil,40mg,Tablet,Oral,02050502,Angiotensin-ii Receptor Antagonists,August 2013
51368,137,41456020,Azilsartan medoxomil 80mg tablets,Azilsartan medoxomil,80mg,Tablet,Oral,02050502,Angiotensin-ii Receptor Antagonists,January 2013
4741,1471445,81321020,Candesartan 16mg tablets,Candesartan cilexetil,16mg,Tablet,Oral,02050502,Angiotensin-ii Receptor Antagonists,February 2009
52208,0,41322020,Candesartan 16mg tablets (A A H Pharmaceuticals Ltd),Candesartan cilexetil,16mg,Tablet,Oral,02050502,Angiotensin-ii Receptor Antagonists,January 2013
