prodcode,productname,bnfchapter,bnftext
84474,Neo-Cytamen 1000micrograms/1ml solution for injection ampoules (Dowelhurst Ltd),09010200,Drugs Used In Megaloblastic Anaemias
78311,CyanocoB12 50microgram tablets (TriOn Pharma Ltd),09010200,Drugs Used In Megaloblastic Anaemias
86028,Cyanocobalamin 50microgram tablets (Dawa Ltd),09010200,Drugs Used In Megaloblastic Anaemias
7241,Cyanocobalamin 35micrograms/5ml oral solution,09010200,Drugs Used In Megaloblastic Anaemias
1756,Cyanocobalamin 1mg/1ml solution for injection ampoules,09010200/64080000,Drugs Used In Megaloblastic Anaemias/Schilling Test (For Vitamin B12 Absorption)
76292,Cyanocobalamin 50microgram tablets (Mawdsley-Brooks & Company Ltd),09010200,Drugs Used In Megaloblastic Anaemias
70475,Hydroxocobalamin 1mg/1ml solution for injection ampoules (Focus Pharmaceuticals Ltd),09010200,Drugs Used In Megaloblastic Anaemias
78361,Cyanocobalamin 50microgram tablets (Phoenix Healthcare Distribution Ltd),09010200,Drugs Used In Megaloblastic Anaemias
83080,Cyanocobalamin 50microgram tablets (Advanz Pharma),09010200,Drugs Used In Megaloblastic Anaemias
592,Hydroxocobalamin 1mg/1ml solution for injection ampoules,09010200,Drugs Used In Megaloblastic Anaemias
60257,Hydroxocobalamin 1mg/1ml solution for injection ampoules (Accord-UK Ltd),09010200,Drugs Used In Megaloblastic Anaemias
6237,Cytacon 50microgram tablets (Advanz Pharma),09010200,Drugs Used In Megaloblastic Anaemias
80691,Hydroxocobalamin 10mg/5ml oral solution,09010200,Drugs Used In Megaloblastic Anaemias
76701,Hydroxocobalamin 1mg/1ml solution for injection ampoules (Phoenix Healthcare Distribution Ltd),09010200,Drugs Used In Megaloblastic Anaemias
70361,Hydroxocobalamin 10mg/2ml solution for injection ampoules,09010200,Drugs Used In Megaloblastic Anaemias
43882,Cobalin-H 1mg/1ml solution for injection ampoules (Advanz Pharma),09010200,Drugs Used In Megaloblastic Anaemias
66801,Hepacon b12 1000microgram/ml Injection (Consolidated Chemicals (UK) Ltd),09010200,Drugs Used In Megaloblastic Anaemias
73693,CyanocoMinn 50microgram tablets (Essential-Healthcare Ltd),09010200,Drugs Used In Megaloblastic Anaemias
2712,Neo-Cytamen 1000micrograms/1ml solution for injection ampoules (RPH Pharmaceuticals AB),09010200,Drugs Used In Megaloblastic Anaemias
34620,Hydroxocobalamin 1mg/1ml solution for injection ampoules (A A H Pharmaceuticals Ltd),09010200,Drugs Used In Megaloblastic Anaemias
24303,Cobalin-h 1mg/ml Injection (Link Pharmaceuticals Ltd),09010200,Drugs Used In Megaloblastic Anaemias
82190,Hydroxocobalamin 1mg/1ml solution for injection ampoules (DE Pharmaceuticals),09010200,Drugs Used In Megaloblastic Anaemias
67992,Cyanocobalamin 35micrograms/5ml oral solution (Alliance Healthcare (Distribution) Ltd),09010200,Drugs Used In Megaloblastic Anaemias
83673,Cyanocobalamin 500microgram tablets,09010200,Drugs Used In Megaloblastic Anaemias
14424,Cyanocobalamin 500micrograms/ml injection,09010200,Drugs Used In Megaloblastic Anaemias
54909,Cyanocobalamin 50microgram tablets (A A H Pharmaceuticals Ltd),09010200,Drugs Used In Megaloblastic Anaemias
84546,Hydroxocobalamin 2mg/5ml oral solution,09010200,Drugs Used In Megaloblastic Anaemias
52140,Neo-cytamen 250microgram/ml Injection (Duncan Flockhart Ltd),09010200,Drugs Used In Megaloblastic Anaemias
18725,Cytacon 35micrograms/5ml syrup (Advanz Pharma),09010200,Drugs Used In Megaloblastic Anaemias
16214,Cyanocobalamin 50micrograms/ml injection,09010200,Drugs Used In Megaloblastic Anaemias
69673,Lamberts Vitamin B12 100microgram tablets (Lamberts Healthcare Ltd),09010200/09060200,Drugs Used In Megaloblastic Anaemias/Vitamin B Group
8901,Hydroxocobalamin 250microgram/ml injection,09010200,Drugs Used In Megaloblastic Anaemias
82915,CyanocoB12 100microgram tablets (TriOn Pharma Ltd),09010200/09060200,Drugs Used In Megaloblastic Anaemias/Vitamin B Group
52355,Hydroxocobalamin 1mg/1ml solution for injection ampoules (Kent Pharma (UK) Ltd),09010200,Drugs Used In Megaloblastic Anaemias
67278,Neo-Cytamen 1000micrograms/1ml solution for injection ampoules (Sigma Pharmaceuticals Plc),09010200,Drugs Used In Megaloblastic Anaemias
82266,Hydroxocobalamin 150micrograms/5ml oral suspension,09010200,Drugs Used In Megaloblastic Anaemias
62061,Cyanocobalamin 35micrograms/5ml oral solution (Advanz Pharma),09010200,Drugs Used In Megaloblastic Anaemias
4583,Cytamen 1000micrograms/1ml solution for injection ampoules (RPH Pharmaceuticals AB),09010200/64080000,Drugs Used In Megaloblastic Anaemias/Schilling Test (For Vitamin B12 Absorption)
4871,Cyanocobalamin 50microgram tablets,09010200,Drugs Used In Megaloblastic Anaemias
62970,Hydroxocobalamin 10mg/5ml oral suspension,09010200,Drugs Used In Megaloblastic Anaemias
74328,Hydroxocobalamin 150micrograms/5ml oral solution,09010200,Drugs Used In Megaloblastic Anaemias
59117,Hydroxocobalamin 1mg/1ml solution for injection ampoules (Teva UK Ltd),09010200,Drugs Used In Megaloblastic Anaemias
85524,Hydroxocobalamin 1mg/1ml solution for injection ampoules (Medihealth (Northern) Ltd),09010200,Drugs Used In Megaloblastic Anaemias
56308,Hydroxocobalamin 1mg/1ml solution for injection ampoules (Alliance Healthcare (Distribution) Ltd),09010200,Drugs Used In Megaloblastic Anaemias
63215,Hydroxocobalamin 1mg/1ml solution for injection ampoules (Waymade Healthcare Plc),09010200,Drugs Used In Megaloblastic Anaemias
83266,CyanocoMinn 100microgram tablets (Essential-Healthcare Ltd),09010200/09060200,Drugs Used In Megaloblastic Anaemias/Vitamin B Group
69618,Cyanocobalamin 100microgram tablets,09010200/09060200,Drugs Used In Megaloblastic Anaemias/Vitamin B Group
83645,CyanocoB12 500microgram tablets (TriOn Pharma Ltd),09010200,Drugs Used In Megaloblastic Anaemias
23898,Hydroxocobalamin 1mg/1ml solution for injection ampoules (Advanz Pharma),09010200,Drugs Used In Megaloblastic Anaemias
