prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
8172,30828,59924020,Acebutolol 100mg capsules,Acebutolol hydrochloride,100mg,Capsule,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
65438,21,71696020,Acebutolol 100mg capsules (A A H Pharmaceuticals Ltd),Acebutolol hydrochloride,100mg,Capsule,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2016
14126,832,59935020,Acebutolol 200mg / Hydrochlorothiazide 12.5mg tablets,Acebutolol hydrochloride/Hydrochlorothiazide,200mg + 12.5mg,Tablet,Oral,00000000,Unknown,February 2009
8113,40115,59925020,Acebutolol 200mg capsules,Acebutolol hydrochloride,200mg,Capsule,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
7620,26621,59926020,Acebutolol 400mg tablets,Acebutolol hydrochloride,400mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
45309,7,71703020,Acebutolol 400mg tablets (A A H Pharmaceuticals Ltd),Acebutolol hydrochloride,400mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,May 2011
3526,355,69296020,Amiloride with atenolol with hydrochlorothiazide capsules,Atenolol/Amiloride Hydrochloride/Hydrochlorothiazide,,Capsules,Oral,02020100/02040000,Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs,February 2009
30519,8,69277020,Amiloride with timolol with hydrochlorothiazide tablets,Timolol Maleate/Amiloride Hydrochloride/Hydrochlorothiazide,,Tablets,Oral,02020100/02040000,Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs,February 2009
28048,2,59466020,Angilol 10mg Tablet (DDSA Pharmaceuticals Ltd),Propranolol hydrochloride,10mg,Tablet,Oral,02030202/02040000,Supraventricular Arrhythmias/Beta-adrenoceptor Blocking Drugs,February 2009
31833,1,59468020,Angilol 80mg Tablet (DDSA Pharmaceuticals Ltd),Propranolol hydrochloride,80mg,Tablet,Oral,02030202/02040000,Supraventricular Arrhythmias/Beta-adrenoceptor Blocking Drugs,February 2009
24195,7872,68814020,Antipressan 100mg tablets (Teva UK Ltd),Atenolol,100mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
26211,1377,68815020,Antipressan 25mg tablets (Teva UK Ltd),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
24191,13275,68813020,Antipressan 50mg tablets (Teva UK Ltd),Atenolol,50mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
33836,1,57662020,Apsolol 160mg Tablet (Approved Prescription Services Ltd),Propranolol hydrochloride,160mg,Tablet,Oral,02030202/02040000,Supraventricular Arrhythmias/Beta-adrenoceptor Blocking Drugs,February 2009
27964,1,57658020,Apsolol 40mg Tablet (Approved Prescription Services Ltd),Propranolol hydrochloride,40mg,Tablet,Oral,02030202/02040000,Supraventricular Arrhythmias/Beta-adrenoceptor Blocking Drugs,February 2009
29398,317,86682020,Atenamin 100mg Tablet (OPD Pharm),Atenolol,100mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
20728,38,86680020,Atenamin 25mg Tablet (OPD Pharm),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
21133,30,86681020,Atenamin 50mg Tablet (OPD Pharm),Atenolol,50mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
20502,16462,72697020,Atenix 100 tablets (Ashbourne Pharmaceuticals Ltd),Atenolol,100mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
17322,9165,72698020,Atenix 25 tablets (Ashbourne Pharmaceuticals Ltd),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
10191,28903,72696020,Atenix 50 tablets (Ashbourne Pharmaceuticals Ltd),Atenolol,50mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
13526,4736,63763020,Atenix Co 100 tablets (Ashbourne Pharmaceuticals Ltd),Atenolol/Chlortalidone,100mg + 25mg,Tablet,Oral,02020100/02040000,Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs,February 2009
21873,3402,63762020,Atenix Co 50 tablets (Ashbourne Pharmaceuticals Ltd),Atenolol/Chlortalidone,50mg + 12.5mg,Tablet,Oral,02020100/02040000,Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs,February 2009
24677,4,!0394102,ATENOLOL,,,,,00000000,Unknown,February 2009
25037,0,!0394103,ATENOLOL,,,,,00000000,Unknown,February 2009
24,5435866,60152020,Atenolol 100mg tablets,Atenolol,100mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
33085,1482,51023020,Atenolol 100mg tablets (A A H Pharmaceuticals Ltd),Atenolol,100mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
46931,3,56837020,Atenolol 100mg tablets (Actavis UK Ltd),Atenolol,100mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,March 2012
71026,0,70257020,Atenolol 100mg tablets (Almus Pharmaceuticals Ltd),Atenolol,100mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,December 2017
31934,1969,55395020,Atenolol 100mg tablets (IVAX Pharmaceuticals UK Ltd),Atenolol,100mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
46908,6,56095020,Atenolol 100mg tablets (Kent Pharmaceuticals Ltd),Atenolol,100mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,March 2012
33079,145,60233020,Atenolol 100mg tablets (Mylan),Atenolol,100mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
34754,199,51439020,Atenolol 100mg tablets (Sandoz Ltd),Atenolol,100mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
19191,2218,53707020,Atenolol 100mg tablets (Teva UK Ltd),Atenolol,100mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
33184,81,52914020,Atenolol 100mg tablets (Wockhardt UK Ltd),Atenolol,100mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
1788,219573,67598020,Atenolol 100mg with Chlortalidone 25mg tablets,Chlortalidone/Atenolol,100mg+25mg,Tablets,Oral,02020100/02040000,Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs,February 2009
9178,5877,83986020,Atenolol 25mg / Bendroflumethiazide 1.25mg capsules,Atenolol/Bendroflumethiazide,25mg + 1.25mg,Capsule,Oral,00000000,Unknown,February 2009
26,6977303,67920020,Atenolol 25mg tablets,Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
33657,1181,51024020,Atenolol 25mg tablets (A A H Pharmaceuticals Ltd),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
