prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
2521,184361,52565020,Adalat 10mg capsules (Bayer Plc),Nifedipine,10mg,Capsule,Oral,02060200,Calcium-channel Blockers,February 2009
67074,0,01937020,Adalat 10mg capsules (DE Pharmaceuticals),Nifedipine,10mg,Capsule,Oral,02060200,Calcium-channel Blockers,August 2016
662,73198,52564020,Adalat 5mg capsules (Bayer Plc),Nifedipine,5mg,Capsule,Oral,02060200,Calcium-channel Blockers,February 2009
58557,0,01975020,Adalat LA 20 tablets (Necessity Supplies Ltd),Nifedipine,20mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,January 2014
57653,0,01970020,Adalat LA 20 tablets (Sigma Pharmaceuticals Plc),Nifedipine,20mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,October 2013
541,545387,84301020,Adalat LA 20mg tablets (Bayer Plc),Nifedipine,20mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
53500,1,01950020,Adalat LA 30 tablets (DE Pharmaceuticals),Nifedipine,30mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,January 2013
71339,711,01949020,Adalat LA 30 tablets (Dowelhurst Ltd),Nifedipine,30mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,January 2018
52017,1,01952020,Adalat LA 30 tablets (Mawdsley-Brooks & Company Ltd),Nifedipine,30mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,January 2013
53278,0,01953020,Adalat LA 30 tablets (Necessity Supplies Ltd),Nifedipine,30mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,January 2013
1854,1236412,64630020,Adalat la 30mg Tablet (Bayer Plc),Nifedipine,30mg,Tablet,Oral,02060200,Calcium-channel Blockers,February 2009
43753,272690,98789020,Adalat LA 30mg tablets (Bayer Plc),Nifedipine,30mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,October 2010
56469,1443,01958020,Adalat LA 60 tablets (Necessity Supplies Ltd),Nifedipine,60mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,August 2013
51917,0,01957020,Adalat LA 60 tablets (Sigma Pharmaceuticals Plc),Nifedipine,60mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,January 2013
57531,57,01954020,Adalat LA 60 tablets (Waymade Healthcare Plc),Nifedipine,60mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,October 2013
4227,626066,64631020,Adalat la 60mg Tablet (Bayer Plc),Nifedipine,60mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
43818,189281,98791020,Adalat LA 60mg tablets (Bayer Plc),Nifedipine,60mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,November 2010
2280,623187,52574020,Adalat retard 10mg tablets (Bayer Plc),Nifedipine,10mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
2343,986291,52575020,Adalat retard 20mg tablets (Bayer Plc),Nifedipine,20mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
66191,0,01969020,Adalat retard 20mg tablets (DE Pharmaceuticals),Nifedipine,20mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,May 2016
53629,1,01972020,Adalat retard 20mg tablets (Lexon (UK) Ltd),Nifedipine,20mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,January 2013
45685,32,99249020,Adanif XL 30mg tablets (Focus Pharmaceuticals Ltd),Nifedipine,30mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,July 2011
46887,163,99251020,Adanif XL 60mg tablets (Focus Pharmaceuticals Ltd),Nifedipine,60mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,March 2012
41979,1,85923020,Adipine la 30mg Modified-release tablet (Chiesi Ltd),Nifedipine,30mg,Modified-release Tablet,Oral,02060200,Calcium-channel Blockers,April 2010
47217,1,85924020,Adipine la 60mg Modified-release tablet (Chiesi Ltd),Nifedipine,60mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,May 2012
