prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
8033,12797,48069020,Aldomet 125mg Tablet (Merck Sharp & Dohme Ltd),Methyldopa anhydrous,125mg,Tablet,Oral,02050200,Centrally Acting Antihypertensive Drugs,February 2009
7626,121484,48070020,Aldomet 250mg Tablet (Merck Sharp & Dohme Ltd),Methyldopa anhydrous,250mg,Tablet,Oral,02050200,Centrally Acting Antihypertensive Drugs,February 2009
43988,3154,98722020,Aldomet 250mg tablets (Aspen Pharma Trading Ltd),Methyldopa anhydrous,250mg,Tablet,Oral,02050200,Centrally Acting Antihypertensive Drugs,December 2010
71385,5,01258020,Aldomet 250mg tablets (Sigma Pharmaceuticals Plc),Methyldopa anhydrous,250mg,Tablet,Oral,02050200,Centrally Acting Antihypertensive Drugs,January 2018
14390,435,54403020,Aldomet 250mg/5ml Liquid (Merck Sharp & Dohme Ltd),Methyldopa anhydrous,50mg/1ml,Oral suspension,Oral,02050200,Centrally Acting Antihypertensive Drugs,February 2009
7642,26737,48071020,Aldomet 500mg Tablet (Merck Sharp & Dohme Ltd),Methyldopa anhydrous,500mg,Tablet,Oral,02050200,Centrally Acting Antihypertensive Drugs,February 2009
43989,778,98724020,Aldomet 500mg tablets (Aspen Pharma Trading Ltd),Methyldopa anhydrous,500mg,Tablet,Oral,02050200,Centrally Acting Antihypertensive Drugs,December 2010
71110,1,01265020,Aldomet 500mg tablets (Sigma Pharmaceuticals Plc),Methyldopa anhydrous,500mg,Tablet,Oral,02050200,Centrally Acting Antihypertensive Drugs,December 2017
7416,12,54406020,Aldomet 50mg/ml Injection (Merck Sharp & Dohme Ltd),Methyldopate Hydrochloride,50mg/ml,Injection,Intravenous Injection,02050200,Centrally Acting Antihypertensive Drugs,February 2009
28790,14,!1152103,CATAPRES,,,,,00000000,Unknown,February 2009
25088,37,!1152102,CATAPRES,,,,,00000000,Unknown,February 2009
4215,13257,48570020,Catapres 100microgram tablets (Boehringer Ingelheim Ltd),Clonidine hydrochloride,100microgram,Tablet,Oral,02050200,Centrally Acting Antihypertensive Drugs,February 2009
27883,28,06602007,CATAPRES 15 MCG/ML INJ,,,,,00000000,Unknown,February 2009
30293,6,58536020,Catapres 150micrograms/1ml solution for injection ampoules (Boehringer Ingelheim Ltd),Clonidine hydrochloride,150microgram/1ml,Solution for injection,Intravenous,02050200,Centrally Acting Antihypertensive Drugs,February 2009
23380,1854,48571020,Catapres 300microgram tablets (Boehringer Ingelheim Ltd),Clonidine hydrochloride,300microgram,Tablet,Oral,02050200,Centrally Acting Antihypertensive Drugs,February 2009
20808,32,!1153101,CATAPRES PERLONGETS,,,,,00000000,Unknown,February 2009
8296,3942,54917020,Catapres PL Perlongets 250microgram capsules (Boehringer Ingelheim Ltd),Clonidine hydrochloride,250microgram,Modified-release capsule,Oral,00000000,Unknown,February 2009
2878,50280,61496020,Clonidine 100microgram tablets,Clonidine hydrochloride,100microgram,Tablet,Oral,02050200,Centrally Acting Antihypertensive Drugs,February 2009
49684,28,28322020,Clonidine 100micrograms/24hours transdermal patches,Clonidine,100microgram/24hour,Transdermal patch,Transdermal,02050200,Centrally Acting Antihypertensive Drugs,January 2013
60136,1,30024020,Clonidine 100micrograms/5ml oral solution,Clonidine hydrochloride,20microgram/1ml,Oral solution,Oral,02050200/04070402/06040101,Centrally Acting Antihypertensive Drugs/Prophylaxis Of Migraine/Oestrogens And Hrt,June 2014
