prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild
56181,31775001000027100,51950020,0,Tetracycline 250mg Tablet (Celltech Pharma Europe Ltd),Tetracycline hydrochloride,250mg,Tablet,Oral,05010300/13060201,Tetracyclines/Oral Antibacterials For Acne,August 2013
18476,41787611000001104,51600020,26,Fludarabine phosphate 10mg tablets,Fludarabine phosphate,10mg,Tablet,Oral,08010300,Antimetabolites,February 2009
39279,13665911000001108,95364020,8280,Epilim Chronosphere MR 500mg granules sachets (Sanofi),Sodium valproate,500mg,Modified-release granules,Oral,04080100,Control Of Epilepsy,April 2009
36608,65295001000027110,56226020,601,Co-codamol Effervescent tablet (A A H Pharmaceuticals Ltd),Codeine phosphate/Paracetamol,30mg + 500mg,Effervescent tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,February 2009
67541,8276211000001100,18952020,96,Amiodarone 50mg/5ml oral suspension,Amiodarone hydrochloride,10mg/1ml,Oral suspension,Oral,02030201,Supraventricular & Ventricular Arrhythmias,September 2016
36182,7961211000001109,88324020,1,VFEND 40mg/ml oral suspension (Pfizer Ltd),Voriconazole,40mg/1ml,Oral suspension,Oral,05020100,Triazole Antifungals,February 2009
53364,4435711000001101,14042020,0,Generic Trizivir tablets,Lamivudine/Abacavir sulfate/Zidovudine,150mg + 300mg + 300mg,Tablet,Oral,05030150,Nucleoside Reverse Transcriptase Inhibitors,January 2013
60979,24136011000001104,23121021,14,Methotrexate 2.5mg tablets (Morningside Healthcare Ltd),Methotrexate,2.5mg,Tablet,Oral,01050300/08010300/10010302/13050300,Products Affecting The Immune Response In Chronic Bowel Problems/Antimetabolites/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,August 2014
4951,396211000001106,67905020,154118,Tetralysal 300 capsules (Galderma (UK) Ltd),Lymecycline,408mg,Capsule,Oral,05010300,Tetracyclines,February 2009
82514,16564411000001104,10716020,57,Niaspan 1g modified-release tablets (Mawdsley-Brooks & Company Ltd),Nicotinic acid,1gram,Modified-release tablet,Oral,02120500,Nicotinic Acid Group,January 2021
84952,186675001000027100,73391020,0,Mu-cron Tablet (Novartis Consumer Health UK Ltd),Paracetamol/Phenylpropanolamine Hydrochloride,,Tablet,,03090200/04070100,Demulcent And Expectorant Cough Preparations/Non-Opioid And Compound Analgesics,November 2021
22076,16785001000027108,50145020,84,Ledermycin 300mg Tablet (Wyeth Pharmaceuticals),Demeclocycline Hydrochloride,300mg,Tablet,Oral,05010300/06050200,Tetracyclines/Posterior Pituitary Hormones And Antagonists,February 2009
46640,265375001000027100,00008021,2,"Vitamin a, c & d with multivitamins & minerals tablets",Pantothenic Acid/Biotin/Ascorbic Acid/Vitamin A Acetate/Copper Sulphate/Folic Acid/Ferrous Fumarate/Manganese Sulphate/Nicotinamide/Potassium Chloride/Potassium Iodide/Pyridoxine Hydrochloride/Riboflavin/Alpha Tocopheryl Acetate/Vitamin D/Zinc,,Tablets,Oral,09060750,-,January 2012
32588,4576511000001108,87748020,3,Dentomycin 2% dental gel (Henry Schein Ltd),Minocycline hydrochloride,20mg/1ml,Dental gel,Dental/Gingival,05010300/12030200,Tetracyclines/Oropharyngeal Anti-Infective Drugs,February 2009
79780,35045811000001104,79426021,1,Paracetamol 20mg suppositories,Paracetamol,20mg,Suppository,Rectal,04070100,Non-Opioid And Compound Analgesics,January 2020
30590,175905001000027100,71663020,1,Medised Tablet (SSL International Plc),Paracetamol/Promethazine Hydrochloride,,Tablet,Oral,04070100,Non-Opioid And Compound Analgesics,February 2009
87660,37863911000001104,90631021,0,Co-dydramol 10mg/500mg tablets (Accord-UK Ltd),Dihydrocodeine tartrate/Paracetamol,10mg + 500mg,Tablet,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,February 2023
17226,88985001000027100,59279020,1,Economycin 250mg Capsule (DDSA Pharmaceuticals Ltd),Tetracycline hydrochloride,250mg,Capsule,Oral,05010300/13060201,Tetracyclines/Oral Antibacterials For Acne,February 2009
23079,7503511000001104,87844020,599,Testosterone 30mg modified-release muco-adhesive buccal tablets,Testosterone,30mg,Muco-adhesive buccal tablet,Buccal,06040200,Male Sex Hormones And Antagonists,February 2009
77482,28046111000001104,43062021,1,Adjusan 36.4mg/260mg periodontal gel cartridge (Heraeus),Doxycycline hyclate,140mg/1gram,Oromucosal gel,Oromucosal,05010300/12030200,Tetracyclines/Oropharyngeal Anti-Infective Drugs,August 2019
65904,29795811000001108,52235021,0,Co-codamol 8mg/500mg capsules (Sigma Pharmaceuticals Plc),Codeine phosphate/Paracetamol,8mg + 500mg,Capsule,Oral,04070100/04070200,Non-Opioid And Compound Analgesics/Opioid Analgesics,April 2016
52333,12701711000001106,32789020,0,Mercaptopurine 75mg/5ml oral suspension,Mercaptopurine,15mg/1ml,Oral suspension,Oral,01050300/08010300,Products Affecting The Immune Response In Chronic Bowel Problems/Antimetabolites,January 2013
25975,219065001000027100,82165020,242,Vitamins a & d ONE A DAY capsules,Vitamin A/Vitamin D,,One A Day Capsules,Oral,09060100/09060400,Vitamin A/Vitamin D,February 2009
22352,221735001000027100,82989020,53,Zinc with vitamins tablets,Zinc Oxide/Vitamin A/Ascorbic Acid/Alpha Tocopherol,,Tablets,Oral,09050400/09060700,Zinc/Multivitamin And Multimineral Preparations,February 2009
47552,39702011000001110,98706020,36,Pazopanib 200mg tablets,Pazopanib hydrochloride,200mg,Tablet,Oral,08010551,Protein Kinase Inhibitors,August 2012
66097,19742711000001104,38532020,1,Paracetamol 500mg capsules (Almus Pharmaceuticals Ltd),Paracetamol,500mg,Capsule,Oral,04070100,Non-Opioid And Compound Analgesics,May 2016
20951,683611000001105,62982020,893,Methotrexate 2.5mg tablets (Advanz Pharma),Methotrexate,2.5mg,Tablet,Oral,01050300/08010300/10010302/13050300,Products Affecting The Immune Response In Chronic Bowel Problems/Antimetabolites/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,February 2009
73122,16172211000001108,04820020,1,Epilim Chrono 300 tablets (Lexon (UK) Ltd),Sodium valproate,300mg,Modified-release tablet,Oral,04080100,Control Of Epilepsy,September 2018
23114,154745001000027100,68468020,253,Panaleve plus 120mg/5ml Oral suspension sugar free (Pinewood Healthcare),Paracetamol,120mg/5ml,Oral Suspension,Oral,04070100,Non-Opioid And Compound Analgesics,February 2009
59922,8819511000001105,56773020,0,Minocycline 100mg tablets (Teva UK Ltd),Minocycline hydrochloride,100mg,Tablet,Oral,05010300/05011000/13060201,Tetracyclines/Antileprotic Drugs/Oral Antibacterials For Acne,May 2014
36945,8982411000001108,55159020,34,Mandanol 6+ paracetamol 250mg/5ml oral suspension (M & A Pharmachem Ltd),Paracetamol,50mg/1ml,Oral suspension,Oral,04070100,Non-Opioid And Compound Analgesics,February 2009
24245,199745001000027100,76059020,340,Cyclomin 100mg Tablet (Berk Pharmaceuticals Ltd),Minocycline hydrochloride,100mg,Tablet,Oral,05010300/13060201,Tetracyclines/Oral Antibacterials For Acne,February 2009
