prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,steroid_code,steroid_code2,aap_code,lld_code,lld_code2
82514,16564411000001104,10716020,57,Niaspan 1g modified-release tablets (Mawdsley-Brooks & Company Ltd),Nicotinic acid,1gram,Modified-release tablet,Oral,02120500,Nicotinic Acid Group,January 2021,0,0,0,1,0
3089,320018007,57107020,254847,Ciprofibrate 100mg tablets,Ciprofibrate,100mg,Tablet,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
24084,3266211000001109,64593020,27,Colestyramine 4g oral powder sachets sugar free (PLIVA Pharma Ltd),Colestyramine anhydrous,4gram,Powder,Oral,01090200/02120100,Bile Acid Sequestrants/Bile Acid Sequestrants - Lipid-Regulating Products,February 2009,0,0,0,1,0
70673,30919311000001104,60217021,623,Alirocumab 75mg/1ml solution for injection pre-filled disposable devices,Alirocumab,75mg/1ml,Solution for injection,Subcutaneous,02120700,Other Lipid-Regulating Products,November 2017,0,0,0,0,1
6365,4083011000001103,68876020,13256,Colestid 5g granules sachets plain (Pfizer Ltd),Colestipol hydrochloride,5gram,Granules,Oral,02120100,Bile Acid Sequestrants - Lipid-Regulating Products,February 2009,0,0,0,1,0
34201,3260311000001104,63524020,169,Colestyramine 4g oral powder sachets sugar free (Actavis UK Ltd),Colestyramine anhydrous,4gram,Powder,Oral,01090200/02120100,Bile Acid Sequestrants/Bile Acid Sequestrants - Lipid-Regulating Products,February 2009,0,0,0,1,0
4067,3698311000001102,68085020,5941,Olbetam 250mg capsules (Pfizer Ltd),Acipimox,250mg,Capsule,Oral,02120500,Nicotinic Acid Group,February 2009,0,0,0,1,0
81960,4255511000001106,02439020,0,Fenofibrate micronised 200mg capsules (Alliance Healthcare (Distribution) Ltd),Fenofibrate micronised,200mg,Capsule,Oral,02120300,Fibrates,October 2020,0,0,0,1,0
82951,15004411000001104,76231020,1,Fenofibrate micronised 67mg capsules (Accord-UK Ltd),Fenofibrate micronised,67mg,Capsule,Oral,02120300,Fibrates,February 2021,0,0,0,1,0
7551,4994211000001103,87157020,7647,Niaspan 1g modified-release tablets (Abbott Laboratories Ltd),Nicotinic acid,1gram,Modified-release tablet,Oral,02120500,Nicotinic Acid Group,February 2009,0,0,0,1,0
602,39020211000001104,64208020,919363,Bezafibrate 400mg modified-release tablets,Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
23153,68411000001107,64747020,251,Liparol 400 XL tablets (Ashbourne Pharmaceuticals Ltd),Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
70580,30738011000001104,54195021,1393,Evolocumab 140mg/1ml solution for injection pre-filled disposable devices,Evolocumab,140mg/1ml,Solution for injection,Subcutaneous,02120700,Other Lipid-Regulating Products,October 2017,0,0,0,0,1
2215,383511000001102,58844020,19158,Lopid 300mg capsules (Pfizer Ltd),Gemfibrozil,300mg,Capsule,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
67157,17905511000001104,02449020,0,Fenofibrate micronised 200mg capsules (Phoenix Healthcare Distribution Ltd),Fenofibrate micronised,200mg,Capsule,Oral,02120300,Fibrates,August 2016,0,0,0,1,0
11785,3336411000001107,72766020,52095,Colestyramine 4g oral powder sachets sugar free,Colestyramine anhydrous,4gram,Powder,Oral,01090200/02120100,Bile Acid Sequestrants/Bile Acid Sequestrants - Lipid-Regulating Products,February 2009,0,0,0,1,0
85419,29920711000001108,52699021,0,Ciprofibrate 100mg tablets (Advanz Pharma),Ciprofibrate,100mg,Tablet,Oral,02120300,Fibrates,January 2022,0,0,0,1,0
4928,2952311000001100,86195020,35730,Lipantil Micro 200 capsules (Viatris UK Healthcare Ltd),Fenofibrate micronised,200mg,Capsule,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
80168,16428411000001106,09814020,1,Colestid 1g tablets (Imported (Canada)),Colestipol hydrochloride,1gram,Tablet,Oral,02120100,Bile Acid Sequestrants - Lipid-Regulating Products,March 2020,0,0,0,1,0
60101,11879511000001108,74616020,41,Colestyramine 4g oral powder sachets sugar free (Teva UK Ltd),Colestyramine anhydrous,4gram,Powder,Oral,01090200/02120100,Bile Acid Sequestrants/Bile Acid Sequestrants - Lipid-Regulating Products,June 2014,0,0,0,1,0
82561,10507311000001106,02470020,48,Supralip 160mg tablets (Waymade Healthcare Plc),Fenofibrate micronised,160mg,Tablet,Oral,02120300,Fibrates,January 2021,0,0,0,1,0
31221,51311000001102,61400020,81,Bezafibrate 200mg tablets (Viatris UK Healthcare Ltd),Bezafibrate,200mg,Tablet,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
32110,73495001000027100,57384020,39,Colestyramine 4g Sachets (Dominion Pharma),Colestyramine anhydrous,4gram,Powder,Oral,01090200/02120100,Bile Acid Sequestrants/Bile Acid Sequestrants - Lipid-Regulating Products,February 2009,0,0,0,1,0
57489,16034411000001108,76919020,0,Ciprofibrate 100mg tablets (Zentiva Pharma UK Ltd),Ciprofibrate,100mg,Tablet,Oral,02120300,Fibrates,October 2013,0,0,0,1,0
85909,13720811000001104,02442020,0,Fenofibrate micronised 200mg capsules (Ranbaxy (UK) Ltd),Fenofibrate micronised,200mg,Capsule,Oral,02120300,Fibrates,April 2022,0,0,0,1,0
41396,9157011000001106,63947020,82,Fenofibrate micronised 200mg capsules (A A H Pharmaceuticals Ltd),Fenofibrate micronised,200mg,Capsule,Oral,02120300,Fibrates,March 2010,0,0,0,1,0
9491,319990006,86190020,62355,Fenofibrate micronised 67mg capsules,Fenofibrate micronised,67mg,Capsule,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
8706,457811000001109,56989020,41438,Modalim 100mg tablets (Sanofi),Ciprofibrate,100mg,Tablet,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
1764,3263311000001105,72763020,58932,Questran Light 4g oral powder sachets (Neon Healthcare Ltd),Colestyramine anhydrous,4gram,Powder,Oral,01090200/02120100,Bile Acid Sequestrants/Bile Acid Sequestrants - Lipid-Regulating Products,February 2009,0,0,0,1,0
47935,204355001000027100,77455020,0,Fenofibrate 200mg Capsule (Teva UK Ltd),Fenofibrate micronised,200mg,Capsule,Oral,02120300,Fibrates,October 2012,0,0,0,1,0
82528,10784611000001108,02458020,49,Lipantil Micro 267 capsules (Waymade Healthcare Plc),Fenofibrate micronised,267mg,Capsule,Oral,02120300,Fibrates,January 2021,0,0,0,1,0
64503,5341511000001107,02405020,822,Bezalip Mono 400mg modified-release tablets (Waymade Healthcare Plc),Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,October 2015,0,0,0,1,0
1716,3257311000001105,51328020,77442,Questran 4g oral powder sachets (Neon Healthcare Ltd),Colestyramine anhydrous,4gram,Powder,Oral,01090200/02120100,Bile Acid Sequestrants/Bile Acid Sequestrants - Lipid-Regulating Products,February 2009,0,0,0,1,0
8082,319964008,62909020,44463,Gemfibrozil 600mg tablets,Gemfibrozil,600mg,Tablet,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
1217,168615001000027100,70564020,18935,Lipantil micro 200 200mg Capsule (Fournier Pharmaceuticals Ltd),Fenofibrate micronised,200mg,Capsule,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
17813,61415001000027104,55691020,937,Nicotinic acid 100mg Tablet,Nicotinic Acid,100mg,Tablet,Oral,02120500,Nicotinic Acid Group,February 2009,0,0,0,1,0
66087,16556711000001104,02568020,189,Modalim 100mg tablets (Mawdsley-Brooks & Company Ltd),Ciprofibrate,100mg,Tablet,Oral,02120300,Fibrates,May 2016,0,0,0,1,0
58635,13836411000001108,02410020,0,Bezalip Mono 400mg modified-release tablets (DE Pharmaceuticals),Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,January 2014,0,0,0,1,0
66564,23646011000001108,21351021,0,Bezafibrate 400mg modified-release tablets (Phoenix Healthcare Distribution Ltd),Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,June 2016,0,0,0,1,0
76985,16036711000001108,36777020,5,Nicotinic acid 50mg capsules,Nicotinic acid,50mg,Capsule,Oral,02120500,Nicotinic Acid Group,July 2019,0,0,0,1,0
79294,37012111000001104,88764021,47,Colestyramine 4g oral powder sachets sugar free (Viatris UK Healthcare Ltd),Colestyramine anhydrous,4gram,Powder,Oral,01090200/02120100,Bile Acid Sequestrants/Bile Acid Sequestrants - Lipid-Regulating Products,December 2019,0,0,0,1,0
70397,30664511000001104,54198021,20,Repatha 140mg/1ml solution for injection pre-filled syringes (Amgen Ltd),Evolocumab,140mg/1ml,Solution for injection,Subcutaneous,02120700,Other Lipid-Regulating Products,October 2017,0,0,0,0,1
7540,2957911000001102,86196020,24357,Lipantil Micro 267 capsules (Viatris UK Healthcare Ltd),Fenofibrate micronised,267mg,Capsule,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
49609,155015001000027100,68507020,22,Bezafibrate 400mg Modified-release tablet (Sandoz Ltd),Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,January 2013,0,0,0,1,0
1215,168635001000027100,70567020,6533,Fenofibrate 100mg Capsule,Fenofibrate,100mg,Capsule,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
64984,23916211000001108,21748021,0,Fenofibrate micronised 160mg tablets (Phoenix Healthcare Distribution Ltd),Fenofibrate micronised,160mg,Tablet,Oral,02120300,Fibrates,December 2015,0,0,0,1,0
644,319948000,61299020,132621,Colestyramine 4g oral powder sachets,Colestyramine anhydrous,4gram,Powder,Oral,01090200/02120100,Bile Acid Sequestrants/Bile Acid Sequestrants - Lipid-Regulating Products,February 2009,0,0,0,1,0
76919,23647911000001104,21352021,0,Ciprofibrate 100mg tablets (Phoenix Healthcare Distribution Ltd),Ciprofibrate,100mg,Tablet,Oral,02120300,Fibrates,July 2019,0,0,0,1,0
74825,5384511000001103,02440020,331,Lipantil Micro 200 capsules (Waymade Healthcare Plc),Fenofibrate micronised,200mg,Capsule,Oral,02120300,Fibrates,February 2019,0,0,0,1,0
68386,31566711000001104,61342021,1,Colestyramine 4g oral powder sachets (J M McGill Ltd),Colestyramine anhydrous,4gram,Powder,Oral,01090200/02120100,Bile Acid Sequestrants/Bile Acid Sequestrants - Lipid-Regulating Products,December 2016,0,0,0,1,0
88587,37691211000001104,89969021,0,Ciprofibrate 100mg tablets (CST Pharma Ltd),Ciprofibrate,100mg,Tablet,Oral,02120300,Fibrates,August 2023,0,0,0,1,0
8104,319984007,68083020,12513,Acipimox 250mg capsules,Acipimox,250mg,Capsule,Oral,02120500,Nicotinic Acid Group,February 2009,0,0,0,1,0
73384,23977311000001108,21745021,0,Fenofibrate micronised 200mg capsules (DE Pharmaceuticals),Fenofibrate micronised,200mg,Capsule,Oral,02120300,Fibrates,October 2018,0,0,0,1,0
42801,103175001000027100,61483020,31,Bezafibrate xl 400mg Modified-release tablet (Generics (UK) Ltd),Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,July 2010,0,0,0,1,0
52814,3700511000001103,02404020,2,Bezafibrate 400mg modified-release tablets (Alliance Healthcare (Distribution) Ltd),Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,January 2013,0,0,0,1,0
29213,888111000001104,83750020,16,Bezagen XL 400mg tablets (Viatris UK Healthcare Ltd),Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
76167,13922211000001104,02443020,22,Lipantil Micro 200 capsules (DE Pharmaceuticals),Fenofibrate micronised,200mg,Capsule,Oral,02120300,Fibrates,May 2019,0,0,0,1,0
1212,4090511000001101,68873020,18345,Colestipol 5g granules sachets sugar free,Colestipol hydrochloride,5gram,Granules,Oral,02120100,Bile Acid Sequestrants - Lipid-Regulating Products,February 2009,0,0,0,1,0
6120,4495611000001102,76976020,128802,Ezetrol 10mg tablets (Organon Pharma (UK) Ltd),Ezetimibe,10mg,Tablet,Oral,02120200,Ezetimibe,February 2009,0,0,0,1,0
82406,20505911000001100,41335020,0,Fenofibrate micronised 160mg tablets (Alliance Healthcare (Distribution) Ltd),Fenofibrate micronised,160mg,Tablet,Oral,02120300,Fibrates,January 2021,0,0,0,1,0
18098,236245001000027100,87159020,359,Nicotinic acid 375mg + 500mg + 750mg Modified-release tablet,Nicotinic Acid,375mg + 500mg + 750mg,Modified-Release Tablet,Oral,02120500,Nicotinic Acid Group,February 2009,0,0,0,1,0
19938,158115001000027100,69074020,240,Colestipol with aspartame granules,Colestipol Hydrochloride,,Granules,Oral,02120100,Bile Acid Sequestrants - Lipid-Regulating Products,February 2009,0,0,0,1,0
71016,19713211000001104,38516020,0,Ciprofibrate 100mg tablets (DE Pharmaceuticals),Ciprofibrate,100mg,Tablet,Oral,02120300,Fibrates,December 2017,0,0,0,1,0
29328,527311000001109,61271020,23,Bezafibrate 200mg tablets (A A H Pharmaceuticals Ltd),Bezafibrate,200mg,Tablet,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
72092,21979611000001104,47198020,0,Fenofibrate micronised 160mg tablets (Waymade Healthcare Plc),Fenofibrate micronised,160mg,Tablet,Oral,02120300,Fibrates,May 2018,0,0,0,1,0
82512,16564011000001108,10715020,48,Niaspan 750mg modified-release tablets (Mawdsley-Brooks & Company Ltd),Nicotinic acid,750mg,Modified-release tablet,Oral,02120500,Nicotinic Acid Group,January 2021,0,0,0,1,0
84669,8755001000027109,49100020,2,Nicotinic acid 50mg Tablet (Approved Prescription Services Ltd),Nicotinic acid,50mg,Tablet,Oral,02120500,Nicotinic Acid Group,October 2021,0,0,0,1,0
17614,880511000001105,84417020,505,Zimbacol XL 400mg tablets (Archimedes Pharma UK Ltd),Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
11976,4993311000001109,87153020,7221,Niaspan 500mg modified-release tablets (Abbott Laboratories Ltd),Nicotinic acid,500mg,Modified-release tablet,Oral,02120500,Nicotinic Acid Group,February 2009,0,0,0,1,0
78284,30841911000001104,60216021,52,Praluent 150mg/1ml solution for injection pre-filled pens (Sanofi Consumer Healthcare),Alirocumab,150mg/1ml,Solution for injection,Subcutaneous,02120700,Other Lipid-Regulating Products,November 2019,0,0,0,0,1
