"prodcode","productname","drugsubstance","bnfcode","bnfchapter","type","label"
25,"Simvastatin 20mg tablets","Simvastatin","02120400","Statins",5,"simvastatin"
28,"Atorvastatin 10mg tablets","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
42,"Simvastatin 10mg tablets","Simvastatin","02120400","Statins",5,"simvastatin"
51,"Simvastatin 40mg tablets","Simvastatin","02120400","Statins",5,"simvastatin"
75,"Atorvastatin 20mg tablets","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
379,"Fluvastatin 20mg capsules","Fluvastatin sodium","02120400","Statins",2,"fluvastatin"
490,"Pravastatin 10mg tablets","Pravastatin sodium","02120400","Statins",3,"pravastatin"
713,"Rosuvastatin 10mg tablets","Rosuvastatin calcium","02120400","Statins",4,"rosuvastatin"
730,"Pravastatin 20mg tablets","Pravastatin sodium","02120400","Statins",3,"pravastatin"
745,"Atorvastatin 40mg tablets","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
802,"Simvador 40mg tablets (Discovery Pharmaceuticals)","Simvastatin","02120400","Statins",5,"simvastatin"
818,"Simvastatin 20mg/5ml oral solution sugar free","Simvastatin","02120400","Statins",5,"simvastatin"
1219,"Pravastatin 40mg tablets","Pravastatin sodium","02120400","Statins",3,"pravastatin"
1221,"Lipostat 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
1223,"Lipostat 40mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
2137,"Fluvastatin 40mg capsules","Fluvastatin sodium","02120400","Statins",2,"fluvastatin"
2718,"Zocor 10mg tablets (Merck Sharp & Dohme Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
2955,"Lipitor 40mg tablets (Pfizer Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
3411,"Lipitor 10mg tablets (Pfizer Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
3690,"Lipostat 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
5148,"Simvastatin 80mg tablets","Simvastatin","02120400","Statins",5,"simvastatin"
5775,"Atorvastatin 80mg tablets","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
5985,"Lescol XL 80mg tablets (Novartis Pharmaceuticals UK Ltd)","Fluvastatin sodium","02120400","Statins",2,"fluvastatin"
6168,"Zocor 40mg tablets (Merck Sharp & Dohme Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
6213,"Rosuvastatin 20mg tablets","Rosuvastatin calcium","02120400","Statins",4,"rosuvastatin"
7196,"Zocor 20mg tablets (Merck Sharp & Dohme Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
7347,"Crestor 10mg tablets (AstraZeneca UK Ltd)","Rosuvastatin calcium","02120400","Statins",4,"rosuvastatin"
7374,"Lipitor 20mg tablets (Pfizer Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
7554,"Rosuvastatin 5mg tablets","Rosuvastatin calcium","02120400","Statins",4,"rosuvastatin"
