prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,intdrug
34869,18645001000027100,50361020,16,Erythromycin 500mg Tablet (C P Pharmaceuticals Ltd),Erythromycin,500mg,Tablet,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,February 2009,1
63033,21854711000001104,47448020,1,Clarithromycin 250mg tablets (Waymade Healthcare Plc),Clarithromycin,250mg,Tablet,Oral,05010500,Macrolides,April 2015,1
59249,22604411000001108,16771021,8,Ciclosporin 50mg capsules (Colorama Pharmaceuticals Ltd),Ciclosporin,50mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,March 2014,1
28949,228245001000027100,84959020,55,Bi-carzem sr 120mg Modified-release capsule (Tillomed Laboratories Ltd),Diltiazem Hydrochloride,120mg,Modified-Release Capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
26252,44225001000027104,53578020,40,Berkatens 160mg Tablet (Berk Pharmaceuticals Ltd),Verapamil hydrochloride,160mg,Tablet,Oral,02030202/02060200,Supraventricular Arrhythmias/Calcium-Channel Blockers,February 2009,1
47895,18290311000001104,99285020,414,Brilique 90mg tablets (AstraZeneca UK Ltd),Ticagrelor,90mg,Tablet,Oral,02090000,Antiplatelet Products,October 2012,1
67541,8276211000001100,18952020,96,Amiodarone 50mg/5ml oral suspension,Amiodarone hydrochloride,10mg/1ml,Oral suspension,Oral,02030201,Supraventricular & Ventricular Arrhythmias,September 2016,1
85859,29227011000001108,48866021,0,Ketoconazole 200mg tablets (A A H Pharmaceuticals Ltd),Ketoconazole,200mg,Tablet,Oral,06070000,Other Endocrine Drugs,March 2022,1
31937,617811000001100,55826020,4841,Warfarin 5mg tablets (Teva UK Ltd),Warfarin sodium,5mg,Tablet,Oral,02080200,Oral Anticoagulants,February 2009,1
36182,7961211000001109,88324020,1,VFEND 40mg/ml oral suspension (Pfizer Ltd),Voriconazole,40mg/1ml,Oral suspension,Oral,05020100,Triazole Antifungals,February 2009,1
82514,16564411000001104,10716020,57,Niaspan 1g modified-release tablets (Mawdsley-Brooks & Company Ltd),Nicotinic acid,1gram,Modified-release tablet,Oral,02120500,Nicotinic Acid Group,January 2021,1
55589,580111000001102,05853020,158,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd),Erythromycin ethyl succinate,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,June 2013,1
82323,18159111000001104,08410020,0,Arava 10mg tablets (Mawdsley-Brooks & Company Ltd),Leflunomide,10mg,Tablet,Oral,10010302,Drugs Affecting The Immune Response In Rheumatic Disease,January 2021,1
5513,193215001000027100,74596020,22077,Dilzem sr 60mg Capsule (Elan Pharma),Diltiazem hydrochloride,60mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
3089,320018007,57107020,254847,Ciprofibrate 100mg tablets,Ciprofibrate,100mg,Tablet,Oral,02120300,Fibrates,February 2009,1
38964,2885611000001102,95553020,18005,Adizem-SR 120mg tablets (Napp Pharmaceuticals Ltd),Diltiazem hydrochloride,120mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
46696,103911000001104,59394020,1,Erythromycin ethyl succinate 250mg/5ml oral suspension (Sandoz Ltd),Erythromycin ethyl succinate,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,January 2012,1
40757,39690011000001104,96686020,50,Darunavir 400mg tablets,Darunavir,400mg,Tablet,Oral,05030151,Protease Inhibitors,November 2009,1
57267,21854311000001100,47449020,0,Clarithromycin 125mg/5ml oral suspension (Waymade Healthcare Plc),Clarithromycin,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,September 2013,1
66834,21966111000001108,47170020,1,Uard 240XL capsules (Ennogen Healthcare Ltd),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,July 2016,1
825,10475001000027100,49314020,37297,Erythroped pi 125mg/5ml Oral suspension (Abbott Laboratories Ltd),Erythromycin ethyl succinate,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2009,1
3676,196435001000027100,75265020,33695,Dilzem xl mr 180mg Modified-release capsule (Elan Pharma),Diltiazem Hydrochloride,180mg,Modified-Release Capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
62880,41771611000001104,26645021,18,Teriflunomide 14mg tablets,Teriflunomide,14mg,Tablet,Oral,08020400,Other Immunomodulating Drugs,April 2015,1
19690,36149211000001104,85865020,7452,Verapamil 180mg modified-release / Trandolapril 2mg capsules,Verapamil hydrochloride/Trandolapril,180mg + 2mg,Modified-release capsule,Oral,00000000,Unknown,February 2009,1
47552,39702011000001110,98706020,36,Pazopanib 200mg tablets,Pazopanib hydrochloride,200mg,Tablet,Oral,08010551,Protein Kinase Inhibitors,August 2012,1
27135,155305001000027100,68574020,760,Diltiazem sr 90mg Capsule (Hillcross Pharmaceuticals Ltd),Diltiazem hydrochloride,90mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
12392,391811000001102,68478020,34728,Univer 180mg modified-release capsules (Teva UK Ltd),Verapamil hydrochloride,180mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
33686,482311000001107,64160020,74,Erythromycin 250mg gastro-resistant capsules (A A H Pharmaceuticals Ltd),Erythromycin,250mg,Gastro-resistant capsule,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,February 2009,1
66570,21919511000001108,47181020,0,Warfarin 1mg tablets (Waymade Healthcare Plc),Warfarin sodium,1mg,Tablet,Oral,02080200,Oral Anticoagulants,June 2016,1
62466,433911000001109,56365020,0,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd),Erythromycin ethyl succinate,100mg/1ml,Oral suspension,Oral,05010500,Macrolides,March 2015,1
66850,25711011000001108,27252021,6,Diltiazem 240mg modified-release capsules (Icarus Pharmaceuticals Ltd),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,July 2016,1
44866,262485001000027100,99253020,448,Warfarin sodium 1mg/ml oral supension SF,Warfarin Sodium,1mg/ml,Oral Suspension Sugar-Free,Oral,02080200,Oral Anticoagulants,March 2011,1
49101,18251611000001108,06201020,3,Diflucan 150mg capsules (Necessity Supplies Ltd),Fluconazole,150mg,Capsule,Oral,05020100,Triazole Antifungals,January 2013,1
62309,622211000001107,02309020,0,Warfarin 500microgram tablets (Kent Pharma (UK) Ltd),Warfarin sodium,500microgram,Tablet,Oral,02080200,Oral Anticoagulants,February 2015,1
2811,71085001000027104,57067020,58021,Adizem sr 180mg Modified-release capsule (Napp Pharmaceuticals Ltd),Diltiazem Hydrochloride,180mg,Modified-Release Capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
47415,203125001000027100,77105020,11,Diltiazem sr 60mg Capsule (Hillcross Pharmaceuticals Ltd),Diltiazem hydrochloride,60mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,June 2012,1
58381,16051311000001100,06196020,0,Fluconazole 150mg capsules (Bristol Laboratories Ltd),Fluconazole,150mg,Capsule,Oral,05020100,Triazole Antifungals,December 2013,1
60263,626611000001105,05860020,0,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd),Erythromycin ethyl succinate,100mg/1ml,Oral suspension,Oral,05010500,Macrolides,June 2014,1
34417,508311000001104,55825020,14521,Warfarin 3mg tablets (Teva UK Ltd),Warfarin sodium,3mg,Tablet,Oral,02080200,Oral Anticoagulants,February 2009,1
41604,18695001000027108,50367020,29,Erythromycin 500mg Tablet (Hillcross Pharmaceuticals Ltd),Erythromycin,500mg,Tablet,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,March 2010,1
49952,17902011000001108,05865020,0,Erythromycin 250mg gastro-resistant capsules (Phoenix Healthcare Distribution Ltd),Erythromycin,250mg,Gastro-resistant capsule,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,January 2013,1
32590,90311000001104,60639020,39,Verapamil 40mg tablets (Viatris UK Healthcare Ltd),Verapamil hydrochloride,40mg,Tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
58902,17859811000001108,05911020,0,Clarithromycin 500mg tablets (Phoenix Healthcare Distribution Ltd),Clarithromycin,500mg,Tablet,Oral,05010500,Macrolides,February 2014,1
33482,41772711000001110,88322020,182,Voriconazole 200mg/5ml oral suspension,Voriconazole,40mg/1ml,Oral suspension,Oral,05020100,Triazole Antifungals,February 2009,1
48101,10307511000001104,70460020,0,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (Focus Pharmaceuticals Ltd),Erythromycin ethyl succinate,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,December 2012,1
44383,41794711000001104,83134020,7,Ritonavir 80mg/1ml oral solution sugar free,Ritonavir,80mg/1ml,Oral solution,Oral,05030151,Protease Inhibitors,January 2011,1
797,41789311000001104,69721020,341106,Itraconazole 100mg capsules,Itraconazole,100mg,Capsule,Oral,05020100,Triazole Antifungals,February 2009,1
71413,4773111000001108,01883020,29,Diltiazem 120mg modified-release capsules (A A H Pharmaceuticals Ltd),Diltiazem hydrochloride,120mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,January 2018,1
37238,41761111000001104,92344020,9,Dasatinib 20mg tablets,Dasatinib monohydrate,20mg,Tablet,Oral,08010551,Protein Kinase Inhibitors,February 2009,1
25278,29665001000027108,51705020,511,Rommix 500mg Tablet (Ashbourne Pharmaceuticals Ltd),Erythromycin,500mg,Tablet,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,February 2009,1
1970,19200811000001108,58794020,54363,Gyno-Daktarin 2% vaginal cream (Janssen-Cilag Ltd),Miconazole nitrate,20mg/1gram,Cream,Vaginal,07020100,Preparations For Vaginal And Vulval Changes,February 2009,1
12730,221665001000027100,82962020,267,"Vitamin c with vitamins, minerals & other ingredients tablets",Betacarotene/Cyanocobalamin/Iron/Ginkgo Biloba/Ginseng/Pyridoxine Hydrochloride/Thiamine Hydrochloride/Vitamin A/Vitamin D/Pantothenic Acid/Ascorbic Acid/Riboflavin/Potassium/Alpha Tocopherol/Copper/Nicotinic Acid/Folic Acid,,Tablets,Oral,09010101/09060700,Oral Iron/Multivitamin And Multimineral Preparations,February 2009,1
25751,224275001000027100,83701020,261,Erythromycin ethylsuccinate (coated) 250mg/5ml oral suspension sugar free,Erythromycin Ethyl Succinate,250mg/5ml,Oral Suspension Sugar-Free,Oral,05010500,Macrolides,February 2009,1
72439,13621311000001102,75489020,0,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free (Pinewood Healthcare),Erythromycin ethyl succinate,100mg/1ml,Oral suspension,Oral,05010500,Macrolides,July 2018,1
60805,21854911000001100,47450020,0,Clarithromycin 500mg tablets (Waymade Healthcare Plc),Clarithromycin,500mg,Tablet,Oral,05010500,Macrolides,August 2014,1
51426,20165811000001104,39857020,1,Clarithromycin 500mg tablets (Accord-UK Ltd),Clarithromycin,500mg,Tablet,Oral,05010500,Macrolides,January 2013,1
