prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild
9375,42035011000001104,83656020,1798,Deflazacort 1mg tablets,Deflazacort,1mg,Tablet,Oral,06030200,Glucocorticoid Therapy,February 2009
17410,42035111000001104,83655020,322,Deflazacort 30mg tablets,Deflazacort,30mg,Tablet,Oral,00000000,Unknown,February 2009
10934,3409611000001103,51213020,2054,Predenema 20mg/100ml long tube (Forest Laboratories UK Ltd),Prednisolone,200microgram/1ml,Enema,Rectal,00000000,Unknown,February 2009
4488,144905001000027100,67171020,8623,Triamcinolone acetonide 40mg/ml IA/IM,Triamcinolone Acetonide,40mg/ml,Intra-Articular / Intramuscular Injection,,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,February 2009
72848,34743111000001108,78408021,23,Glensoludex 2mg soluble tablets (Glenmark Pharmaceuticals Europe Ltd),Dexamethasone sodium phosphate,2mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,August 2018
64787,17973911000001104,77481020,10,Hydrocortisone 10mg tablets (Almus Pharmaceuticals Ltd),Hydrocortisone,10mg,Tablet,Oral,06030200,Glucocorticoid Therapy,November 2015
35578,35921811000001104,91304020,533,Triamcinolone acetonide 50mg/5ml suspension for injection vials,Triamcinolone acetonide,10mg/1ml,Suspension for injection,Intraarticular/Intradermal,10010202,Local Corticosteroid Injections,February 2009
24224,77745001000027100,57954020,7,Codelsol 16mg/ml Injection (MSD Thomas Morson Pharmaceuticals),Prednisolone Sodium Phosphate,16mg/ml,Injection,,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,February 2009
51167,4182611000001108,13779020,2123,Solu-Cortef 100mg powder and solvent for solution for injection vials (Pfizer Ltd),Hydrocortisone sodium succinate,100mg,Powder and solvent for solution for injection,Intramuscular/Intravenous,06030200,Glucocorticoid Therapy,January 2013
77081,12030511000001104,30531020,6,Fludrocortisone 30micrograms/5ml oral suspension,Fludrocortisone acetate,6microgram/1ml,Oral suspension,Oral,06030100,Replacement Corticosteroids For Endocrine Conditions,July 2019
69572,11716511000001106,29807020,2,Dexamethasone 4mg/5ml oral suspension,Dexamethasone,800microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,May 2017
57931,18394311000001100,78292020,0,Hydrocortisone 20mg tablets (Teva UK Ltd),Hydrocortisone,20mg,Tablet,Oral,06030200,Glucocorticoid Therapy,December 2013
75414,36375411000001104,82646021,29,Prednisolone 20mg/100ml rectal solution (RPH Pharmaceuticals AB),Prednisolone sodium phosphate,200microgram/1ml,Enema,Rectal,01050200,Corticosteroids In Chronic Bowel Problems,April 2019
83086,8515411000001107,19915020,40,Fludrocortisone 125micrograms/5ml oral suspension,Fludrocortisone acetate,25microgram/1ml,Oral suspension,Oral,06030100,Replacement Corticosteroids For Endocrine Conditions,February 2021
56347,8452411000001101,19689020,7,Dexamethasone 5mg/5ml oral solution,Dexamethasone,1mg/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,August 2013
85545,33634511000001104,71110021,0,Dexamethasone 2mg tablets (Accord-UK Ltd),Dexamethasone,2mg,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,January 2022
