prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
30129,3,47989020,Abicol Tablet (Knoll Ltd),Reserpine/Bendroflumethiazide,,Tablet,Oral,02050200,Centrally Acting Antihypertensive Drugs,February 2009
15031,4398,74293020,Accuretic 12.5mg/10mg tablets (Pfizer Ltd),Hydrochlorothiazide/Quinapril hydrochloride,12.5mg + 10mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
14126,832,59935020,Acebutolol 200mg / Hydrochlorothiazide 12.5mg tablets,Acebutolol hydrochloride/Hydrochlorothiazide,200mg + 12.5mg,Tablet,Oral,00000000,Unknown,February 2009
18263,8230,59646020,Acezide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Hydrochlorothiazide/Captopril,25mg + 50mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
62376,7,23794021,Actelsar HCT 80mg/12.5mg tablets (Actavis UK Ltd),Telmisartan/Hydrochlorothiazide,80mg + 12.5mg,Tablet,Oral,02050504,Angiotensin-ii Receptor Antagonists With Diuretic,February 2015
23505,30,81470020,Adizem xl plus 150mg+12.5mg Modified-release capsule (Napp Pharmaceuticals Ltd),Diltiazem Hydrochloride/Hydrochlorothiazide,150mg+12.5mg,Modified-release Capsule,Oral,02020100/02060200,Thiazides And Related Diuretics/Calcium-channel Blockers,February 2009
20066,6506,63264020,Amil-Co 5mg/50mg tablets (IVAX Pharmaceuticals UK Ltd),Amiloride hydrochloride/Hydrochlorothiazide,5mg + 50mg,Tablet,Oral,02020400,Potassium-sparing Diuretics With Other Diuretics,February 2009
18361,10859,72435020,Amilmaxco 5mg/50mg tablets (Ashbourne Pharmaceuticals Ltd),Amiloride hydrochloride/Hydrochlorothiazide,5mg + 50mg,Tablet,Oral,02020400,Potassium-sparing Diuretics With Other Diuretics,February 2009
3701,15012,69292020,Amiloride 2.5mg / hydrochlorothiazide 25mg tablets,Amiloride Hydrochloride/Hydrochlorothiazide,2.5mg+25mg,Tablets,Oral,02020100/02020400,Thiazides And Related Diuretics/Potassium-sparing Diuretics With Other Diuretics,February 2009
2002,112745,69291020,Amiloride 5mg / hydrochlorothiazide 50mg tablets,Amiloride Hydrochloride/Hydrochlorothiazide,5mg + 50mg,Tablets,Oral,02020100/02020400,Thiazides And Related Diuretics/Potassium-sparing Diuretics With Other Diuretics,February 2009
4034,3704,69293020,Amiloride 5mg / hydrochlorothiazide 50mg/5ml solution,Amiloride Hydrochloride/Hydrochlorothiazide,5mg + 50mg/5ml,Solution,Oral,02020100/02020400,Thiazides And Related Diuretics/Potassium-sparing Diuretics With Other Diuretics,February 2009
3526,355,69296020,Amiloride with atenolol with hydrochlorothiazide capsules,Atenolol/Amiloride Hydrochloride/Hydrochlorothiazide,,Capsules,Oral,02020100/02040000,Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs,February 2009
30519,8,69277020,Amiloride with timolol with hydrochlorothiazide tablets,Timolol Maleate/Amiloride Hydrochloride/Hydrochlorothiazide,,Tablets,Oral,02020100/02040000,Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs,February 2009
8526,63296,48201020,Aprinox 2.5mg tablets (AMCo),Bendroflumethiazide,2.5mg,Tablet,Oral,02020100/09050102,Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria,February 2009
7698,73024,48202020,Aprinox 5mg tablets (Amdipharm Plc),Bendroflumethiazide,5mg,Tablet,Oral,02020100,Thiazides And Related Diuretics,February 2009
13526,4736,63763020,Atenix Co 100 tablets (Ashbourne Pharmaceuticals Ltd),Atenolol/Chlortalidone,100mg + 25mg,Tablet,Oral,02020100/02040000,Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs,February 2009
21873,3402,63762020,Atenix Co 50 tablets (Ashbourne Pharmaceuticals Ltd),Atenolol/Chlortalidone,50mg + 12.5mg,Tablet,Oral,02020100/02040000,Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs,February 2009
1788,219573,67598020,Atenolol 100mg with Chlortalidone 25mg tablets,Chlortalidone/Atenolol,100mg+25mg,Tablets,Oral,02020100/02040000,Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs,February 2009
9178,5877,83986020,Atenolol 25mg / Bendroflumethiazide 1.25mg capsules,Atenolol/Bendroflumethiazide,25mg + 1.25mg,Capsule,Oral,00000000,Unknown,February 2009
581,196879,67597020,Atenolol 50mg with Chlortalidone 12.5mg tablets,Chlortalidone/Atenolol,50mg+12.5mg,Tablets,Oral,02020100/02040000,Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs,February 2009
4983,8333,68844020,Atenolol with amiloride and hydrochlorothiazide capsules,Atenolol/Amiloride Hydrochloride/Hydrochlorothiazide,,Capsules,Oral,02020100/02040000,Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs,February 2009
66517,1,19158020,Bendroflumethiazide 1.25mg/5ml oral suspension,Bendroflumethiazide,250microgram/1ml,Oral suspension,Oral,02020100/09050102,Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria,June 2016
17561,796,67327020,Bendroflumethiazide 2.5mg / Potassium chloride 573mg (potassium 7.7mmol) modified-release tablets,Bendroflumethiazide/Potassium chloride,2.5mg + 573mg,Modified-release tablet,Oral,00000000,Unknown,February 2009
1211,21838,67326020,Bendroflumethiazide 2.5mg / Potassium chloride 630mg (potassium 8.4mmol) modified-release tablets,Bendroflumethiazide/Potassium chloride,2.5mg + 630mg,Modified-release tablet,Oral,02020100,Thiazides And Related Diuretics,February 2009
34803,1,62827020,Bendroflumethiazide 2.5mg Tablet (Regent Laboratories Ltd),Bendroflumethiazide,2.5mg,Tablet,Oral,02020100,Thiazides And Related Diuretics,February 2009
2,32044622,58976020,Bendroflumethiazide 2.5mg tablets,Bendroflumethiazide,2.5mg,Tablet,Oral,02020100/09050102,Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria,February 2009
33651,5123,48846020,Bendroflumethiazide 2.5mg tablets (A A H Pharmaceuticals Ltd),Bendroflumethiazide,2.5mg,Tablet,Oral,02020100/09050102,Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria,February 2009
34059,2719,55391020,Bendroflumethiazide 2.5mg tablets (Actavis UK Ltd),Bendroflumethiazide,2.5mg,Tablet,Oral,02020100/09050102,Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria,February 2009
40886,1332,68065020,Bendroflumethiazide 2.5mg tablets (Almus Pharmaceuticals Ltd),Bendroflumethiazide,2.5mg,Tablet,Oral,02020100/09050102,Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria,December 2009
67737,0,71762020,Bendroflumethiazide 2.5mg tablets (Dr Reddy's Laboratories (UK) Ltd),Bendroflumethiazide,2.5mg,Tablet,Oral,02020100/09050102,Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria,October 2016
70989,0,40498020,Bendroflumethiazide 2.5mg tablets (Genesis Pharmaceuticals Ltd),Bendroflumethiazide,2.5mg,Tablet,Oral,02020100/09050102,Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria,December 2017
27689,7506,57793020,Bendroflumethiazide 2.5mg tablets (IVAX Pharmaceuticals UK Ltd),Bendroflumethiazide,2.5mg,Tablet,Oral,02020100,Thiazides And Related Diuretics,February 2009
47844,5,66033020,Bendroflumethiazide 2.5mg tablets (Kent Pharmaceuticals Ltd),Bendroflumethiazide,2.5mg,Tablet,Oral,02020100/09050102,Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria,September 2012
33415,3132,63225020,Bendroflumethiazide 2.5mg tablets (Mylan),Bendroflumethiazide,2.5mg,Tablet,Oral,02020100/09050102,Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria,February 2009
34602,2,66500020,Bendroflumethiazide 2.5mg tablets (Sovereign Medical Ltd),Bendroflumethiazide,2.5mg,Tablet,Oral,02020100/09050102,Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria,February 2009
31670,6762,54691020,Bendroflumethiazide 2.5mg tablets (Teva UK Ltd),Bendroflumethiazide,2.5mg,Tablet,Oral,02020100/09050102,Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria,February 2009
27256,28612,48838020,Bendroflumethiazide 2.5mg tablets (Wockhardt UK Ltd),Bendroflumethiazide,2.5mg,Tablet,Oral,02020100/09050102,Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria,February 2009
22912,83,67620020,Bendroflumethiazide 2.5mg with Propanolol 80mg capsules,Propranolol Hydrochloride/Bendroflumethiazide,2.5mg + 80mg,Capsules,Oral,02020100/02040000,Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs,February 2009
19142,741,67631020,Bendroflumethiazide 2.5mg with Timolol maleate 10mg tablets,Timolol Maleate/Bendroflumethiazide,2.5mg + 10mg,Tablets,Oral,02020100/02040000,Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs,February 2009
7351,4141,90559020,Bendroflumethiazide 2.5mg/5ml oral suspension,Bendroflumethiazide,500microgram/1ml,Oral suspension,Oral,02020100/09050102,Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria,February 2009
58,2446371,58977020,Bendroflumethiazide 5mg tablets,Bendroflumethiazide,5mg,Tablet,Oral,02020100,Thiazides And Related Diuretics,February 2009
23427,1778,48847020,Bendroflumethiazide 5mg tablets (A A H Pharmaceuticals Ltd),Bendroflumethiazide,5mg,Tablet,Oral,02020100,Thiazides And Related Diuretics,February 2009
34124,327,55390020,Bendroflumethiazide 5mg tablets (Actavis UK Ltd),Bendroflumethiazide,5mg,Tablet,Oral,02020100,Thiazides And Related Diuretics,February 2009
