prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
40527,5,95326020,Ambrisentan 10mg tablets,Ambrisentan,10mg,Tablet,Oral,2050100,Vasodilator Antihypertensive Drugs,Oct-09
40528,29,95322020,Ambrisentan 5mg tablets,Ambrisentan,5mg,Tablet,Oral,2050100,Vasodilator Antihypertensive Drugs,Oct-09
13317,2,48198020,Apresoline 20mg powder for solution for injection ampoules (AMCo),Hydralazine hydrochloride,20mg,Powder for solution for injection,Intravenous,2050100,Vasodilator Antihypertensive Drugs,Feb-09
2362,48884,48196020,Apresoline 25mg tablets (AMCo),Hydralazine hydrochloride,25mg,Tablet,Oral,2050100,Vasodilator Antihypertensive Drugs,Feb-09
2680,11654,48197020,Apresoline 50mg Tablet (Sovereign Medical Ltd),Hydralazine hydrochloride,50mg,Tablet,Oral,2050100,Vasodilator Antihypertensive Drugs,Feb-09
29561,197,78290020,Bosentan 125mg tablets,Bosentan monohydrate,125mg,Tablet,Oral,2050100,Vasodilator Antihypertensive Drugs,Feb-09
29560,51,78287020,Bosentan 62.5mg tablets,Bosentan monohydrate,62.5mg,Tablet,Oral,2050100,Vasodilator Antihypertensive Drugs,Feb-09
32267,80,62432020,Diazoxide 300mg/20ml solution for injection ampoules,Diazoxide,15mg/1ml,Solution for injection,Intravenous,2050100,Vasodilator Antihypertensive Drugs,Feb-09
214,4,5817007,HYDRALAZINE 1 MG SYR,,,,,0,Unknown,Feb-09
18861,284,89188020,Hydralazine 10mg/5ml oral suspension,Hydralazine hydrochloride,2mg/1ml,Oral suspension,Oral,2050100,Vasodilator Antihypertensive Drugs,Feb-09
71256,0,53978021,Hydralazine 20mg powder for concentrate for solution for injection ampoules (AMCo),Hydralazine hydrochloride,20mg,Powder for solution for injection,Intravenous,2050100,Vasodilator Antihypertensive Drugs,Jan-18
504,44,63242020,Hydralazine 20mg powder for solution for injection ampoules,Hydralazine hydrochloride,20mg,Powder for solution for injection,Intravenous,2050100,Vasodilator Antihypertensive Drugs,Feb-09
573,169184,58989020,Hydralazine 25mg tablets,Hydralazine hydrochloride,25mg,Tablet,Oral,2050100,Vasodilator Antihypertensive Drugs,Feb-09
