prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,vdd_code
61745,26395511000001104,31243021,352348,TheiCal-D3 1000mg/880unit chewable tablets (Stirling Anglian Pharmaceuticals Ltd),Calcium carbonate/Colecalciferol,2.5gram + 880unit,Chewable tablet,Oral,09060400,Vitamin D,December 2014,1
60525,23661911000001104,21611021,27,Colecalciferol 500unit orodispersible tablets sugar free,Colecalciferol,500unit,Orodispersible tablet,Oral,09060400,Vitamin D,July 2014,1
71829,22197711000001108,15398021,1,E-D3 600unit capsules (Ennogen Healthcare Ltd),Colecalciferol,600unit,Capsule,Oral,09060400,Vitamin D,April 2018,1
72267,34872711000001100,78894021,214,"SunVit-D3 25,000unit tablets (SunVit-D3 Ltd)",Colecalciferol,25000unit,Tablet,Oral,09060400,Vitamin D,May 2018,1
81841,37286611000001104,87844021,0,Adcal-D3 chewable tablets tutti frutti (Mawdsley-Brooks & Company Ltd),Calcium carbonate/Colecalciferol,1.5gram + 400unit,Chewable tablet,Oral,09060400,Vitamin D,September 2020,1
67410,24641711000001104,26877021,1,"D-Max 5,000unit capsules (Nutraconcepts Ltd)",Colecalciferol,5000unit,Capsule,Oral,09060400,Vitamin D,September 2016,1
31791,9380911000001108,82176020,2,Seven Seas Simply Timeless Cod Liver Oil syrup orange (Seven Seas Ltd),Retinol/Colecalciferol/Cod liver oil, +  + 1ml/1ml,Liquid,Oral,09040251,Nutritional Supplements,February 2009,1
68517,32451611000001104,65861021,94,Aviticol 800unit capsules (Colonis Pharma Ltd),Colecalciferol,800unit,Capsule,Oral,09060400,Vitamin D,January 2017,1
70436,34606511000001108,77354021,2752,Colecalciferol 400units/ml oral drops sugar free,Colecalciferol,400unit/1ml,Oral drops,Oral,09060400,Vitamin D,October 2017,1
88461,41481111000001104,05413022,2,Life On Vitokid-D3 400unit oral drops sugar free (Life On Healthcare Ltd),Colecalciferol,400unit/1ml,Oral drops,Oral,09060400,Vitamin D,July 2023,1
62749,28415211000001104,44804021,282,"Colecalciferol 10,000units/ml oral solution sugar free",Colecalciferol,10000unit/1ml,Oral solution,Oral,09060400,Vitamin D,April 2015,1
80982,38056011000001104,91048021,40,"ColeDose D3 3,200unit capsules (TriOn Pharma Ltd)",Colecalciferol,3200unit,Capsule,Oral,09060400,Vitamin D,June 2020,1
79475,32846211000001104,69725021,3,Natures Aid Vitamin D3 400unit tablets (Natures Aid Ltd),Colecalciferol,400unit,Tablet,Oral,09060400,Vitamin D,December 2019,1
70721,24662711000001100,27088021,21,"D-Max 1,000unit capsules (Nutraconcepts Ltd)",Colecalciferol,1000unit,Capsule,Oral,09060400,Vitamin D,November 2017,1
75955,266065001000027100,00398021,53,Colecalciferol 500 units tablets,Colecalciferol,,,,09060400,Vitamin D,April 2019,1
67013,32471811000001104,67734021,2120,"Colecalciferol 4,000unit capsules",Colecalciferol,4000unit,Capsule,Oral,09060400,Vitamin D,August 2016,1
88299,41189411000001104,04179022,1,"ColeKal-D3 20,000unit capsules (Essential-Healthcare Ltd)",Colecalciferol,20000unit,Capsule,Oral,09060400,Vitamin D,June 2023,1
84009,38058311000001104,91283021,73,ColeDose D3 400unit capsules (TriOn Pharma Ltd),Colecalciferol,400unit,Capsule,Oral,09060400,Vitamin D,June 2021,1
