code,description,mi_hes,angina_hes,acs_hes,hf_hes,stroke_hes,tia_hes,ali_hes,mace_hes,macesevere_hes,stroketia_hes,,notes 
G45,transient cerebral ischaemic attacks and related syndromes,,,,,,1,,1,,1,,
G45.0,vertebro-basilar artery syndrome,,,,,,1,,1,,1,,
G45.1,carotid artery syndrome (hemispheric),,,,,,1,,1,,1,,
G45.2,multiple and bilateral precerebral artery syndromes,,,,,1,1,,1,1,1,,
G45.3,amaurosis fugax,,,,,,1,,1,,1,,
G45.8,other transient cerebral ischaemic attacks and related syndromes,,,,,,1,,1,,1,,
G45.9,"transient cerebral ischaemic attack, unspecified",,,,,,1,,1,,1,,
G46,vascular syndromes of brain in cerebrovascular diseases,,,,,1,,,1,1,1,,
G46.0,middle cerebral artery syndrome,,,,,1,,,1,1,1,,
G46.1,anterior cerebral artery syndrome,,,,,1,,,1,1,1,,
G46.2,posterior cerebral artery syndrome,,,,,1,,,1,1,1,,
G46.3,brain stem stroke syndrome,,,,,1,,,1,1,1,,
G46.4,cerebellar stroke syndrome,,,,,1,,,1,1,1,,
G46.5,pure motor lacunar syndrome,,,,,1,,,1,1,1,,
G46.6,pure sensory lacunar syndrome,,,,,1,,,1,1,1,,
G46.7,other lacunar syndromes,,,,,1,,,1,1,1,,
G46.8,other vascular syndromes of brain in cerebrovascular diseases,,,,,1,,,1,1,1,,
I20.0,unstable angina,,1,1,,,,,1,,,,
I21,acute myocardial infarction,1,,1,,,,,1,1,,,
I21.0,acute transmural myocardial infarction of anterior wall,1,,1,,,,,1,1,,,
I21.1,acute transmural myocardial infarction of inferior wall,1,,1,,,,,1,1,,,
I21.2,acute transmural myocardial infarction of other sites,1,,1,,,,,1,1,,,
I21.3,acute transmural myocardial infarction of unspecified site,1,,1,,,,,1,1,,,
I21.4,acute subendocardial myocardial infarction,1,,1,,,,,1,1,,,
I21.9,"acute myocardial infarction, unspecified",1,,1,,,,,1,1,,,
I24,other acute ischaemic heart diseases,,,1,,,,,1,,,,
I24.0,coronary thrombosis not resulting in myocardial infarction,,1,1,,,,,1,,,,
I24.8,other forms of acute ischaemic heart disease,,,1,,,,,1,,,,
I24.9,"acute ischaemic heart disease, unspecified",,,1,,,,,1,,,,
I50,heart failure,,,,1,,,,1,1,,,
I50.1,left ventricular failure,,,,1,,,,1,1,,,
I50.9,"heart failure, unspecified",,,,1,,,,1,1,,,
I60,subarachnoid haemorrhage,,,,,1,,,1,1,1,,
I60.0,subarachnoid haemorrhage from carotid siphon and bifurcation,,,,,1,,,1,1,1,,
I60.1,subarachnoid haemorrhage from middle cerebral artery,,,,,1,,,1,1,1,,
I60.2,subarachnoid haemorrhage from anterior communicating artery,,,,,1,,,1,1,1,,
I60.3,subarachnoid haemorrhage from posterior communicating artery,,,,,1,,,1,1,1,,
I60.4,subarachnoid haemorrhage from basilar artery,,,,,1,,,1,1,1,,
I60.5,subarachnoid haemorrhage from vertebral artery,,,,,1,,,1,1,1,,
I60.6,subarachnoid haemorrhage from other intracranial arteries,,,,,1,,,1,1,1,,
