medcode,readcode,clinicalevents,immunisationevents,referralevents,testevents,readterm,databaserelease
105209,K045.00,104,0,0,0,Acute renal failure due to non-traumatic rhabdomyolysis,November 2012
1338,N241000,217707,0,7703,18,Myalgia unspecified,February 2009
97444,Fyu8200,10,0,0,0,[X]Other specified myopathies,August 2009
27512,N241.00,4341,0,7,0,Myalgia and myositis unspecified,February 2009
43201,N23z.11,124,0,2,0,Muscle damage NOS,February 2009
17392,F397.00,2553,0,168,0,Proximal myopathy,February 2009
43126,Nyu8000,82,0,2,0,[X]Other myositis,February 2009
3649,N241z00,6185,0,65,1,Myalgia or myositis NOS,February 2009
95831,N233300,2694,0,21,0,Rhabdomyolysis,February 2009
41539,Nyu8B00,40,0,0,0,"[X]Disorder of muscle, unspecified",February 2009
36079,F394000,163,0,0,0,Drug-induced myopathy,February 2009
12620,N23..00,3029,0,59,0,"Muscle, ligament and fascia disorders",February 2009
32016,F39y.00,124,0,4,0,Other myopathies and muscular dystrophies,February 2009
11919,N233z00,114,0,1,0,Other specific muscle disorder NOS,February 2009
5492,N241100,6705,0,309,5,Myositis unspecified,February 2009
31742,F394100,206,0,2,0,Alcoholic myopathy,February 2009
64405,Nyu8500,15,0,0,0,[X]Other specified disorders of muscle,February 2009
41395,Nyu8.00,81,0,4,0,[X]Disorders of muscles,February 2009
5440,N241012,190364,0,4957,19,Muscle pain,February 2009
14676,N23z.00,5182,0,935,2,"Muscle, ligament or fascia disorder NOS",February 2009
